Namespace,Type,Method,LOC,CC,PC
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,SqlLiteDbCommandBuilder,2,1,1
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateDbCommand,8,2,0
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateDeleteAllCommand,4,1,1
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateDeleteCommand,35,5,2
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateInsertCommand,40,5,2
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateInsertIdentityCommand,36,4,2
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateNewSqlParameter,5,1,2
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateSelectCommand,39,3,2
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,CreateUpdateCommand,72,9,2
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,GetConnection,3,1,1
NDbUnit.Core.SqlLite,SqlLiteDbCommandBuilder,IsAutoIncrementing,3,1,1
NDbUnit.Core.SqlLite,SqlLiteDbOperation,CreateDbDataAdapter,3,1,0
NDbUnit.Core.SqlLite,SqlLiteDbOperation,CreateDbCommand,3,1,1
NDbUnit.Core.SqlLite,SqlLiteDbOperation,OnInsertIdentity,3,1,3
NDbUnit.Core.SqlLite,SqlLiteDbUnitTest,SqlLiteDbUnitTest,2,1,1
NDbUnit.Core.SqlLite,SqlLiteDbUnitTest,SqlLiteDbUnitTest,2,1,1
NDbUnit.Core.SqlLite,SqlLiteDbUnitTest,CreateDataAdapter,3,1,1
NDbUnit.Core.SqlLite,SqlLiteDbUnitTest,CreateDbCommandBuilder,3,1,1
NDbUnit.Core.SqlLite,SqlLiteDbUnitTest,CreateDbOperation,3,1,0
NDbUnit.Core.SqlLite,SqlLiteUnitTest,SqlLiteUnitTest,2,1,1
NDbUnit.Core.SqlLite,SqlLiteUnitTest,SqlLiteUnitTest,2,1,1
