Namespace,Type,Method,LOC,CC,PC
NEventStore.Serialization.AcceptanceTests,SerializerFixture,SerializerFixture,4,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,Context,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,Because,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,should_deserialize_a_message_which_contains_the_same_Id_as_the_serialized_message,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,should_deserialize_a_message_which_contains_the_same_Value_as_the_serialized_message,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,should_deserialize_a_message_which_contains_the_same_Created_value_as_the_serialized_message,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,should_deserialize_a_message_which_contains_the_same_Count_as_the_serialized_message,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,should_deserialize_a_message_which_contains_the_number_of_elements_as_the_serialized_message,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_simple_message,should_deserialize_a_message_which_contains_the_same_Contents_as_the_serialized_message,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_event_messages,Context,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_event_messages,Because,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_event_messages,should_deserialize_the_same_number_of_event_messages_as_it_serialized,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_event_messages,should_deserialize_the_the_complex_types_within_the_event_messages,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_commit_headers,Context,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_commit_headers,Because,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_commit_headers,should_deserialize_the_same_number_of_event_messages_as_it_serialized,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_a_list_of_commit_headers,should_deserialize_the_the_complex_types_within_the_event_messages,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_an_untyped_payload_on_a_snapshot,Context,5,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_an_untyped_payload_on_a_snapshot,Because,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_an_untyped_payload_on_a_snapshot,should_correctly_deserialize_the_untyped_payload_contents,3,1,0
NEventStore.Serialization.AcceptanceTests,when_serializing_an_untyped_payload_on_a_snapshot,should_correctly_deserialize_the_untyped_payload_type,3,1,0
NEventStore.Serialization.AcceptanceTests,SerializationConcern,SerializationConcern,3,1,0
