Project,Namespace,Ca types,Ce types
NakedObjects.SystemTest,NakedObjects.SystemTest.App_Start,,
NakedObjects.SystemTest,NakedObjects.SystemTest.Attributes,,SystemTest.Attributes.TestServiceContributedAction' SystemTest.Attributes.Contributee' SystemTest.Attributes.Contributee2' SystemTest.Attributes.Contributee3' SystemTest.Attributes.TestServiceFinderAction' SystemTest.Attributes.FinderAction1' NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,SystemTest.Attributes,NakedObjects.SystemTest.Attributes.TestAttributes' NakedObjects.SystemTest.Attributes.AttributesDbContext,
NakedObjects.SystemTest,NakedObjects.SystemTest.Audit,NakedObjects.SystemTest.Authorization.CustomAuthorizer.TestCustomAuthorizationManager' NakedObjects.SystemTest.Authorization.UsersAndRoles.TestUsersAndRoles,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.Authorization.UsersAndRoles,,NakedObjects.SystemTest.Audit.FooService' NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.Authorization.Installer,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.Authorization.CustomAuthorizer,,NakedObjects.SystemTest.Audit.FooService' NakedObjects.SystemTest.Audit.BarService' NakedObjects.SystemTest.Audit.QuxService' NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest,NakedObjects.SystemTest.Authorization.NamespaceAuthorization.TestNamespaceAuthorization' NakedObjects.SystemTest.Authorization.Installer.TestCustomAuthorizer' NakedObjects.SystemTest.Authorization.CustomAuthorizer.TestCustomAuthorizationManager' NakedObjects.SystemTest.Authorization.UsersAndRoles.TestUsersAndRoles' NakedObjects.SystemTest.XATs.TestXATFunctions' NakedObjects.SystemTest.Menus.TestAccessingMenuActionsViaGetAction' NakedObjects.SystemTest.Audit.TestAuditManager' NakedObjects.SystemTest.ObjectFinderInstances.TestObjectFinderInstances' NakedObjects.SystemTest.Menus.Service.TestMainMenusUsingDelegation' NakedObjects.SystemTest.Repositories.TestSimpleRepository' NakedObjects.SystemTest.Enum.EnumTest' NakedObjects.SystemTest.Menus.TestObjectMenu' ParentChild.TestParentChildPersistence' NakedObjects.SystemTest.Container.TestContainer' NakedObjects.SystemTest.Injection.TestInjection' NakedObjects.SystemTest.Persistence.TestPersistence' NakedObjects.SystemTest.ObjectFinderSingleKey.TestObjectFinderWithSingleKeys' NakedObjects.SystemTest.ObjectFinderGuid.TestObjectFinderWithGuids' NakedObjects.SystemTest.ObjectFinderCompoundKeys.TestObjectFinderWithCompoundKeysAbstract' NakedObjects.SystemTest.Menus.TestServiceMenus' NakedObjects.SystemTest.Profile.TestProfileManager' NakedObjects.SystemTest.Attributes.TestAttributes' NakedObjects.SystemTest.Menus.Service2.TestMainMenusConventional' NakedObjects.SystemTest.PolymorphicNavigator.TestPolymorphicNavigatorAbstract' NakedObjects.SystemTest.Method.TestRecognisedMethods,NakedObjects.SystemTest.Reflect.ReflectorTest' NakedObjects.SystemTest.Reflect.NullMenuFactory
NakedObjects.SystemTest,NakedObjects.SystemTest.Authorization.NamespaceAuthorization,,NakedObjects.SystemTest.AbstractSystemTest<TContext>' MyApp.MyCluster1.Foo1' MyApp.MyCluster1.Bar1' MyApp.MyCluster2.Foo2' NotMyApp.MyCluster2.Bar2
NakedObjects.SystemTest,MyApp.MyCluster1,NakedObjects.SystemTest.Authorization.NamespaceAuthorization.TestNamespaceAuthorization' NakedObjects.SystemTest.Authorization.NamespaceAuthorization.NamespaceAuthorizationDbContext,
NakedObjects.SystemTest,MyApp.MyCluster2,NakedObjects.SystemTest.Authorization.NamespaceAuthorization.TestNamespaceAuthorization' NakedObjects.SystemTest.Authorization.NamespaceAuthorization.NamespaceAuthorizationDbContext,
NakedObjects.SystemTest,NotMyApp.MyCluster2,NakedObjects.SystemTest.Authorization.NamespaceAuthorization.TestNamespaceAuthorization' NakedObjects.SystemTest.Authorization.NamespaceAuthorization.NamespaceAuthorizationDbContext,
NakedObjects.SystemTest,NakedObjects.SystemTest.Container,,NakedObjects.SystemTest.AbstractSystemTest<TContext>
NakedObjects.SystemTest,NakedObjects.SystemTest.PolymorphicAssociations,NakedObjects.SystemTest.PolymorphicNavigator.TestPolymorphicNavigatorWithTypeCodeMapper' NakedObjects.SystemTest.PolymorphicNavigator.TestPolymorphicNavigator' NakedObjects.SystemTest.PolymorphicNavigator.TestPolymorphicNavigatorAbstract' NakedObjects.SystemTest.PolymorphicNavigator.SimpleTypeCodeMapper,
