Implementation smell,Namespace,Class,File,Method,Description
Long Method,TestPlugin,CoreCommands,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\CoreCommands.cs,Kit,The method has 180 lines of code.
Long Method,TestPlugin.NiceLobby,NiceLobbyPlugin,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\NiceLobby\NiceLobbyPlugin.cs,SkinTick,The method has 114 lines of code.
Long Method,TestPlugin.NiceLobby,NiceLobbyPlugin,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\NiceLobby\NiceLobbyPlugin.cs,OnPlayerJoin,The method has 121 lines of code.
Long Method,TestPlugin.Pets,Pet,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\Pets\Pet.cs,OnTick,The method has 130 lines of code.
Complex Method,TestPlugin.Code4Fun,GravityGeometryBehavior,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\Code4Fun\Code4FunPlugin.cs,FakeMeltTicking,Cyclomatic complexity of the method is 10
Complex Method,TestPlugin,CoreCommands,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\CoreCommands.cs,TestParticles,Cyclomatic complexity of the method is 9
Complex Method,TestPlugin,CoreCommands,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\CoreCommands.cs,Effect,Cyclomatic complexity of the method is 26
Complex Method,TestPlugin,CoreCommands,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\CoreCommands.cs,Worldborder,Cyclomatic complexity of the method is 8
Complex Method,TestPlugin.NiceLobby,NiceLobbyPlugin,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\NiceLobby\NiceLobbyPlugin.cs,SkinTick,Cyclomatic complexity of the method is 12
Complex Method,TestPlugin.Pets,Pet,C:\research\architectureSmells\repos\NiclasOlofsson_MiNET\src\MiNET\TestPlugin\Pets\Pet.cs,OnTick,Cyclomatic complexity of the method is 21
