Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,MvcTemplate.Components.Mvc,DisplayNameMetadataProvider,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Mvc\Providers\DisplayNameMetadataProvider.cs,CreateMetadata,The method has 5 parameters. Parameters: attributes' container' model' type' property
Long Statement,MvcTemplate.Components.Mvc,EqualToAdapter,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Mvc\Adapters\EqualToAdapter.cs,GetClientValidationRules,The length of the statement  "            Attribute.OtherPropertyDisplayName = ResourceProvider.GetPropertyTitle(Metadata.ContainerType' Attribute.OtherPropertyName); " is 124.
Long Statement,MvcTemplate.Components.Mvc,EqualToAttribute,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Mvc\Attributes\EqualToAttribute.cs,IsValid,The length of the statement  "            OtherPropertyDisplayName = ResourceProvider.GetPropertyTitle(context.ObjectType' OtherPropertyName) ?? OtherPropertyName; " is 121.
Long Statement,MvcTemplate.Components.Extensions,BootstrapExtensions,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Extensions\Bootstrap\BootstrapExtensions.cs,FormHtmlAttributes,The length of the statement  "            if (!htmlAttributes.ContainsKey("readonly") && member?.Member.GetCustomAttribute<EditableAttribute>(false)?.AllowEdit == false) " is 127.
Magic Number,MvcTemplate.Components.Mvc,FileSizeAdapter,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Mvc\Adapters\FileSizeAdapter.cs,GetClientValidationRules,The following statement contains a magic number: Decimal bytes = Attribute.MaximumMB * 1024 * 1024;
Magic Number,MvcTemplate.Components.Mvc,FileSizeAdapter,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Mvc\Adapters\FileSizeAdapter.cs,GetClientValidationRules,The following statement contains a magic number: Decimal bytes = Attribute.MaximumMB * 1024 * 1024;
Magic Number,MvcTemplate.Components.Mvc,FileSizeAttribute,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Mvc\Attributes\FileSizeAttribute.cs,IsValid,The following statement contains a magic number: return files == null || files.Sum(file => file?.ContentLength ?? 0) <= MaximumMB * 1024 * 1024;
Magic Number,MvcTemplate.Components.Mvc,FileSizeAttribute,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Mvc\Attributes\FileSizeAttribute.cs,IsValid,The following statement contains a magic number: return files == null || files.Sum(file => file?.ContentLength ?? 0) <= MaximumMB * 1024 * 1024;
Magic Number,MvcTemplate.Components.Extensions,BootstrapExtensions,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Extensions\Bootstrap\BootstrapExtensions.cs,FormTextAreaFor,The following statement contains a magic number: attributes["rows"] = attributes["rows"] ?? 6;
Magic Number,MvcTemplate.Components.Extensions,MvcGridExtensions,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Extensions\MvcGrid\MvcGridExtensions.cs,ApplyDefaults,The following statement contains a magic number: return grid                  .Css((grid.Grid.CssClasses + " table-hover").TrimStart())                  .Pageable(pager => { pager.RowsPerPage = 16; })                  .Empty(Strings.NoDataFound)                  .Filterable()                  .Sortable();
Magic Number,MvcTemplate.Components.Security,BCrypter,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Security\Cryptography\BCrypter.cs,Hash,The following statement contains a magic number: return BCrypt.Net.BCrypt.HashString(value' 6);
Magic Number,MvcTemplate.Components.Security,BCrypter,C:\repos\NonFactors_MVC.Template\src\MvcTemplate.Components\Security\Cryptography\BCrypter.cs,HashPassword,The following statement contains a magic number: return BCrypt.Net.BCrypt.HashPassword(value' 13);
