Method,LOC,CC,PC
AccountsController:AccountsController,2,1,2
AccountsController:Index,3,1,0
AccountsController:Create,3,1,0
AccountsController:Create,7,2,1
AccountsController:Details,3,1,1
AccountsController:Edit,3,1,1
AccountsController:Edit,7,2,1
AdministrationAreaRegistration:RegisterArea,16,1,1
RolesController:RolesController,2,1,2
RolesController:Index,3,1,0
RolesController:Create,5,1,0
RolesController:Create,9,2,1
RolesController:Details,3,1,1
RolesController:Edit,3,1,1
RolesController:Edit,10,2,1
RolesController:Delete,3,1,1
RolesController:DeleteConfirmed,5,1,1
AuthController:AuthController,3,1,3
AuthController:Recover,5,2,0
AuthController:Recover,17,4,1
AuthController:Reset,7,3,1
AuthController:Reset,9,3,1
AuthController:Login,5,2,1
AuthController:Login,8,3,2
AuthController:Logout,4,1,0
BaseController:BaseController,4,1,0
BaseController:NotEmptyView,5,2,1
BaseController:RedirectToLocal,5,2,1
BaseController:RedirectToDefault,3,1,0
BaseController:RedirectToNotFound,3,1,0
BaseController:RedirectToUnauthorized,3,1,0
BaseController:RedirectIfAuthorized,3,1,1
BaseController:RedirectIfAuthorized,3,1,2
BaseController:RedirectIfAuthorized,3,1,2
BaseController:RedirectIfAuthorized,8,2,3
BaseController:IsAuthorizedFor,3,1,3
BaseController:BeginExecuteCore,6,1,2
BaseController:OnAuthorization,7,2,1
BaseController:OnActionExecuted,10,3,1
DatalistController:DatalistController,3,1,1
DatalistController:GetData,4,1,2
DatalistController:Role,3,1,1
DatalistController:Dispose,4,1,1
HomeController:HomeController,2,1,1
HomeController:Index,5,2,0
HomeController:Error,3,1,0
HomeController:NotFound,3,1,0
HomeController:Unauthorized,5,2,0
IRouteConfig:RegisterRoutes,0,1,1
ProfileController:ProfileController,2,1,2
ProfileController:Edit,5,2,0
ProfileController:Edit,9,3,1
ProfileController:Delete,6,2,0
ProfileController:DeleteConfirmed,12,3,1
RouteConfig:RegisterRoutes,20,1,1
ServicedController<TService>:ServicedController,3,1,1
ServicedController<TService>:OnActionExecuting,4,1,1
ServicedController<TService>:Dispose,4,1,1
ValidatedController<TValidator;TService>:ValidatedController,3,1,2
ValidatedController<TValidator;TService>:OnActionExecuting,6,1,1
ValidatedController<TValidator;TService>:Dispose,4,1,1
