Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,NuGetGallery.Auditing,PackageCreatedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Api' Web
Unutilized Abstraction,NuGetGallery.Auditing,PackageCreatedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery.Auditing,PackageDeletedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Api' Web
Unutilized Abstraction,NuGetGallery.Auditing,PackageDeletedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery.Auditing,PackageDeprecatedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Web
Unutilized Abstraction,NuGetGallery.Auditing,PackageDeprecatedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery.Auditing,PackageUndeprecatedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Web
Unutilized Abstraction,NuGetGallery.Auditing,PackageUndeprecatedVia,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Auditing\PackageAuditReasons.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery.Authentication,AuthenticationExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Authentication\AuthenticationExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery.Authentication,CredentialTypeInfo,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Authentication\CredentialTypeInfo.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery.Authentication,ExternalLoginCredentialValues,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Authentication\NuGetClaims.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' MicrosoftAccount' AzureActiveDirectory
Unutilized Abstraction,NuGetGallery.Authentication,ExternalLoginCredentialValues,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Authentication\NuGetClaims.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,CertificateFile,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Certificates\CertificateFile.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery,Password,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\CredentialTypes.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Prefix' Pbkdf2' Sha1' V3
Unnecessary Abstraction,NuGetGallery,External,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\CredentialTypes.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Prefix' MicrosoftAccount' AzureActiveDirectoryAccount
Unutilized Abstraction,NuGetGallery,GalleryDbContextFactory,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Entities\EntitiesContext.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery,GallerySetting,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Entities\GallerySetting.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Key' NextLicenseReport
Unutilized Abstraction,NuGetGallery,SuspendDbExecutionStrategy,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Entities\SuspendDbExecutionStrategy.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,EntitiesContextExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Extensions\EntitiesContextExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery,MigrateUserToOrganization,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Extensions\EntitiesContextExtensions.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' ResourceName' OrganizationKey' AdminKey' ConfirmationToken
Unutilized Abstraction,NuGetGallery,PackageValidationSetExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Extensions\PackageValidationSetExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,StorageExceptionExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Extensions\StorageExceptionExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,UserExtensionsCore,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Extensions\UserExtensionsCore.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,ValidationIssueExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Extensions\ValidationIssueExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,MessageQueue,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Infrastructure\MessageQueue.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,PackageMetadataExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\PackageMetadataExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,PackageArchiveReaderExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\PackageReaderCoreExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,NuGetGallery,NuGetVersionExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\NuGetVersionExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery,IContentFileMetadataService,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Services\IContentFileMetadataService.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: PackageContentFolderName' PackageContentPathTemplate
Unnecessary Abstraction,NuGetGallery,ISimpleBlobResultSegment,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Services\ISimpleBlobResultSegment.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Results' ContinuationToken
Unutilized Abstraction,NuGetGallery,PackageAlreadyExistsException,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Services\PackageAlreadyExistsException.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,NuGetGallery,IAccessCondition,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Services\IAccessCondition.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: IfNoneMatchETag' IfMatchETag
Unnecessary Abstraction,NuGetGallery,RevalidationState,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\Services\RevalidationState.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: IsKillswitchActive' IsInitialized' DesiredPackageEventRate
Unutilized Abstraction,NuGetGallery,StreamExtensions,C:\research\architectureSmells\repos\NuGet_NuGetGallery\src\NuGetGallery.Core\StreamExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
