Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Microsoft.OData.Service,EdmValueParser,1,13,0,0,0,328,28,0,0,0.92,0,18,,Microsoft.OData.Client.EdmValueWriter' Microsoft.OData.Service.Parsing.LiteralParser' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsFloatingConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsDecimalConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsDateTimeOffsetConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsGuidConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsTimeOfDayConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsIntConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsBooleanConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsDateConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsBinaryConstantExpression' Microsoft.OData.Edm.Csdl.CsdlSemantics.CsdlSemanticsDurationConstantExpression' Microsoft.OData.Edm.Csdl.Parsing.Common.EdmXmlDocumentParser<TResult>' Microsoft.OData.Client.TimeSpanTypeConverter' Microsoft.OData.ODataRawValueUtils' Microsoft.OData.UriParser.UriPrimitiveTypeParser' Microsoft.OData.ODataPayloadValueConverter' Microsoft.OData.UriParser.LiteralParser
Microsoft.OData.Service,EdmValueWriter,1,15,0,0,0,192,16,0,0,1,0,5,,Microsoft.OData.Client.LiteralFormatter' Microsoft.OData.Edm.Csdl.Serialization.EdmModelCsdlSchemaWriter' Microsoft.OData.Client.TimeSpanTypeConverter' Microsoft.OData.ODataRawValueConverter' Microsoft.OData.Json.JsonValueUtils
Microsoft.OData.Service,ODataValueUtils,0,2,0,0,0,46,7,0,0,-1,0,0,,
Microsoft.OData.Service,SimpleLazy<T>,4,3,1,0,0,77,4,0,0,0.67,0,14,,Microsoft.OData.Service.Providers.ServiceOperationProvider' Microsoft.OData.Service.DataServiceOperationContext' Microsoft.OData.Service.Serializers.OperationSerializer' Microsoft.OData.Service.Serializers.EntitySerializer' Microsoft.OData.Service.Serializers.LazySerializedEntityKey' Microsoft.OData.ODataVersionCache<T>' Microsoft.OData.ReadOnlyEnumerable<T>' Microsoft.OData.JsonLight.ODataJsonLightSerializer' Microsoft.OData.Client.Materialization.PrimitiveValueMaterializationPolicy' Microsoft.OData.Client.Materialization.StructuralValueMaterializationPolicy' Microsoft.OData.Client.Materialization.EntryValueMaterializationPolicy' Microsoft.OData.Client.Materialization.PrimitivePropertyConverter' Microsoft.OData.Client.Materialization.ODataMaterializer' Microsoft.OData.Client.Materialization.ODataEntityMaterializer
Microsoft.OData.Service,PlatformHelper,6,37,0,0,1,984,48,0,0,0.86,0,26,,Microsoft.OData.Service.Parsing.ExpressionLexer' Microsoft.OData.Client.EdmValueParser' Microsoft.OData.Client.PlatformHelper' Microsoft.OData.Edm.EdmUtil' Microsoft.OData.ODataUriConversionUtils' Microsoft.OData.ODataRawValueUtils' Microsoft.OData.ODataPayloadValueConverter' Microsoft.OData.UriParser.ODataPathParser' Microsoft.OData.UriUtils' Microsoft.OData.UriParser.ExpressionLexer' Microsoft.OData.Client.LiteralFormatter' Microsoft.OData.Client.ODataPropertyConverter' Microsoft.OData.Client.Materialization.EntryValueMaterializationPolicy' Microsoft.OData.Client.InputBinder' Microsoft.OData.Client.Materialization.ODataEntityMaterializer' Microsoft.OData.Client.Metadata.ClientTypeUtil' Microsoft.OData.Client.Serializer' Microsoft.OData.Client.ClrTypeConverter' Microsoft.OData.Client.DateTimeOffsetTypeConverter' Microsoft.OData.Client.DateTimeTypeConverter' Microsoft.OData.Client.DateTypeConverter' Microsoft.OData.Client.TimeOfDayConvert' Microsoft.OData.Client.TypeSystem' Microsoft.OData.Client.ClientEdmModel' Microsoft.OData.Client.Metadata.ClientTypeCache' Microsoft.OData.Client.ResourceBinder
Microsoft.OData.Service,ALinqExpressionVisitor,0,23,0,0,0,406,62,5,0,-1,0,10,,Microsoft.OData.Service.Internal.PropertyAccessVisitor' Microsoft.OData.Service.Providers.ExpressionEvaluator' Microsoft.OData.Client.ParameterReplacerVisitor' Microsoft.OData.Service.OpenTypeMethodCallDetector' Microsoft.OData.Service.Internal.NeedSkipTokenVisitor' Microsoft.OData.Client.DataServiceALinqExpressionVisitor' Microsoft.OData.Client.ProjectionRewriter' Microsoft.OData.Client.MemberAssignmentAnalysis' Microsoft.OData.Client.ProjectionAnalyzer' Microsoft.OData.Client.ProjectionPlanCompiler
Microsoft.OData.Service,ParameterReplacerVisitor,2,3,0,0,0,37,3,0,1,1,0,6,,Microsoft.OData.Client.ParameterReplacerVisitor' Microsoft.OData.Service.Parsing.SkipTokenExpressionBuilder' Microsoft.OData.Service.DataServiceConfiguration' Microsoft.OData.Service.Parsing.ExpressionUtils' Microsoft.OData.Service.Providers.BasicExpandProvider' Microsoft.OData.Service.RequestQueryProcessor
Microsoft.OData.Service,ReferenceEqualityComparer,0,3,0,0,0,54,4,1,0,-1,0,1,,Microsoft.OData.Client.ReferenceEqualityComparer<T>
Microsoft.OData.Service,ReferenceEqualityComparer<T>,1,3,1,0,2,57,4,0,1,1,0,24,,Microsoft.OData.Service.Parsing.LiteralParser' Microsoft.OData.Service.Providers.ResourceSetWrapper' Microsoft.OData.Service.Providers.SelectedOperationsCache' Microsoft.OData.Service.UpdateTracker' Microsoft.OData.Client.ReferenceEqualityComparer<T>' Microsoft.OData.Service.Caching.ProviderMetadataCacheItem' Microsoft.OData.Service.Caching.ResourceTypeCacheItem' Microsoft.OData.Service.Serializers.Serializer' Microsoft.OData.Service.Providers.ObjectContextServiceProvider' Microsoft.OData.Service.Providers.BasicExpandProvider' Microsoft.OData.Service.Providers.ResourceType' Microsoft.OData.Service.DataService<T>' Microsoft.OData.Service.Parsing.FunctionExpressionBinder' Microsoft.OData.Service.Providers.MetadataProviderEdmModel' Microsoft.OData.Client.SelectExpandPathBuilder' Microsoft.OData.Client.ExpressionNormalizer' Microsoft.OData.Client.ODataPropertyConverter' Microsoft.OData.Client.DataServiceQueryProvider' Microsoft.OData.Client.Materialization.ODataMaterializer' Microsoft.OData.Client.UriWriter' Microsoft.OData.Client.BindingGraph' Microsoft.OData.Client.ResourceExpression' Microsoft.OData.Client.ResourceBinder' Microsoft.OData.Client.ProjectionPlanCompiler
Microsoft.OData.Service,UriUtil,0,5,0,0,0,136,7,0,0,-1,0,20,,Microsoft.OData.Service.Serializers.EntityReferenceLinkDeserializer' Microsoft.OData.Service.Serializers.OperationLinkBuilder' Microsoft.OData.Service.Serializers.PayloadMetadataPropertyManager' Microsoft.OData.Service.Serializers.EntityDeserializer' Microsoft.OData.Service.RequestUriProcessor' Microsoft.OData.Service.DataService<T>' Microsoft.OData.Client.QueryComponents' Microsoft.OData.Client.UriWriter' Microsoft.OData.Client.ConventionalODataEntityMetadataBuilder' Microsoft.OData.Client.BatchSaveResult' Microsoft.OData.Client.DataServiceCollection<T>' Microsoft.OData.Client.WebUtil' Microsoft.OData.Client.Serializer' Microsoft.OData.Client.EntityDescriptor' Microsoft.OData.Client.DataServiceQuerySingle<TElement>' Microsoft.OData.Client.UriTypeConverter' Microsoft.OData.Client.DataServiceQuery<TElement>' Microsoft.OData.Client.UriResolver' Microsoft.OData.Client.BaseSaveResult' Microsoft.OData.Client.DataServiceContext
Microsoft.OData.Service,CommonUtil,4,11,0,0,1,328,34,0,0,0.82,0,30,,Microsoft.OData.Service.Parsing.WellKnownTextParser' Microsoft.OData.Client.CommonUtil' Microsoft.OData.Service.MessageWriterBuilder' Microsoft.OData.Service.AstoriaRequestMessage' Microsoft.OData.Service.ResponseBodyWriter' Microsoft.OData.Service.Serializers.ODataMessageReaderDeserializer' Microsoft.OData.Service.ErrorHandler' Microsoft.OData.Service.BatchServiceHost' Microsoft.OData.Service.Serializers.Deserializer' Microsoft.OData.Service.RequestDescription' Microsoft.OData.Service.Providers.MetadataProviderUtils' Microsoft.OData.Service.WebUtil' Microsoft.OData.Service.Providers.ReflectionServiceProvider' Microsoft.OData.Service.DataService<T>' Microsoft.OData.Client.Materialization.ODataPropertyMaterializer' Microsoft.OData.Client.Materialization.StructuralValueMaterializationPolicy' Microsoft.OData.Client.Materialization.PrimitiveValueMaterializationPolicy' Microsoft.OData.Client.Metadata.ClientTypeUtil' Microsoft.OData.Client.Materialization.ODataMaterializer' Microsoft.OData.Client.BatchSaveResult' Microsoft.OData.Client.BaseSaveResult' Microsoft.OData.Client.ODataMessageReadingHelper' Microsoft.OData.Client.WebUtil' Microsoft.OData.Client.ODataMessageWritingHelper' Microsoft.OData.Client.ClientEdmModel' Microsoft.OData.Client.ExpressionWriter' Microsoft.OData.Client.DataServiceCollection<T>' Microsoft.OData.Client.Serializer' Microsoft.OData.Client.SaveResult' Microsoft.OData.Client.BaseAsyncResult
Microsoft.OData.Service,ODataItemWrapper,0,0,1,0,0,9,0,3,0,-1,0,11,,Microsoft.OData.Service.ODataResourceSetWrapper' Microsoft.OData.Service.ODataResourceWrapper' Microsoft.OData.Client.ODataWriterHelper' Microsoft.OData.Service.ODataNestedResourceInfoWrapper' Microsoft.OData.Client.ODataNestedResourceInfoWrapper' Microsoft.OData.Service.Serializers.Serializer' Microsoft.OData.Service.Serializers.EntitySerializer' Microsoft.OData.Client.ODataPropertyConverter' Microsoft.OData.Client.ODataResourceWrapper' Microsoft.OData.Client.ODataResourceSetWrapper' Microsoft.OData.Client.Serializer
Microsoft.OData.Service,ODataNestedResourceInfoWrapper,0,0,3,0,0,14,0,0,1,-1,2,6,Microsoft.Test.OData.ODataItemWrapper' Microsoft.OData.Service.ODataItemWrapper,Microsoft.OData.Client.ODataResourceWrapper' Microsoft.OData.Client.ODataWriterHelper' Microsoft.OData.Service.Serializers.EntitySerializer' Microsoft.OData.Service.Serializers.Serializer' Microsoft.OData.Client.ODataPropertyConverter' Microsoft.OData.Client.Serializer
Microsoft.OData.Service,ODataResourceSetWrapper,0,0,3,0,0,14,0,0,1,-1,2,4,Microsoft.Test.OData.ODataItemWrapper' Microsoft.OData.Service.ODataItemWrapper,Microsoft.OData.Client.ODataWriterHelper' Microsoft.OData.Service.Serializers.Serializer' Microsoft.OData.Client.Serializer' Microsoft.OData.Client.ODataPropertyConverter
Microsoft.OData.Service,ODataResourceWrapper,0,0,4,0,0,15,0,0,1,-1,2,5,Microsoft.Test.OData.ODataItemWrapper' Microsoft.OData.Service.ODataItemWrapper,Microsoft.OData.Client.ODataResourceSetWrapper' Microsoft.OData.Client.ODataWriterHelper' Microsoft.OData.Service.Serializers.Serializer' Microsoft.OData.Client.ODataPropertyConverter' Microsoft.OData.Client.Serializer
Microsoft.OData.Service,ODataWriterHelper,0,4,0,0,3,54,11,0,0,-1,0,3,,Microsoft.OData.Service.Serializers.NonEntitySerializer' Microsoft.OData.Service.Serializers.EntitySerializer' Microsoft.OData.Client.Serializer
Microsoft.OData.Service,DataServiceStaticConfiguration,3,7,1,0,0,225,28,0,0,0,7,4,Microsoft.OData.Service.ChangeInterceptorAttribute' Microsoft.OData.Service.QueryInterceptorAttribute' Microsoft.OData.Service.UpdateOperations' Microsoft.OData.Service.Strings' Microsoft.OData.Service.Providers.IDataServiceMetadataProvider' Microsoft.OData.Service.Providers.ResourceSet' Microsoft.OData.Service.Configuration.DataServicesFeaturesSection,Microsoft.OData.Service.Providers.ResourceSetWrapper' Microsoft.OData.Service.Caching.DataServiceCacheItem' Microsoft.OData.Service.Providers.DataServiceProviderWrapper' Microsoft.OData.Service.DataService<T>
Microsoft.OData.Service,ODataPathToSegmentInfoConverter,3,20,0,0,0,654,69,0,0,0.15,22,1,Microsoft.OData.Service.DataServiceException' Microsoft.OData.Service.IDataService' Microsoft.OData.Service.RequestTargetKind' Microsoft.OData.Service.RequestTargetSource' Microsoft.OData.Service.SegmentInfo' Microsoft.OData.Service.VersionUtil' Microsoft.OData.Service.WebUtil' Microsoft.OData.Service.XmlConstants' Microsoft.OData.Service.Strings' Microsoft.OData.Service.Providers.IResourcePropertyBasedEdmProperty' Microsoft.OData.Service.Providers.IResourceSetBasedEdmEntitySet' Microsoft.OData.Service.Providers.MetadataProviderEdmOperation' Microsoft.OData.Service.Providers.MetadataProviderEdmOperationImport' Microsoft.OData.Service.Providers.MetadataProviderUtils' Microsoft.OData.Service.Providers.DataServiceProviderWrapper' Microsoft.OData.Service.Providers.OperationWrapper' Microsoft.OData.Service.Providers.ResourceProperty' Microsoft.OData.Service.Providers.ResourcePropertyKind' Microsoft.OData.Service.Providers.ResourceType' Microsoft.OData.Service.Providers.ResourceTypeKind' Microsoft.OData.Service.Providers.ServiceOperationResultKind' Microsoft.OData.Service.Providers.OperationKind,Microsoft.OData.Service.RequestUriProcessor
Microsoft.OData.Service,OpenTypeMethodCallDetector,1,5,0,0,1,62,8,0,1,0.4,2,1,Microsoft.OData.Service.ALinqExpressionVisitor' Microsoft.OData.Service.Providers.OpenTypeMethods,Microsoft.OData.Service.RequestQueryProcessor
Microsoft.OData.Service,LinqExtensions,0,2,0,0,0,27,2,0,0,-1,0,0,,
Microsoft.OData.Service,VocabularyAnnotationCache,2,6,1,0,1,153,15,0,0,0.5,3,1,Microsoft.OData.Service.AnnotationComparer' Microsoft.OData.Service.DataServiceConfiguration' Microsoft.OData.Service.Strings,Microsoft.OData.Service.Providers.MetadataProviderEdmModel
Microsoft.OData.Service,AnnotationComparer,0,2,0,0,2,32,4,0,0,-1,0,1,,Microsoft.OData.Service.VocabularyAnnotationCache
Microsoft.OData.Service,CallbackQueryOptionHandler,0,1,0,0,0,36,5,0,0,-1,6,1,Microsoft.OData.Service.ODataFormatWithParameters' Microsoft.OData.Service.HttpVerbs' Microsoft.OData.Service.DataServiceException' Microsoft.OData.Service.AstoriaRequestMessage' Microsoft.OData.Service.XmlConstants' Microsoft.OData.Service.Strings,Microsoft.OData.Service.RequestDescription
Microsoft.OData.Service,ClientPreference,3,3,5,0,1,129,7,0,0,0.67,6,2,Microsoft.OData.Service.ResponseBodyPreference' Microsoft.OData.Service.HttpVerbs' Microsoft.OData.Service.RequestDescription' Microsoft.OData.Service.RequestTargetKind' Microsoft.OData.Service.RequestTargetSource' Microsoft.OData.Service.VersionUtil,Microsoft.OData.Service.AstoriaResponseMessage' Microsoft.OData.Service.RequestDescription
Microsoft.OData.Service,ResponseBodyPreference,0,0,0,0,0,15,0,0,0,-1,0,1,,Microsoft.OData.Service.ClientPreference
Microsoft.OData.Service,IAcceptableContentTypeSelector,0,1,0,0,0,14,1,2,0,-1,0,2,,Microsoft.OData.Service.AcceptableContentTypeSelector' Microsoft.OData.Service.AstoriaRequestMessage
Microsoft.OData.Service,AcceptableContentTypeSelector,0,1,0,0,1,32,5,0,1,-1,2,1,Microsoft.OData.Service.IAcceptableContentTypeSelector' Microsoft.OData.Service.XmlConstants,Microsoft.OData.Service.AstoriaRequestMessage
Microsoft.OData.Service,DataServiceODataWriter,1,9,1,0,9,95,9,4,0,0,4,3,Microsoft.OData.Service.DataServiceODataWriterEntryArgs' Microsoft.OData.Service.DataServiceODataWriterFeedArgs' Microsoft.OData.Service.DataServiceODataWriterNestedResourceInfoArgs' Microsoft.OData.Service.WebUtil,Microsoft.OData.Service.IDataService' Microsoft.OData.Service.Serializers.EntitySerializer' Microsoft.OData.Service.DataService<T>
Microsoft.OData.Service,DataServiceODataWriterEntryArgs,0,1,3,0,1,41,1,0,0,-1,1,2,Microsoft.OData.Service.DataServiceOperationContext,Microsoft.OData.Service.DataServiceODataWriter' Microsoft.OData.Service.Serializers.EntitySerializer
