Namespace,Type,Method,LOC,CC,PC
Core.SimpleTimerJob.Console,Program,Main,29,2,1
Core.SimpleTimerJob.Console,Program,AddList,7,1,3
Core.SimpleTimerJob.Console,Program,ListExists,11,2,2
Core.SimpleTimerJob.Console,SharePointContext,GetSPHostUrl,14,3,1
Core.SimpleTimerJob.Console,SharePointContext,GetSPHostUrl,3,1,1
Core.SimpleTimerJob.Console,SharePointContext,SharePointContext,23,5,5
Core.SimpleTimerJob.Console,SharePointContext,CreateUserClientContextForSPHost,3,1,0
Core.SimpleTimerJob.Console,SharePointContext,CreateUserClientContextForSPAppWeb,3,1,0
Core.SimpleTimerJob.Console,SharePointContext,CreateAppOnlyClientContextForSPHost,3,1,0
Core.SimpleTimerJob.Console,SharePointContext,CreateAppOnlyClientContextForSPAppWeb,3,1,0
Core.SimpleTimerJob.Console,SharePointContext,GetDatabaseConnectionString,19,3,0
Core.SimpleTimerJob.Console,SharePointContext,IsAccessTokenValid,5,1,1
Core.SimpleTimerJob.Console,SharePointContext,CreateClientContext,7,2,2
Core.SimpleTimerJob.Console,SharePointContextProvider,SharePointContextProvider,10,2,0
Core.SimpleTimerJob.Console,SharePointContextProvider,Register,7,2,1
Core.SimpleTimerJob.Console,SharePointContextProvider,CheckRedirectionStatus,45,6,2
Core.SimpleTimerJob.Console,SharePointContextProvider,CheckRedirectionStatus,3,1,2
Core.SimpleTimerJob.Console,SharePointContextProvider,CreateSharePointContext,39,7,1
Core.SimpleTimerJob.Console,SharePointContextProvider,CreateSharePointContext,3,1,1
Core.SimpleTimerJob.Console,SharePointContextProvider,GetSharePointContext,21,5,1
Core.SimpleTimerJob.Console,SharePointContextProvider,GetSharePointContext,3,1,1
Core.SimpleTimerJob.Console,SharePointContextProvider,CreateSharePointContext,0,1,6
Core.SimpleTimerJob.Console,SharePointContextProvider,ValidateSharePointContext,0,1,2
Core.SimpleTimerJob.Console,SharePointContextProvider,LoadSharePointContext,0,1,1
Core.SimpleTimerJob.Console,SharePointContextProvider,SaveSharePointContext,0,1,2
Core.SimpleTimerJob.Console,SharePointAcsContext,SharePointAcsContext,12,3,7
Core.SimpleTimerJob.Console,SharePointAcsContext,GetAccessTokenString,4,1,2
Core.SimpleTimerJob.Console,SharePointAcsContext,RenewAccessTokenIfNeeded,21,3,2
Core.SimpleTimerJob.Console,SharePointAcsContextProvider,CreateSharePointContext,21,2,6
Core.SimpleTimerJob.Console,SharePointAcsContextProvider,ValidateSharePointContext,16,2,2
Core.SimpleTimerJob.Console,SharePointAcsContextProvider,LoadSharePointContext,3,1,1
Core.SimpleTimerJob.Console,SharePointAcsContextProvider,SaveSharePointContext,14,2,2
Core.SimpleTimerJob.Console,SharePointHighTrustContext,SharePointHighTrustContext,7,2,6
Core.SimpleTimerJob.Console,SharePointHighTrustContext,GetAccessTokenString,4,1,2
Core.SimpleTimerJob.Console,SharePointHighTrustContext,RenewAccessTokenIfNeeded,14,3,2
Core.SimpleTimerJob.Console,SharePointHighTrustContextProvider,CreateSharePointContext,8,2,6
Core.SimpleTimerJob.Console,SharePointHighTrustContextProvider,ValidateSharePointContext,14,2,2
Core.SimpleTimerJob.Console,SharePointHighTrustContextProvider,LoadSharePointContext,3,1,1
Core.SimpleTimerJob.Console,SharePointHighTrustContextProvider,SaveSharePointContext,3,1,2
Core.SimpleTimerJob.Console,TokenHelper,GetContextTokenFromRequest,3,1,1
Core.SimpleTimerJob.Console,TokenHelper,GetContextTokenFromRequest,15,4,1
Core.SimpleTimerJob.Console,TokenHelper,ReadAndValidateContextToken,42,6,2
Core.SimpleTimerJob.Console,TokenHelper,GetAccessToken,14,2,2
Core.SimpleTimerJob.Console,TokenHelper,GetAccessToken,33,2,5
Core.SimpleTimerJob.Console,TokenHelper,GetAccessToken,26,2,4
Core.SimpleTimerJob.Console,TokenHelper,GetAppOnlyAccessToken,27,2,3
Core.SimpleTimerJob.Console,TokenHelper,CreateRemoteEventReceiverClientContext,24,5,1
Core.SimpleTimerJob.Console,TokenHelper,CreateAppEventClientContext,12,3,2
Core.SimpleTimerJob.Console,TokenHelper,GetClientContextWithAuthorizationCode,3,1,3
Core.SimpleTimerJob.Console,TokenHelper,GetClientContextWithAuthorizationCode,6,1,5
Core.SimpleTimerJob.Console,TokenHelper,GetClientContextWithAccessToken,12,1,2
Core.SimpleTimerJob.Console,TokenHelper,GetClientContextWithContextToken,6,1,3
Core.SimpleTimerJob.Console,TokenHelper,GetAuthorizationUrl,8,1,2
Core.SimpleTimerJob.Console,TokenHelper,GetAuthorizationUrl,9,1,3
Core.SimpleTimerJob.Console,TokenHelper,GetAppContextTokenRequestUrl,8,1,2
Core.SimpleTimerJob.Console,TokenHelper,GetS2SAccessTokenWithWindowsIdentity,5,1,2
Core.SimpleTimerJob.Console,TokenHelper,GetS2SClientContextWithWindowsIdentity,6,1,2
Core.SimpleTimerJob.Console,TokenHelper,GetRealmFromTargetUrl,39,1,1
