Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Provisioning.WorkflowTemplate,ConsoleLogger,0,1,0,0,1,7,1,0,1,-1,1,1,Provisioning.WorkflowTemplate.ILogger,Provisioning.WorkflowTemplate.WorkflowTemplateDeployer
Provisioning.WorkflowTemplate,ILogger,0,1,0,0,0,4,1,1,0,-1,0,2,,Provisioning.WorkflowTemplate.ConsoleLogger' Provisioning.WorkflowTemplate.WorkflowTemplateDeployer
Provisioning.WorkflowTemplate,Program,3,3,0,0,0,60,3,0,0,0,5,0,Provisioning.WorkflowTemplate.SharePointAuthenticationInfo' Provisioning.WorkflowTemplate.SharePointMode' Provisioning.WorkflowTemplate.SharePointContextProvider' Provisioning.WorkflowTemplate.WorkflowTemplateDeployer' Provisioning.WorkflowTemplate.WorkflowTemplateInfo,
Provisioning.WorkflowTemplate,SharePointAuthenticationInfo,0,0,3,0,0,15,0,0,0,-1,1,2,Provisioning.WorkflowTemplate.SharePointMode,Provisioning.WorkflowTemplate.SharePointContextExtensions' Provisioning.WorkflowTemplate.Program
Provisioning.WorkflowTemplate,SharePointMode,0,0,0,0,0,5,0,0,0,-1,0,3,,Provisioning.WorkflowTemplate.SharePointAuthenticationInfo' Provisioning.WorkflowTemplate.Program' Provisioning.WorkflowTemplate.SharePointContextExtensions
Provisioning.WorkflowTemplate,SharePointContext,15,10,9,5,7,225,19,2,0,0.4,1,5,Provisioning.WorkflowTemplate.TokenHelper,Provisioning.WorkflowTemplate.SharePointContextProvider' Provisioning.WorkflowTemplate.SharePointAcsContext' Provisioning.WorkflowTemplate.SharePointAcsContextProvider' Provisioning.WorkflowTemplate.SharePointHighTrustContext' Provisioning.WorkflowTemplate.SharePointHighTrustContextProvider
Provisioning.WorkflowTemplate,RedirectionStatus,0,0,0,0,0,6,0,0,0,-1,0,1,,Provisioning.WorkflowTemplate.SharePointContextProvider
Provisioning.WorkflowTemplate,SharePointContextProvider,1,12,1,0,7,221,29,2,0,0.17,5,4,Provisioning.WorkflowTemplate.SharePointContext' Provisioning.WorkflowTemplate.RedirectionStatus' Provisioning.WorkflowTemplate.SharePointAcsContextProvider' Provisioning.WorkflowTemplate.SharePointHighTrustContextProvider' Provisioning.WorkflowTemplate.TokenHelper,Provisioning.WorkflowTemplate.SharePointContextExtensions' Provisioning.WorkflowTemplate.Program' Provisioning.WorkflowTemplate.SharePointAcsContextProvider' Provisioning.WorkflowTemplate.SharePointHighTrustContextProvider
Provisioning.WorkflowTemplate,SharePointAcsContext,2,3,7,0,1,118,7,0,1,0.67,3,1,Provisioning.WorkflowTemplate.SharePointContext' Provisioning.WorkflowTemplate.TokenHelper' Provisioning.WorkflowTemplate.SharePointContextToken,Provisioning.WorkflowTemplate.SharePointAcsContextProvider
Provisioning.WorkflowTemplate,SharePointAcsContextProvider,2,4,0,0,0,63,7,0,1,0.5,5,1,Provisioning.WorkflowTemplate.SharePointContext' Provisioning.WorkflowTemplate.SharePointContextProvider' Provisioning.WorkflowTemplate.SharePointAcsContext' Provisioning.WorkflowTemplate.TokenHelper' Provisioning.WorkflowTemplate.SharePointContextToken,Provisioning.WorkflowTemplate.SharePointContextProvider
Provisioning.WorkflowTemplate,SharePointHighTrustContext,1,3,5,0,1,91,6,0,1,0.67,2,1,Provisioning.WorkflowTemplate.SharePointContext' Provisioning.WorkflowTemplate.TokenHelper,Provisioning.WorkflowTemplate.SharePointHighTrustContextProvider
Provisioning.WorkflowTemplate,SharePointHighTrustContextProvider,1,4,0,0,0,36,6,0,1,0.75,3,1,Provisioning.WorkflowTemplate.SharePointContext' Provisioning.WorkflowTemplate.SharePointContextProvider' Provisioning.WorkflowTemplate.SharePointHighTrustContext,Provisioning.WorkflowTemplate.SharePointContextProvider
Provisioning.WorkflowTemplate,SharePointContextExtensions,0,1,0,0,1,30,4,0,0,-1,3,0,Provisioning.WorkflowTemplate.SharePointAuthenticationInfo' Provisioning.WorkflowTemplate.SharePointMode' Provisioning.WorkflowTemplate.SharePointContextProvider,
Provisioning.WorkflowTemplate,TokenHelper,25,30,0,2,21,785,56,0,0,0.1,7,5,Provisioning.WorkflowTemplate.AcsMetadataParser' Provisioning.WorkflowTemplate.JsonMetadataDocument' Provisioning.WorkflowTemplate.JsonEndpoint' Provisioning.WorkflowTemplate.JsonKeyValue' Provisioning.WorkflowTemplate.JsonKey' Provisioning.WorkflowTemplate.SharePointContextToken' Provisioning.WorkflowTemplate.MultipleSymmetricKeySecurityToken,Provisioning.WorkflowTemplate.SharePointContext' Provisioning.WorkflowTemplate.SharePointContextProvider' Provisioning.WorkflowTemplate.SharePointAcsContext' Provisioning.WorkflowTemplate.SharePointAcsContextProvider' Provisioning.WorkflowTemplate.SharePointHighTrustContext
Provisioning.WorkflowTemplate,AcsMetadataParser,0,4,0,0,3,77,9,0,0,-1,0,1,,Provisioning.WorkflowTemplate.TokenHelper
Provisioning.WorkflowTemplate,JsonMetadataDocument,0,0,3,0,0,6,0,0,0,-1,0,1,,Provisioning.WorkflowTemplate.TokenHelper
Provisioning.WorkflowTemplate,JsonEndpoint,0,0,3,0,0,6,0,0,0,-1,0,1,,Provisioning.WorkflowTemplate.TokenHelper
Provisioning.WorkflowTemplate,JsonKeyValue,0,0,2,0,0,5,0,0,0,-1,0,1,,Provisioning.WorkflowTemplate.TokenHelper
Provisioning.WorkflowTemplate,JsonKey,0,0,2,0,0,5,0,0,0,-1,0,1,,Provisioning.WorkflowTemplate.TokenHelper
Provisioning.WorkflowTemplate,SharePointContextToken,0,5,6,0,4,118,8,0,0,-1,0,3,,Provisioning.WorkflowTemplate.SharePointAcsContext' Provisioning.WorkflowTemplate.SharePointAcsContextProvider' Provisioning.WorkflowTemplate.TokenHelper
Provisioning.WorkflowTemplate,MultipleSymmetricKeySecurityToken,3,4,4,0,3,112,11,0,0,0.75,0,1,,Provisioning.WorkflowTemplate.TokenHelper
Provisioning.WorkflowTemplate,WorkflowTemplateDeployer,3,7,0,0,6,124,10,0,0,0,3,1,Provisioning.WorkflowTemplate.ConsoleLogger' Provisioning.WorkflowTemplate.ILogger' Provisioning.WorkflowTemplate.WorkflowTemplateInfo,Provisioning.WorkflowTemplate.Program
Provisioning.WorkflowTemplate,WorkflowTemplateInfo,0,0,4,0,0,19,0,0,0,-1,0,2,,Provisioning.WorkflowTemplate.WorkflowTemplateDeployer' Provisioning.WorkflowTemplate.Program
