Namespace,Type,Method,LOC,CC,PC
Gateway_2.Channels.ConfigurationSource,ConfigurationSource,GetConfiguration,25,2,0
Gateway_2.Channels.ConfigurationSource,Usage,Usage,5,1,1
Gateway_2.Channels,ProvideConfiguration,GetConfiguration,19,1,0
Gateway_2,GatewayCommunicationListener,GatewayCommunicationListener,3,1,1
Gateway_2,GatewayCommunicationListener,Abort,2,1,0
Gateway_2,GatewayCommunicationListener,CloseAsync,3,1,1
Gateway_2,GatewayCommunicationListener,OpenAsync,6,1,1
Gateway_2.Sites.ConfigurationSource,ConfigurationSource,GetConfiguration,26,2,0
Gateway_2.Sites.ConfigurationSource,Usage,Usage,5,1,1
Gateway_2.Sites,ProvideConfiguration,GetConfiguration,20,1,0
