Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
Pinta.ImageManipulation.UnitTests.BlendOperations,AdditiveBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,ColorBurnBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,ColorDodgeBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,XorBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,ScreenBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,ReflectBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,OverlayBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,NormalBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,NegationBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,MultiplyBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,LightenBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,GlowBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,DifferenceBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.BlendOperations,DarkenBlendOpTest,0,2,0,0,2,33,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,AutoLevelEffectTest,0,1,0,0,1,14,1,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,BlackAndWhiteEffectTest,0,1,0,0,1,14,1,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,BrightnessContrastEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,BulgeEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,ZoomBlurEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,UnfocusEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,TwistEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,TileEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,SoftenPortraitEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,SharpenEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,SepiaEffectTest,0,1,0,0,1,14,1,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,ReliefEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,ReduceNoiseEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,RedEyeRemoveEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,RadialBlurEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,PolarInversionEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,PixelateEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,PencilSketchEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,OutlineEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,OilPaintingEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,MotionBlurEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,MedianEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,MandelbrotFractalEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,JuliaFractalEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,InvertColorsEffectTest,0,1,0,0,1,14,1,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,InkSketchEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
Pinta.ImageManipulation.UnitTests.Effects,HueSaturationEffectTest,0,2,0,0,2,25,2,0,1,-1,1,0,Pinta.ImageManipulation.UnitTests.BaseTest,
