Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IncludeAwareXmlReader,0,3,0,0,1,21,4,0,0,0,0,3
IncludeExtension,1,1,0,1,1,38,8,0,0,0,1,0
IXmlTest,0,1,0,0,0,9,1,1,0,0,1,0
transformExtensions,0,1,0,0,1,28,5,0,0,0,3,0
IXmlTestProvider,0,2,0,0,0,9,2,1,0,0,1,0
XmlTestBase,0,6,0,0,4,49,9,0,1,0,1,1
XmlTestDepth,0,0,0,0,0,11,0,0,0,0,0,4
XmlUtil,5,45,0,0,42,493,108,0,0,0.94,2,2
ITransformator,0,4,3,0,0,23,4,0,0,0,0,2
DefaultRssWriter,0,4,0,0,2,41,11,0,1,0,1,1
IRssChannel,0,0,6,0,0,27,0,1,0,0,0,0
IRssItem,0,0,7,0,0,24,0,1,0,0,0,1
IRssSource,0,1,3,0,0,13,1,1,0,0,0,2
IRssWriter,0,1,0,0,0,4,1,1,0,0,1,0
RssChannel,0,0,6,0,0,27,0,0,1,0,0,1
RssItem,0,1,7,0,1,35,1,0,1,0,0,0
RssSource,0,2,3,0,2,25,2,0,1,0,3,0
XmlAggregator,0,3,0,0,3,58,11,0,0,0,2,1
XsltSimpleContext,3,10,2,0,10,74,12,0,0,0.83,3,1
XsltSimpleContextFunction,2,3,4,0,2,47,5,0,0,0.33,0,1
XsltSimpleContextVariable,3,3,3,0,3,47,4,0,0,0.22,1,1
XsltStandardExtension,18,134,2,0,130,1033,241,0,0,0.99,4,2
