Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
QuantConnect.ToolBox.GDAXDownloader,GDAXDownloader,3,3,0,0,1,105,6,0,1,0.67,7,1,QuantConnect.Resolution' QuantConnect.Logging.Log' QuantConnect.Symbol' QuantConnect.Data.Market.TradeBar' QuantConnect.Time' QuantConnect.MarketDataType' QuantConnect.Data.BaseData,QuantConnect.ToolBox.GDAXDownloader.Program
QuantConnect.ToolBox.GDAXDownloader,Program,0,1,0,0,0,51,3,0,0,-1,10,0,QuantConnect.Resolution' QuantConnect.ToolBox.GDAXDownloader.GDAXDownloader' QuantConnect.Symbol' QuantConnect.ToolBox.LeanDataWriter' QuantConnect.Configuration.Config' QuantConnect.Market' QuantConnect.SecurityType' QuantConnect.TickType' QuantConnect.Data.BaseData' QuantConnect.Logging.Log,
QuantConnect.ToolBox,TickAggregator,0,2,3,0,1,28,2,2,0,-1,2,1,QuantConnect.Resolution' QuantConnect.Data.Consolidators.IDataConsolidator,QuantConnect.ToolBox.KaikoDataConverter.Program
QuantConnect.ToolBox,QuoteTickAggregator,0,1,0,0,1,13,1,0,1,-1,2,0,QuantConnect.Resolution' QuantConnect.Data.Consolidators.IDataConsolidator,
QuantConnect.ToolBox,TradeTickAggregator,0,1,0,0,1,13,1,0,1,-1,2,0,QuantConnect.Resolution' QuantConnect.Data.Consolidators.IDataConsolidator,
QuantConnect.ToolBox,Bz2StreamProvider,0,3,0,0,3,25,3,0,1,-1,0,1,,QuantConnect.ToolBox.StreamProvider
QuantConnect.ToolBox,ConsolidatorDataProcessor,4,4,0,0,3,65,8,0,1,0,3,1,QuantConnect.ToolBox.IDataProcessor' QuantConnect.Data.Consolidators.IDataConsolidator' QuantConnect.Data.IBaseData,QuantConnect.ToolBox.DataProcessor
QuantConnect.ToolBox,FactorFileGenerator,2,12,1,0,2,243,21,0,0,0,11,1,QuantConnect.Data.Market.TradeBar' QuantConnect.Symbol' QuantConnect.Data.BaseData' QuantConnect.DateFormat' QuantConnect.Data.Auxiliary.FactorFile' QuantConnect.Data.Market.Dividend' QuantConnect.Data.Market.Split' QuantConnect.Data.Auxiliary.FactorFileRow' QuantConnect.SecurityIdentifier' QuantConnect.Data.Market.IntraDayDividendSplit' QuantConnect.ToolBox.LeanParser,QuantConnect.Tests.Common.Util.FactorFileGeneratorTests
QuantConnect.ToolBox,FileStreamProvider,1,3,0,0,3,35,4,0,1,0.67,0,1,,QuantConnect.ToolBox.StreamProvider
QuantConnect.ToolBox,FilteredDataProcessor,2,3,0,0,3,33,4,0,1,0,2,1,QuantConnect.ToolBox.IDataProcessor' QuantConnect.Data.IBaseData,QuantConnect.ToolBox.DataProcessor
QuantConnect.ToolBox,FxcmVolumeAuxiliaryMethods,0,4,0,0,4,76,8,0,0,-1,4,3,QuantConnect.MarketDataType' QuantConnect.Resolution' QuantConnect.Symbol' QuantConnect.DateFormat,QuantConnect.ToolBox.FxcmVolumeWriter' QuantConnect.ToolBox.FxcmVolumeDownloader' QuantConnect.Tests.ToolBox.FxcmVolumeDownloaderTest
QuantConnect.ToolBox,FxcmVolumeWriter,2,5,1,0,2,86,13,0,0,0,7,2,QuantConnect.Resolution' QuantConnect.Symbol' QuantConnect.SecurityIdentifier' QuantConnect.Data.BaseData' QuantConnect.ToolBox.FxcmVolumeAuxiliaryMethods' QuantConnect.Data.Custom.FxcmVolume' QuantConnect.Compression,QuantConnect.ToolBox.FxcmVolumeDownloader' QuantConnect.Tests.ToolBox.FxcmVolumeDownloaderTest
QuantConnect.ToolBox,FxcmVolumeDownloader,6,6,0,0,3,229,11,0,1,0,6,2,QuantConnect.Symbol' QuantConnect.Data.BaseData' QuantConnect.Resolution' QuantConnect.ToolBox.FxcmVolumeWriter' QuantConnect.ToolBox.FxcmVolumeAuxiliaryMethods' QuantConnect.ToolBox.FxcmSymbolId,QuantConnect.ToolBox.FxcmVolumeDownload.Program' QuantConnect.Tests.ToolBox.FxcmVolumeDownloaderTest
QuantConnect.ToolBox,FxcmSymbolId,0,0,0,0,0,17,0,0,0,-1,0,1,,QuantConnect.ToolBox.FxcmVolumeDownloader
QuantConnect.ToolBox,IDataProcessor,0,1,0,0,0,8,1,4,0,-1,1,5,QuantConnect.Data.IBaseData,QuantConnect.ToolBox.ConsolidatorDataProcessor' QuantConnect.ToolBox.FilteredDataProcessor' QuantConnect.ToolBox.DataProcessor' QuantConnect.ToolBox.PipeDataProcessor' QuantConnect.ToolBox.RawFileProcessor
QuantConnect.ToolBox,DataProcessor,0,4,0,0,2,82,10,0,0,-1,13,0,QuantConnect.ToolBox.FilteredDataProcessor' QuantConnect.ToolBox.IDataProcessor' QuantConnect.ToolBox.PipeDataProcessor' QuantConnect.ToolBox.CsvDataProcessor' QuantConnect.Data.Market.Tick' QuantConnect.Resolution' QuantConnect.TickType' QuantConnect.ToolBox.ConsolidatorDataProcessor' QuantConnect.SecurityType' QuantConnect.SecurityIdentifier' QuantConnect.Symbol' QuantConnect.Data.IBaseData' QuantConnect.Data.Consolidators.TickConsolidator,
QuantConnect.ToolBox,IStreamParser,0,1,0,0,0,10,1,1,0,-1,0,1,,QuantConnect.ToolBox.RawFileProcessor
QuantConnect.ToolBox,IStreamProvider,0,2,0,0,0,14,2,3,0,-1,0,3,,QuantConnect.ToolBox.RawFileProcessor' QuantConnect.ToolBox.AlgoSeekFuturesConverter.AlgoSeekFuturesReader' QuantConnect.ToolBox.AlgoSeekOptionsConverter.AlgoSeekOptionsReader
QuantConnect.ToolBox,StreamProvider,0,1,0,0,1,21,3,0,0,-1,3,2,QuantConnect.ToolBox.ZipStreamProvider' QuantConnect.ToolBox.Bz2StreamProvider' QuantConnect.ToolBox.FileStreamProvider,QuantConnect.ToolBox.AlgoSeekFuturesConverter.AlgoSeekFuturesReader' QuantConnect.ToolBox.AlgoSeekOptionsConverter.AlgoSeekOptionsReader
QuantConnect.ToolBox,LazyStreamWriter,2,5,0,0,4,53,8,0,0,0,0,1,,QuantConnect.ToolBox.AlgoSeekFuturesConverter.AlgoSeekFuturesProcessor
QuantConnect.ToolBox,LeanDataReader,4,2,0,0,2,43,2,0,0,0,7,2,QuantConnect.Data.SubscriptionDataConfig' QuantConnect.Util.LeanData' QuantConnect.Symbol' QuantConnect.Resolution' QuantConnect.Data.BaseData' QuantConnect.Util.ObjectActivator' QuantConnect.Compression,QuantConnect.ToolBox.KaikoDataConverter.Program' QuantConnect.Tests.ToolBox.LeanDataReaderTests
QuantConnect.ToolBox,LeanDataWriter,6,7,0,0,2,186,19,0,0,0,10,12,QuantConnect.Symbol' QuantConnect.TickType' QuantConnect.Resolution' QuantConnect.SecurityType' QuantConnect.SecurityIdentifier' QuantConnect.Data.BaseData' QuantConnect.Util.LeanData' QuantConnect.DateFormat' QuantConnect.Logging.Log' QuantConnect.Compression,QuantConnect.ToolBox.GDAXDownloader.Program' QuantConnect.ToolBox.CryptoiqDownloader.Program' QuantConnect.ToolBox.DukascopyDownloader.Program' QuantConnect.ToolBox.FxcmDownloader.Program' QuantConnect.ToolBox.GoogleDownloader.Program' QuantConnect.ToolBox.KaikoDataConverter.Program' QuantConnect.ToolBox.KrakenDownloader.Program' QuantConnect.ToolBox.NseMarketDataConverter.Program' QuantConnect.ToolBox.OandaDownloader.Program' QuantConnect.ToolBox.QuandlBitfinexDownloader.Program' QuantConnect.ToolBox.YahooDownloader.Program' QuantConnect.Tests.ToolBox.LeanDataWriterTests
QuantConnect.ToolBox,LeanInstrument,0,0,4,0,0,19,0,0,0,-1,0,0,,
QuantConnect.ToolBox,LeanParser,0,3,0,0,2,58,5,0,1,-1,10,1,QuantConnect.Util.LeanDataPathComponents' QuantConnect.TickType' QuantConnect.Data.BaseData' QuantConnect.Data.SubscriptionDataConfig' QuantConnect.TimeZones' QuantConnect.Resolution' QuantConnect.SecurityType' QuantConnect.Data.Market.Tick' QuantConnect.Data.Market.TradeBar' QuantConnect.Data.Market.QuoteBar,QuantConnect.ToolBox.FactorFileGenerator
QuantConnect.ToolBox,PipeDataProcessor,1,5,0,0,5,49,7,0,1,0.4,2,1,QuantConnect.ToolBox.IDataProcessor' QuantConnect.Data.IBaseData,QuantConnect.ToolBox.DataProcessor
QuantConnect.ToolBox,IDataDownloader,0,1,0,0,0,12,1,10,0,-1,2,0,QuantConnect.Symbol' QuantConnect.Resolution,
QuantConnect.ToolBox,RawFileProcessor,4,4,1,0,4,89,7,0,0,0,4,0,QuantConnect.ToolBox.IStreamProvider' QuantConnect.ToolBox.IStreamParser' QuantConnect.ToolBox.IDataProcessor' QuantConnect.Logging.Log,
QuantConnect.ToolBox,CsvDataProcessor,6,4,0,0,3,82,8,0,1,0,7,1,QuantConnect.Resolution' QuantConnect.TickType' QuantConnect.ToolBox.Writer' QuantConnect.Data.IBaseData' QuantConnect.Util.LeanData' QuantConnect.SecurityIdentifier' QuantConnect.Symbol,QuantConnect.ToolBox.DataProcessor
QuantConnect.ToolBox,Writer,3,1,0,3,1,11,1,0,0,0,0,1,,QuantConnect.ToolBox.CsvDataProcessor
QuantConnect.ToolBox,ZipStreamProvider,2,3,0,0,3,52,3,0,1,0,0,1,,QuantConnect.ToolBox.StreamProvider
QuantConnect.ToolBox.AlgoSeekFuturesConverter,AlgoSeekFuturesConverter,7,5,0,0,3,210,6,0,0,0,7,1,QuantConnect.ToolBox.AlgoSeekFuturesConverter.AlgoSeekFuturesReader' QuantConnect.Data.Market.Tick' QuantConnect.Logging.Log' QuantConnect.OS' QuantConnect.TickType' QuantConnect.ToolBox.AlgoSeekFuturesConverter.AlgoSeekFuturesProcessor' QuantConnect.DateFormat,QuantConnect.ToolBox.AlgoSeekFuturesConverter.Program
