Namespace,Type,Method,LOC,CC,PC
FasterLinq,Program,Main,6,1,1
FasterLinq,Program,Sync,37,2,1
FasterLinq,Program,Async1,37,2,1
FasterLinq,Program,Async2,37,2,1
System,IAsyncDisposable,DisposeAsync,0,1,0
System.Collections.Generic,IAsyncEnumerable,GetAsyncEnumerator,0,1,0
System.Collections.Generic,IAsyncEnumerator,MoveNextAsync,0,1,0
System.Collections.Generic,IFastEnumerable,GetEnumerator,0,1,0
System.Collections.Generic,IFastEnumerator,TryGetNext,0,1,1
System.Collections.Generic,IAsyncFastEnumerable,GetAsyncEnumerator,0,1,0
System.Collections.Generic,IAsyncFastEnumerator,WaitForNextAsync,0,1,0
System.Collections.Generic,IAsyncFastEnumerator,TryGetNext,0,1,1
System.Labs.Linq,Iterator<T>,Iterator,3,1,0
System.Labs.Linq,Iterator<T>,Clone,0,1,0
System.Labs.Linq,Iterator<T>,Dispose,3,1,0
System.Labs.Linq,Iterator<T>,GetEnumerator,5,1,0
System.Labs.Linq,Iterator<T>,MoveNext,0,1,0
System.Labs.Linq,Iterator<T>,GetEnumerator,0,1,0
System.Labs.Linq,Iterator<T>,Reset,0,1,0
System.Labs.Linq,AsyncIterator<T>,AsyncIterator,3,1,0
System.Labs.Linq,AsyncIterator<T>,Clone,0,1,0
System.Labs.Linq,AsyncIterator<T>,DisposeAsync,4,1,0
System.Labs.Linq,AsyncIterator<T>,GetAsyncEnumerator,5,1,0
System.Labs.Linq,AsyncIterator<T>,MoveNextAsync,0,1,0
System.Labs.Linq,FastIterator<T>,FastIterator,3,1,0
System.Labs.Linq,FastIterator<T>,Clone,0,1,0
System.Labs.Linq,FastIterator<T>,Dispose,3,1,0
System.Labs.Linq,FastIterator<T>,GetEnumerator,5,1,0
System.Labs.Linq,FastIterator<T>,TryGetNext,0,1,1
System.Labs.Linq,AsyncFastIterator<T>,AsyncFastIterator,3,1,0
System.Labs.Linq,AsyncFastIterator<T>,Clone,0,1,0
System.Labs.Linq,AsyncFastIterator<T>,DisposeAsync,4,1,0
System.Labs.Linq,AsyncFastIterator<T>,GetAsyncEnumerator,5,1,0
System.Labs.Linq,AsyncFastIterator<T>,WaitForNextAsync,0,1,0
System.Labs.Linq,AsyncFastIterator<T>,TryGetNext,0,1,1
System.Labs.Linq,Enumerable,Aggregate,8,2,3
System.Labs.Linq,Enumerable,Empty,0,1,0
System.Labs.Linq,Enumerable,ForEach,6,2,2
System.Labs.Linq,Enumerable,Range,0,1,2
System.Labs.Linq,Enumerable,Select,0,1,2
System.Labs.Linq,Enumerable,Where,0,1,2
System.Labs.Linq,EmptyIterator<T>,Dispose,1,1,0
System.Labs.Linq,EmptyIterator<T>,GetEnumerator,0,1,0
System.Labs.Linq,EmptyIterator<T>,MoveNext,0,1,0
System.Labs.Linq,EmptyIterator<T>,Reset,1,1,0
System.Labs.Linq,EmptyIterator<T>,GetEnumerator,0,1,0
System.Labs.Linq,EmptyIterator<T>,Dispose,1,1,0
System.Labs.Linq,EmptyIterator<T>,GetEnumerator,0,1,0
System.Labs.Linq,EmptyIterator<T>,TryGetNext,4,1,1
System.Labs.Linq,EmptyIterator<T>,DisposeAsync,0,1,0
System.Labs.Linq,EmptyIterator<T>,GetAsyncEnumerator,0,1,0
System.Labs.Linq,EmptyIterator<T>,MoveNextAsync,0,1,0
System.Labs.Linq,EmptyIterator<T>,DisposeAsync,0,1,0
System.Labs.Linq,EmptyIterator<T>,GetAsyncEnumerator,0,1,0
System.Labs.Linq,EmptyIterator<T>,TryGetNext,4,1,1
System.Labs.Linq,EmptyIterator<T>,WaitForNextAsync,0,1,0
System.Labs.Linq,RangeIterator,RangeIterator,4,1,2
System.Labs.Linq,RangeIterator,Clone,0,1,0
System.Labs.Linq,RangeIterator,MoveNext,17,3,0
System.Labs.Linq,RangeIterator,RangeIterator,4,1,2
System.Labs.Linq,RangeIterator,Clone,0,1,0
System.Labs.Linq,RangeIterator,TryGetNext,18,3,1
System.Labs.Linq,RangeIterator,RangeIterator,4,1,2
System.Labs.Linq,RangeIterator,Clone,0,1,0
System.Labs.Linq,RangeIterator,MoveNextAsync,17,3,0
System.Labs.Linq,RangeIterator,RangeIterator,4,1,2
System.Labs.Linq,RangeIterator,Clone,0,1,0
System.Labs.Linq,RangeIterator,TryGetNext,9,2,1
System.Labs.Linq,RangeIterator,WaitForNextAsync,16,3,0
System.Labs.Linq,SelectIterator<T;R>,SelectIterator,4,1,2
System.Labs.Linq,SelectIterator<T;R>,Clone,0,1,0
System.Labs.Linq,SelectIterator<T;R>,MoveNext,17,3,0
System.Labs.Linq,SelectIterator<T;R>,Dispose,0,1,0
System.Labs.Linq,SelectIterator<T;R>,SelectIterator,4,1,2
System.Labs.Linq,SelectIterator<T;R>,Clone,0,1,0
System.Labs.Linq,SelectIterator<T;R>,MoveNextAsync,17,3,0
System.Labs.Linq,SelectIterator<T;R>,DisposeAsync,0,1,0
System.Labs.Linq,WhereIterator<T>,WhereIterator,4,1,2
System.Labs.Linq,WhereIterator<T>,Clone,0,1,0
System.Labs.Linq,WhereIterator<T>,MoveNext,21,4,0
System.Labs.Linq,WhereIterator<T>,Dispose,0,1,0
System.Labs.Linq,WhereIterator<T>,WhereIterator,4,1,2
System.Labs.Linq,WhereIterator<T>,Clone,0,1,0
System.Labs.Linq,WhereIterator<T>,MoveNextAsync,21,4,0
System.Labs.Linq,WhereIterator<T>,DisposeAsync,0,1,0
System.Labs.Linq,FastEnumerable,Aggregate,16,3,3
System.Labs.Linq,FastEnumerable,Empty,0,1,0
System.Labs.Linq,FastEnumerable,ForEach,14,3,2
System.Labs.Linq,FastEnumerable,Range,0,1,2
System.Labs.Linq,FastEnumerable,Select,0,1,2
System.Labs.Linq,FastEnumerable,ToFastEnumerable,0,1,1
System.Labs.Linq,FastEnumerable,ToEnumerable,0,1,1
System.Labs.Linq,FastEnumerable,Where,0,1,2
System.Labs.Linq,EnumerableToFastEnumerable<T>,EnumerableToFastEnumerable,3,1,1
System.Labs.Linq,EnumerableToFastEnumerable<T>,Clone,0,1,0
System.Labs.Linq,EnumerableToFastEnumerable<T>,TryGetNext,18,3,1
System.Labs.Linq,EnumerableToFastEnumerable<T>,Dispose,0,1,0
System.Labs.Linq,FastEnumerableToEnumerable<T>,FastEnumerableToEnumerable,3,1,1
System.Labs.Linq,FastEnumerableToEnumerable<T>,Clone,0,1,0
System.Labs.Linq,FastEnumerableToEnumerable<T>,MoveNext,13,2,0
System.Labs.Linq,FastEnumerableToEnumerable<T>,Dispose,0,1,0
System.Labs.Linq,SelectFastIterator<T;R>,SelectFastIterator,4,1,2
System.Labs.Linq,SelectFastIterator<T;R>,Clone,0,1,0
System.Labs.Linq,SelectFastIterator<T;R>,TryGetNext,18,3,1
System.Labs.Linq,SelectFastIterator<T;R>,Dispose,0,1,0
System.Labs.Linq,SelectFastIterator<T;R>,SelectFastIterator,4,1,2
System.Labs.Linq,SelectFastIterator<T;R>,Clone,0,1,0
System.Labs.Linq,SelectFastIterator<T;R>,TryGetNext,12,3,1
System.Labs.Linq,SelectFastIterator<T;R>,DisposeAsync,0,1,0
System.Labs.Linq,SelectFastIterator<T;R>,WaitForNextAsync,12,2,0
System.Labs.Linq,WhereFastIterator<T>,WhereFastIterator,4,1,2
System.Labs.Linq,WhereFastIterator<T>,Clone,0,1,0
System.Labs.Linq,WhereFastIterator<T>,TryGetNext,25,5,1
System.Labs.Linq,WhereFastIterator<T>,Dispose,0,1,0
System.Labs.Linq,WhereFastIterator<T>,WhereFastIterator,4,1,2
System.Labs.Linq,WhereFastIterator<T>,Clone,0,1,0
System.Labs.Linq,WhereFastIterator<T>,TryGetNext,19,5,1
System.Labs.Linq,WhereFastIterator<T>,DisposeAsync,0,1,0
System.Labs.Linq,WhereFastIterator<T>,WaitForNextAsync,12,2,0
System.Labs.Linq,AsyncEnumerable,Aggregate,16,2,3
System.Labs.Linq,AsyncEnumerable,Aggregate,19,3,3
System.Labs.Linq,AsyncEnumerable,Empty,0,1,0
System.Labs.Linq,AsyncEnumerable,ForEachAsync,15,2,2
System.Labs.Linq,AsyncEnumerable,Range,0,1,2
System.Labs.Linq,AsyncEnumerable,Select,0,1,2
System.Labs.Linq,AsyncEnumerable,Select,0,1,2
System.Labs.Linq,AsyncEnumerable,Where,0,1,2
System.Labs.Linq,AsyncEnumerable,Where,0,1,2
System.Labs.Linq,SelectIteratorWithTask<T;R>,SelectIteratorWithTask,4,1,2
System.Labs.Linq,SelectIteratorWithTask<T;R>,Clone,0,1,0
System.Labs.Linq,SelectIteratorWithTask<T;R>,MoveNextAsync,17,3,0
System.Labs.Linq,SelectIteratorWithTask<T;R>,DisposeAsync,0,1,0
System.Labs.Linq,WhereIteratorWithTask<T>,WhereIteratorWithTask,4,1,2
System.Labs.Linq,WhereIteratorWithTask<T>,Clone,0,1,0
System.Labs.Linq,WhereIteratorWithTask<T>,MoveNextAsync,21,4,0
System.Labs.Linq,WhereIteratorWithTask<T>,DisposeAsync,0,1,0
System.Labs.Linq,AsyncFastEnumerable,Aggregate,24,4,3
System.Labs.Linq,AsyncFastEnumerable,Aggregate,24,4,3
System.Labs.Linq,AsyncFastEnumerable,Empty,0,1,0
System.Labs.Linq,AsyncFastEnumerable,ForEachAsync,22,4,2
System.Labs.Linq,AsyncFastEnumerable,Range,0,1,2
System.Labs.Linq,AsyncFastEnumerable,Select,0,1,2
System.Labs.Linq,AsyncFastEnumerable,Select,0,1,2
System.Labs.Linq,AsyncFastEnumerable,ToAsyncFastEnumerable,0,1,1
System.Labs.Linq,AsyncFastEnumerable,ToAsyncEnumerable,0,1,1
System.Labs.Linq,AsyncFastEnumerable,Where,0,1,2
System.Labs.Linq,AsyncFastEnumerable,Where,0,1,2
System.Labs.Linq,AsyncEnumerableToAsyncFastEnumerable<T>,AsyncEnumerableToAsyncFastEnumerable,3,1,1
System.Labs.Linq,AsyncEnumerableToAsyncFastEnumerable<T>,Clone,0,1,0
System.Labs.Linq,AsyncEnumerableToAsyncFastEnumerable<T>,TryGetNext,5,1,1
System.Labs.Linq,AsyncEnumerableToAsyncFastEnumerable<T>,DisposeAsync,0,1,0
System.Labs.Linq,AsyncEnumerableToAsyncFastEnumerable<T>,WaitForNextAsync,13,2,0
System.Labs.Linq,AsyncFastEnumerableToAsyncEnumerable<T>,AsyncFastEnumerableToAsyncEnumerable,3,1,1
System.Labs.Linq,AsyncFastEnumerableToAsyncEnumerable<T>,Clone,0,1,0
System.Labs.Linq,AsyncFastEnumerableToAsyncEnumerable<T>,MoveNextAsync,28,2,0
System.Labs.Linq,AsyncFastEnumerableToAsyncEnumerable<T>,DisposeAsync,0,1,0
System.Labs.Linq,SelectFastIteratorWithTask<T;R>,SelectFastIteratorWithTask,4,1,2
System.Labs.Linq,SelectFastIteratorWithTask<T;R>,Clone,0,1,0
System.Labs.Linq,SelectFastIteratorWithTask<T;R>,TryGetNext,5,1,1
System.Labs.Linq,SelectFastIteratorWithTask<T;R>,DisposeAsync,0,1,0
System.Labs.Linq,SelectFastIteratorWithTask<T;R>,WaitForNextAsync,32,2,0
System.Labs.Linq,WhereFastIteratorWithTask<T>,WhereFastIteratorWithTask,4,1,2
System.Labs.Linq,WhereFastIteratorWithTask<T>,Clone,0,1,0
System.Labs.Linq,WhereFastIteratorWithTask<T>,TryGetNext,5,1,1
System.Labs.Linq,WhereFastIteratorWithTask<T>,DisposeAsync,0,1,0
System.Labs.Linq,WhereFastIteratorWithTask<T>,WaitForNextAsync,35,2,0
