Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Abstractions.Attribution.MetaData,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Abstractions.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution,Rebel.Framework.Persistence.Abstractions.Attribution.MetaData.IAttributeSerializationDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.Attribution.TypedAttribute
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Abstractions.Attribution.MetaData,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Abstractions.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution,Rebel.Framework.Persistence.Abstractions.Attribution.MetaData.IAttributeSerializationDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Attribution.TypedAttribute
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Associations._Revised,Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution,Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.Attribution.TypedAttribute
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Associations._Revised' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution,Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.Attribution.TypedAttribute
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Associations' Rebel.Framework.Persistence.Model.Associations._Revised' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution,Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Associations.Relation' Rebel.Framework.Persistence.Model.Associations.Relation<TSource'TDestination>' Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.Attribution.TypedAttribute
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Associations,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Associations' Rebel.Framework.Persistence.Model.Associations._Revised,Rebel.Framework.Persistence.Model.Associations.Relation' Rebel.Framework.Persistence.Model.Associations.Relation<TSource'TDestination>' Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Associations,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Associations' Rebel.Framework.Persistence.Model.Associations._Revised' Rebel.Framework.Persistence.Model,Rebel.Framework.Persistence.Model.Associations.Relation' Rebel.Framework.Persistence.Model.Associations.Relation<TSource'TDestination>' Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Associations,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Associations' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model.Attribution' Rebel.Framework.Persistence.Model,Rebel.Framework.Persistence.Model.Associations.Relation' Rebel.Framework.Persistence.Model.Associations.Relation<TSource'TDestination>' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.Attribution.TypedAttribute' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity
Cyclic Dependency,Rebel.Framework.Persistence,Rebel.Framework.Persistence.Model.Associations._Revised,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Rebel.Framework.Persistence.Model.Associations._Revised' Rebel.Framework.Persistence.Model.Attribution.MetaData' Rebel.Framework.Persistence.Model' Rebel.Framework.Persistence.Model.Associations,Rebel.Framework.Persistence.Model.Associations._Revised.RelationById' Rebel.Framework.Persistence.Model.Associations._Revised.RelationProxyCollection' Rebel.Framework.Persistence.Model.Attribution.MetaData.CompositeEntitySchema' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeDefinition' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeGroup' Rebel.Framework.Persistence.Model.Attribution.MetaData.AttributeType' Rebel.Framework.Persistence.Model.Attribution.MetaData.EntitySchema' Rebel.Framework.Persistence.Model.AbstractSchemaPart<T>' Rebel.Framework.Persistence.Model.CompositeTypedEntity' Rebel.Framework.Persistence.Model.TypedEntity' Rebel.Framework.Persistence.Model.Associations.Relation' Rebel.Framework.Persistence.Model.Associations.Relation<TSource'TDestination>
