Method,LOC,CC,PC
Extensions:Contains,3,1,3
Extensions:NextBoolean,4,2,1
Extensions:Pluralise,4,2,2
Extensions:ToDelimited,4,2,2
Extensions:WithDelimiter,8,4,2
Extensions:ForEach,8,4,2
Extensions:Contains,3,1,3
Extensions:NextBoolean,4,2,1
Extensions:Pluralise,4,2,2
Extensions:ToDelimited,4,2,2
Extensions:WithDelimiter,8,4,2
Extensions:ForEach,8,4,2
ILogEntryService:Remove,0,1,1
ILogger:Debug,0,1,2
ILogger:Info,0,1,2
ILogger:Warn,0,1,2
ILogger:Error,0,1,3
ILogger:Fatal,0,1,2
IObjectProvider:Get,0,1,0
LogEntry:LogEntry,9,1,7
LogEntry:Equals,5,3,1
LogEntry:Equals,6,4,1
LogEntry:GetHashCode,3,1,0
LogEntry:ToString,3,1,0
LogEntrySummary:LogEntrySummary,2,1,0
LogEntrySummary:LogEntrySummary,6,1,4
LogEntrySummary:Equals,5,3,1
LogEntrySummary:Equals,6,4,1
LogEntrySummary:GetHashCode,10,1,0
ReactiveLogAppender:OnClose,4,1,0
ReactiveLogAppender:Append,11,1,1
ReactiveLogAppender:Map,11,5,1
SchedulerProvider:SchedulerProvider,3,1,1
CurrencyPair:CurrencyPair,8,1,5
CurrencyPair:Equals,3,1,1
CurrencyPair:Equals,6,4,1
CurrencyPair:GetHashCode,3,1,0
CurrencyPair:ToString,3,1,0
CurrencyPairPosition:CurrencyPairPosition,13,1,1
CurrencyPairPosition:Equals,5,3,1
CurrencyPairPosition:Equals,6,4,1
CurrencyPairPosition:GetHashCode,3,1,0
CurrencyPairPosition:Dispose,3,1,0
MarketData:MarketData,5,1,3
MarketData:Equals,3,1,1
MarketData:Equals,4,2,1
MarketData:GetHashCode,9,1,0
MarketData:ToString,3,1,0
SortContainer:SortContainer,4,1,2
SortContainer:Equals,5,3,1
SortContainer:Equals,6,4,1
SortContainer:GetHashCode,3,1,0
SortParameterData:SortParameterData,3,1,0
Trade:Trade,11,1,2
Trade:Trade,11,1,9
Trade:SetMarketPrice,6,1,1
Trade:Equals,5,3,1
Trade:Equals,6,4,1
Trade:GetHashCode,3,1,0
Trade:Dispose,3,1,0
TradeProxy:TradeProxy,24,2,1
TradeProxy:Dispose,3,1,0
TradeProxy:Equals,5,3,1
TradeProxy:Equals,6,4,1
TradeProxy:GetHashCode,3,1,0
TradesByPercentDiff:TradesByPercentDiff,12,2,3
TradesByPercentDiff:Dispose,3,1,0
TradesByPercentDiff:Equals,5,3,1
TradesByPercentDiff:Equals,6,4,1
TradesByPercentDiff:GetHashCode,3,1,0
TradesByTime:TradesByTime,10,1,2
TradesByTime:Dispose,3,1,0
TradesByTime:Equals,5,3,1
TradesByTime:Equals,6,4,1
TradesByTime:GetHashCode,3,1,0
TradesPosition:TradesPosition,6,1,3
StringFormatMethodAttribute:StringFormatMethodAttribute,3,1,1
NotifyPropertyChangedInvocatorAttribute:NotifyPropertyChangedInvocatorAttribute,1,1,0
NotifyPropertyChangedInvocatorAttribute:NotifyPropertyChangedInvocatorAttribute,3,1,1
ContractAnnotationAttribute:ContractAnnotationAttribute,1,1,1
ContractAnnotationAttribute:ContractAnnotationAttribute,4,1,2
LocalizationRequiredAttribute:LocalizationRequiredAttribute,1,1,0
LocalizationRequiredAttribute:LocalizationRequiredAttribute,3,1,1
BaseTypeRequiredAttribute:BaseTypeRequiredAttribute,3,1,1
UsedImplicitlyAttribute:UsedImplicitlyAttribute,1,1,0
UsedImplicitlyAttribute:UsedImplicitlyAttribute,1,1,1
UsedImplicitlyAttribute:UsedImplicitlyAttribute,1,1,1
UsedImplicitlyAttribute:UsedImplicitlyAttribute,4,1,2
MeansImplicitUseAttribute:MeansImplicitUseAttribute,1,1,0
MeansImplicitUseAttribute:MeansImplicitUseAttribute,1,1,1
MeansImplicitUseAttribute:MeansImplicitUseAttribute,1,1,1
MeansImplicitUseAttribute:MeansImplicitUseAttribute,4,1,2
PublicAPIAttribute:PublicAPIAttribute,1,1,0
PublicAPIAttribute:PublicAPIAttribute,3,1,1
PathReferenceAttribute:PathReferenceAttribute,1,1,0
PathReferenceAttribute:PathReferenceAttribute,3,1,1
AspMvcAreaMasterLocationFormatAttribute:AspMvcAreaMasterLocationFormatAttribute,1,1,1
AspMvcAreaPartialViewLocationFormatAttribute:AspMvcAreaPartialViewLocationFormatAttribute,1,1,1
AspMvcAreaViewLocationFormatAttribute:AspMvcAreaViewLocationFormatAttribute,1,1,1
AspMvcMasterLocationFormatAttribute:AspMvcMasterLocationFormatAttribute,1,1,1
AspMvcPartialViewLocationFormatAttribute:AspMvcPartialViewLocationFormatAttribute,1,1,1
AspMvcViewLocationFormatAttribute:AspMvcViewLocationFormatAttribute,1,1,1
AspMvcActionAttribute:AspMvcActionAttribute,1,1,0
AspMvcActionAttribute:AspMvcActionAttribute,3,1,1
AspMvcAreaAttribute:AspMvcAreaAttribute,1,1,0
AspMvcAreaAttribute:AspMvcAreaAttribute,3,1,1
AspMvcControllerAttribute:AspMvcControllerAttribute,1,1,0
AspMvcControllerAttribute:AspMvcControllerAttribute,3,1,1
HtmlElementAttributesAttribute:HtmlElementAttributesAttribute,1,1,0
HtmlElementAttributesAttribute:HtmlElementAttributesAttribute,3,1,1
HtmlAttributeValueAttribute:HtmlAttributeValueAttribute,3,1,1
IMarketDataService:Watch,0,1,1
INearToMarketService:Query,0,1,1
INotificationPublisher:Publish,0,1,1
INotificationStream:Observe,0,1,0
NotificationService:Observe,3,1,0
NotificationService:Publish,3,1,1
Notification:Notification,5,1,3
Notification:Equals,3,1,1
Notification:Equals,6,4,1
Notification:GetHashCode,10,1,0
LogEntryService:LogEntryService,16,1,1
LogEntryService:Remove,16,1,1
LogEntryService:Dispose,3,1,0
MarketDataService:MarketDataService,6,2,1
MarketDataService:GenerateStream,26,1,1
MarketDataService:Watch,5,2,1
NearToMarketService:NearToMarketService,4,1,2
NearToMarketService:Query,20,2,1
TradeGenerator:TradeGenerator,11,1,2
TradeGenerator:Generate,25,1,2
TradeGenerator:GererateRandomPrice,8,1,2
TradeGenerator:Dispose,3,1,0
TradePriceUpdateJob:TradePriceUpdateJob,26,1,2
TradePriceUpdateJob:UpdateTradesWithPrice,3,1,2
TradePriceUpdateJob:Dispose,3,1,0
TradeService:TradeService,15,1,3
TradeService:GenerateTradesAndMaintainCache,44,1,0
TradeService:LogChanges,13,1,0
TradeService:Dispose,3,1,0
