Namespace,Type,Method,LOC,CC,PC
Revalee.Client,RevaleeRegistrar,ScheduleCallbackAsync,3,1,2
Revalee.Client,RevaleeRegistrar,ScheduleCallbackAsync,3,1,3
Revalee.Client,RevaleeRegistrar,ScheduleCallbackAsync,3,1,3
Revalee.Client,RevaleeRegistrar,ScheduleCallbackAsync,3,1,2
Revalee.Client,RevaleeRegistrar,ScheduleCallbackAsync,3,1,3
Revalee.Client,RevaleeRegistrar,ScheduleCallbackAsync,62,5,3
Revalee.Client,RevaleeRegistrar,CancelCallbackAsync,3,1,2
Revalee.Client,RevaleeRegistrar,CancelCallbackAsync,3,1,3
Revalee.Client,RevaleeRegistrar,CancelCallbackAsync,49,4,3
Revalee.Client,RevaleeRegistrar,TimeoutCallback,10,3,2
Revalee.Client,RevaleeRegistrar,ScheduleCallback,3,1,2
Revalee.Client,RevaleeRegistrar,ScheduleCallback,3,1,3
Revalee.Client,RevaleeRegistrar,ScheduleCallback,3,1,3
Revalee.Client,RevaleeRegistrar,ScheduleCallback,3,1,2
Revalee.Client,RevaleeRegistrar,ScheduleCallback,3,1,3
Revalee.Client,RevaleeRegistrar,ScheduleCallback,27,6,3
Revalee.Client,RevaleeRegistrar,CancelCallback,3,1,2
Revalee.Client,RevaleeRegistrar,CancelCallback,3,1,3
Revalee.Client,RevaleeRegistrar,CancelCallback,17,4,3
Revalee.Client,RevaleeRegistrar,ValidateCallback,21,5,1
Revalee.Client,RevaleeRegistrar,ProcessScheduledCallbackSync,21,2,3
Revalee.Client,RevaleeRegistrar,ProcessCanceledCallbackSync,17,2,3
Revalee.Client,RevaleeRegistrar,BuildScheduleRequestUrl,3,1,3
Revalee.Client,RevaleeRegistrar,BuildCancelRequestUrl,3,1,3
Revalee.Client,RevaleeRegistrar,PrepareCallbackUrl,3,1,1
Revalee.Client,RevaleeRegistrar,ToAbsoluteUri,8,2,1
Revalee.Client,RevaleeRegistrar,CreateRequest,12,1,1
Revalee.Client,RevaleeRegistrar,GetWebRequestTimeout,11,2,0
Revalee.Client,RevaleeRegistrar,InitializeUserAgent,6,1,0
Revalee.Client,RevaleeRequestException,RevaleeRequestException,4,1,3
Revalee.Client,RevaleeRequestException,RevaleeRequestException,8,2,2
