Method,LOC,CC,PC
ColumnsSeparatorDetector:DetectColumnSeparator,13,1,10
ColumnTypeDetector:DetectColumnType,3,1,1
ColumnTypeDetector:IsColumnInterger,8,2,1
ColumnTypeDetector:IsColumnDouble,8,2,1
ColumnTypeDetector:IsColumnBoolean,8,2,1
ColumnTypeDetector:IsColumnDateTime,8,2,1
FileLoader:FileLoader,5,2,1
FileLoader:LoadFile,6,1,1
FileLoader:OpenStream,3,1,0
FileLoader:DetectColumnsSeparator,3,1,0
FileLoader:GetRows,11,4,0
AuxiliaryExtensions:SubArray,9,3,3
AuxiliaryExtensions:Deserialize,11,5,1
SortedRowsProvider:SortedRowsProvider,4,1,2
SortedRowsProvider:FetchCount,3,1,0
SortedRowsProvider:FetchRange,3,1,2
SortedRowsProvider:FetchSingle,4,1,1
Sorter:Sorter,5,2,1
Sorter:Sort,9,1,2
Sorter:SortByColumn,5,1,1
Sorter:ApplyExternalSort,4,1,7
Sorter:ApplyInMemorySort,3,1,4
Sorter:IsChunkingReqiured,4,1,0
Sorter:GenerateRanges,15,3,2
ProcessStatusChangedEventArgs:ProcessStatusChangedEventArgs,3,1,1
AsyncEnumerator:AsyncEnumerator,5,1,3
AsyncEnumerator:GetEnumerator,13,1,0
AsyncEnumerator:GetEnumerator,3,1,0
AsyncEnumerator:Dispose,4,2,0
AsyncEnumerator:MoveNext,3,1,0
AsyncEnumerator:Reset,3,1,0
ExternalSortPipeline:ChunkifyAsync,17,1,2
ExternalSortPipeline:Chunkify,12,4,2
ExternalSortPipeline:SortAscendingAsync,3,1,2
ExternalSortPipeline:SortAscendingAsync,8,3,4
ExternalSortPipeline:SavePartialResult,7,2,3
ExternalSortPipeline:MergeAscending,19,4,4
ExternalSortPipeline:ForceEnumeration,3,1,1
ExternalSortPipeline:AddInSortedOrder,20,5,3
ExternalSortPipeline:CalculateDegreeOfParallelism,3,1,0
PartialResult:PartialResult,3,1,1
IndexedStream:IndexedStream,5,1,3
IndexedStream:GetLine,6,1,1
IndexedStream:GetLines,6,1,3
IndexedStream:GetColumnsSet,8,1,5
IndexedStream:GetRawColumns,22,7,3
IndexedStream:IsEndOfLine,3,1,1
IndexedStream:Dispose,5,2,0
IndexedStream:CalculateBuffer,12,2,2
StreamIndexer:GetIndexedStream,6,1,2
StreamIndexer:GetHeader,8,2,1
StreamIndexer:DetectHeaderStartPosition,8,2,1
StreamIndexer:IsBomUsed,3,1,1
StreamIndexer:GetRowsIndexes,17,3,2
StreamIndexer:ProcessBuffer,2,1,1
StreamIndexer:IsEndOfLine,4,1,1
ColumnsProvider:ColumnsProvider,11,3,3
ColumnsProvider:Create,9,1,2
ColumnsProvider:DetectColumnTypes,10,2,3
ColumnsProvider:GetColumns,4,1,1
ColumnsProvider:GetColumnsSet,5,1,3
ColumnsProvider:GetColumnsForRange,3,1,4
ColumnsProvider:CreateColumns,8,2,4
ColumnsProvider:Dispose,5,2,0
FileColumn:FileColumn,2,1,0
FileColumn:Create,8,1,4
FileColumn:ToString,3,1,3
FileColumn:FromString,6,1,4
FileColumn:GetColumnType,14,5,1
FileColumn:ConvertValue,3,1,2
FileRowsProvider:FileRowsProvider,6,2,2
FileRowsProvider:FetchCount,3,1,0
FileRowsProvider:FetchRange,3,1,3
FileRowsProvider:FetchSingle,3,1,1
FileRowsProvider:Dispose,4,2,0
IItemsProvider:FetchCount,1,1,0
IItemsProvider:FetchRange,1,1,2
IItemsProvider:FetchSingle,1,1,1
VirtualizingCollection:VirtualizingCollection,6,2,1
VirtualizingCollection:GetEnumerator,5,2,0
VirtualizingCollection:GetEnumerator,3,1,0
VirtualizingCollection:IndexOf,3,1,1
VirtualizingCollection:IndexOf,3,1,1
