Namespace,Type,Method,LOC,CC,PC
ServiceStack.Api.Swagger.Support,IOrderedDictionary,Add,0,1,2
ServiceStack.Api.Swagger.Support,IOrderedDictionary,Insert,0,1,3
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,OrderedDictionary,2,1,0
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,OrderedDictionary,2,1,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,OrderedDictionary,2,1,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,OrderedDictionary,6,2,2
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,ConvertToKeyType,12,3,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,ConvertToValueType,15,4,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,GetEnumerator,3,1,0
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,GetEnumerator,3,1,0
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,GetEnumerator,3,1,0
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,GetEnumerator,3,1,0
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Insert,6,2,3
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Insert,3,1,3
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,RemoveAt,7,2,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Add,3,1,2
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Add,5,1,2
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Add,3,1,2
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Clear,4,1,0
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,ContainsKey,3,1,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Contains,3,1,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,IndexOfKey,21,6,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Remove,14,4,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Remove,3,1,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,CopyTo,3,1,2
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,TryGetValue,3,1,2
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Add,3,1,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Contains,3,1,1
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,CopyTo,3,1,2
ServiceStack.Api.Swagger.Support,OrderedDictionary<TKey;TValue>,Remove,3,1,1
ServiceStack.Api.Swagger,SwaggerApiService,Get,36,4,1
ServiceStack.Api.Swagger,SwaggerApiService,IsSwaggerScalarType,6,1,1
ServiceStack.Api.Swagger,SwaggerApiService,GetSwaggerTypeName,6,1,3
ServiceStack.Api.Swagger,SwaggerApiService,GetListElementType,8,4,1
ServiceStack.Api.Swagger,SwaggerApiService,IsListType,3,1,1
ServiceStack.Api.Swagger,SwaggerApiService,IsNullable,3,1,1
ServiceStack.Api.Swagger,SwaggerApiService,GetModelTypeName,8,3,3
ServiceStack.Api.Swagger,SwaggerApiService,ParseResponseModel,3,1,2
ServiceStack.Api.Swagger,SwaggerApiService,ParseModel,114,19,4
ServiceStack.Api.Swagger,SwaggerApiService,GetModelPropertyName,8,2,1
ServiceStack.Api.Swagger,SwaggerApiService,GetNumericValues,5,1,2
ServiceStack.Api.Swagger,SwaggerApiService,GetResponseClass,20,4,2
ServiceStack.Api.Swagger,SwaggerApiService,GetMethodResponseCodes,11,1,1
ServiceStack.Api.Swagger,SwaggerApiService,FormatMethodDescription,27,1,2
ServiceStack.Api.Swagger,SwaggerApiService,GetEnumValues,3,1,1
ServiceStack.Api.Swagger,SwaggerApiService,ParseParameters,84,11,4
ServiceStack.Api.Swagger,SwaggerFeature,SwaggerFeature,4,1,0
ServiceStack.Api.Swagger,SwaggerFeature,BeforePluginsLoaded,3,1,1
ServiceStack.Api.Swagger,SwaggerFeature,Register,67,2,1
ServiceStack.Api.Swagger,SwaggerResourcesService,Get,32,6,1
ServiceStack.Api.Swagger,SwaggerResourcesService,CreateRestPaths,29,6,3
