Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: ServiceStack.Server.Tests' ServiceStack.Server.Tests.Messaging,ServiceStack.Server.Tests.TransientServiceMessagingTests' ServiceStack.Server.Tests.Messaging.InMemoryTransientMessagingHostTests' ServiceStack.Server.Tests.Messaging.MessageSerializationTests,ServiceStack.Server.Tests.TransientServiceMessagingTests' ServiceStack.Server.Tests.Messaging.InMemoryTransientMessagingHostTests' ServiceStack.Server.Tests.Messaging.MessageSerializationTests
Unstable Dependency,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ServiceStack.Server.Tests.Messaging,ServiceStack.Server.Tests.MessagingHostTestBase,ServiceStack.Server.Tests.MessagingHostTestBase
God Component,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Auth,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48,ServiceStack.Server.Tests.Auth.RequiresAuth' ServiceStack.Server.Tests.Auth.RequiresAuthAction' ServiceStack.Server.Tests.Auth.Rockstars' ServiceStack.Server.Tests.Auth.RockstarsResponse' ServiceStack.Server.Tests.Auth.IList1' ServiceStack.Server.Tests.Auth.IList2' ServiceStack.Server.Tests.Auth.IList3' ServiceStack.Server.Tests.Auth.PartialModel' ServiceStack.Server.Tests.Auth.PartialChildModel' ServiceStack.Server.Tests.Auth.GetAllRockstars' ServiceStack.Server.Tests.Auth.RedirectWithoutQueryString' ServiceStack.Server.Tests.Auth.TestWildcardRazorPage' ServiceStack.Server.Tests.Auth.TestSession' ServiceStack.Server.Tests.Auth.TestSessionView' ServiceStack.Server.Tests.Auth.TestSessionResponse' ServiceStack.Server.Tests.Auth.OrmLiteStatelessAuthRazorTests' ServiceStack.Server.Tests.Auth.CustomUserSession' ServiceStack.Server.Tests.Auth.Secured' ServiceStack.Server.Tests.Auth.SecuredResponse,ServiceStack.Server.Tests.Auth.RequiresAuth' ServiceStack.Server.Tests.Auth.RequiresAuthService' ServiceStack.Server.Tests.Auth.RequiresAuthAction' ServiceStack.Server.Tests.Auth.RequiresAuthActionService' ServiceStack.Server.Tests.Auth.ApiKeyAuthTests' ServiceStack.Server.Tests.Auth.AppHost' ServiceStack.Server.Tests.Auth.Rockstar' ServiceStack.Server.Tests.Auth.Rockstars' ServiceStack.Server.Tests.Auth.RockstarsResponse' ServiceStack.Server.Tests.Auth.IList1' ServiceStack.Server.Tests.Auth.IList2' ServiceStack.Server.Tests.Auth.IList3' ServiceStack.Server.Tests.Auth.PartialModel' ServiceStack.Server.Tests.Auth.PartialChildModel' ServiceStack.Server.Tests.Auth.GetAllRockstars' ServiceStack.Server.Tests.Auth.SecureServices' ServiceStack.Server.Tests.Auth.RockstarsService' ServiceStack.Server.Tests.Auth.RedirectWithoutQueryStringFilterAttribute' ServiceStack.Server.Tests.Auth.RedirectWithoutQueryString' ServiceStack.Server.Tests.Auth.TestWildcardRazorPage' ServiceStack.Server.Tests.Auth.IssueServices' ServiceStack.Server.Tests.Auth.TestSession' ServiceStack.Server.Tests.Auth.TestSessionView' ServiceStack.Server.Tests.Auth.TestSessionResponse' ServiceStack.Server.Tests.Auth.TestSessionAttribute' ServiceStack.Server.Tests.Auth.TestSessionService' ServiceStack.Server.Tests.Auth.OrmLiteStatelessAuthRazorTests' ServiceStack.Server.Tests.Auth.StatelessAuthRazorTests' ServiceStack.Server.Tests.Auth.CustomUserSession' ServiceStack.Server.Tests.Auth.Secured' ServiceStack.Server.Tests.Auth.SecuredResponse' ServiceStack.Server.Tests.Auth.SecuredByRole' ServiceStack.Server.Tests.Auth.SecuredByPermission' ServiceStack.Server.Tests.Auth.GetAuthUserSession' ServiceStack.Server.Tests.Auth.SecureService' ServiceStack.Server.Tests.Auth.JsonHttpClientStatelessAuthTests' ServiceStack.Server.Tests.Auth.DynamoDbAuthRepoStatelessAuthTests' ServiceStack.Server.Tests.Auth.MemoryAuthRepoStatelessAuthTests' ServiceStack.Server.Tests.Auth.RedisAuthRepoStatelessAuthTests' ServiceStack.Server.Tests.Auth.MongoDbAuthRepoStatelessAuthTests' ServiceStack.Server.Tests.Auth.OrmLiteStatelessAuthTests' ServiceStack.Server.Tests.Auth.OrmLiteMultitenancyStatelessAuthTests' ServiceStack.Server.Tests.Auth.FallbackAuthKeyTests' ServiceStack.Server.Tests.Auth.JwtAuthProviderReaderAppHost' ServiceStack.Server.Tests.Auth.RsaJwtStatelessAuthTests' ServiceStack.Server.Tests.Auth.RsaJwtWithEncryptedPayloadsStatelessAuthTests' ServiceStack.Server.Tests.Auth.JwtAuthProviderReaderTests' ServiceStack.Server.Tests.Auth.StatelessAuthTests
God Component,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Messaging,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 73,ServiceStack.Server.Tests.Messaging.MessageType1' ServiceStack.Server.Tests.Messaging.MessageType2' ServiceStack.Server.Tests.Messaging.MessageType3' ServiceStack.Server.Tests.Messaging.MessageStat' ServiceStack.Server.Tests.Messaging.MqCustomException' ServiceStack.Server.Tests.Messaging.TestPrefix' ServiceStack.Server.Tests.Messaging.TestFilter' ServiceStack.Server.Tests.Messaging.Incr' ServiceStack.Server.Tests.Messaging.IncrResponse' ServiceStack.Server.Tests.Messaging.HelloIntro' ServiceStack.Server.Tests.Messaging.HelloIntroResponse' ServiceStack.Server.Tests.Messaging.MqAuthOnly' ServiceStack.Server.Tests.Messaging.MqAuthOnlyResponse' ServiceStack.Server.Tests.Messaging.MqRestriction' ServiceStack.Server.Tests.Messaging.MqRestrictionResponse' ServiceStack.Server.Tests.Messaging.HelloIntroWithDep' ServiceStack.Server.Tests.Messaging.IDisposableDependency' ServiceStack.Server.Tests.Messaging.Reverse' ServiceStack.Server.Tests.Messaging.Rot13' ServiceStack.Server.Tests.Messaging.AlwaysThrows' ServiceStack.Server.Tests.Messaging.Hello' ServiceStack.Server.Tests.Messaging.HelloNull' ServiceStack.Server.Tests.Messaging.HelloResponse' ServiceStack.Server.Tests.Messaging.Wait' ServiceStack.Server.Tests.Messaging.Msg' ServiceStack.Server.Tests.Messaging.Counters' ServiceStack.Server.Tests.Messaging.Sleep0' ServiceStack.Server.Tests.Messaging.Sleep10' ServiceStack.Server.Tests.Messaging.Sleep100' ServiceStack.Server.Tests.Messaging.Sleep1000' ServiceStack.Server.Tests.Messaging.Spin0' ServiceStack.Server.Tests.Messaging.Spin10' ServiceStack.Server.Tests.Messaging.Spin100' ServiceStack.Server.Tests.Messaging.Spin1000' ServiceStack.Server.Tests.Messaging.MqAppHostServices' ServiceStack.Server.Tests.Messaging.RabbitMqRequestReplyTests' ServiceStack.Server.Tests.Messaging.InMemoryMqRequestReplyTests' ServiceStack.Server.Tests.Messaging.BackgroundMqRequestReplyTests' ServiceStack.Server.Tests.Messaging.RabbitMqServerIntroTests' ServiceStack.Server.Tests.Messaging.RedisMqServerIntroTests' ServiceStack.Server.Tests.Messaging.InMemoryMqServerIntroTests' ServiceStack.Server.Tests.Messaging.BackgroundMqServerIntroTests' ServiceStack.Server.Tests.Messaging.HelloService' ServiceStack.Server.Tests.Messaging.MqAuthOnlyService,ServiceStack.Server.Tests.Messaging.InMemoryTransientMessagingHostTests' ServiceStack.Server.Tests.Messaging.MessageType1' ServiceStack.Server.Tests.Messaging.MessageType2' ServiceStack.Server.Tests.Messaging.MessageType3' ServiceStack.Server.Tests.Messaging.MessageStat' ServiceStack.Server.Tests.Messaging.InspectingMqTests' ServiceStack.Server.Tests.Messaging.MessageSerializationTests' ServiceStack.Server.Tests.Messaging.MessagingHostTestBase' ServiceStack.Server.Tests.Messaging.MqAppHost' ServiceStack.Server.Tests.Messaging.CustomException' ServiceStack.Server.Tests.Messaging.MqCustomException' ServiceStack.Server.Tests.Messaging.MqAppHostServices' ServiceStack.Server.Tests.Messaging.MqAppHostTests' ServiceStack.Server.Tests.Messaging.MqQueueNamesTests' ServiceStack.Server.Tests.Messaging.TestPrefix' ServiceStack.Server.Tests.Messaging.TestFilter' ServiceStack.Server.Tests.Messaging.RabbitMqRequestReplyTests' ServiceStack.Server.Tests.Messaging.RedisMqRequestReplyTests' ServiceStack.Server.Tests.Messaging.InMemoryMqRequestReplyTests' ServiceStack.Server.Tests.Messaging.BackgroundMqRequestReplyTests' ServiceStack.Server.Tests.Messaging.MqRequestReplyTests' ServiceStack.Server.Tests.Messaging.Incr' ServiceStack.Server.Tests.Messaging.IncrResponse' ServiceStack.Server.Tests.Messaging.RabbitMqServerIntroTests' ServiceStack.Server.Tests.Messaging.RedisMqServerIntroTests' ServiceStack.Server.Tests.Messaging.InMemoryMqServerIntroTests' ServiceStack.Server.Tests.Messaging.BackgroundMqServerIntroTests' ServiceStack.Server.Tests.Messaging.HelloIntro' ServiceStack.Server.Tests.Messaging.HelloIntroResponse' ServiceStack.Server.Tests.Messaging.HelloService' ServiceStack.Server.Tests.Messaging.MqAuthOnly' ServiceStack.Server.Tests.Messaging.MqAuthOnlyResponse' ServiceStack.Server.Tests.Messaging.MqAuthOnlyService' ServiceStack.Server.Tests.Messaging.MqRestriction' ServiceStack.Server.Tests.Messaging.MqRestrictionResponse' ServiceStack.Server.Tests.Messaging.MqRestrictionService' ServiceStack.Server.Tests.Messaging.AppHost' ServiceStack.Server.Tests.Messaging.MqServerIntroTests' ServiceStack.Server.Tests.Messaging.RabbitMqServerPostMessageTests' ServiceStack.Server.Tests.Messaging.RedisMqServerPostMessageTests' ServiceStack.Server.Tests.Messaging.HelloIntroWithDep' ServiceStack.Server.Tests.Messaging.HelloWithDepService' ServiceStack.Server.Tests.Messaging.IDisposableDependency' ServiceStack.Server.Tests.Messaging.DisposableDependency' ServiceStack.Server.Tests.Messaging.MqServerPostMessageTests' ServiceStack.Server.Tests.Messaging.MqServerQueueNameTests' ServiceStack.Server.Tests.Messaging.RedisMqServerQueueNameTests' ServiceStack.Server.Tests.Messaging.RabbitMqServerQueueNameTests' ServiceStack.Server.Tests.Messaging.Reverse' ServiceStack.Server.Tests.Messaging.Rot13' ServiceStack.Server.Tests.Messaging.AlwaysThrows' ServiceStack.Server.Tests.Messaging.RabbitMqServerTests' ServiceStack.Server.Tests.Messaging.Hello' ServiceStack.Server.Tests.Messaging.HelloNull' ServiceStack.Server.Tests.Messaging.HelloResponse' ServiceStack.Server.Tests.Messaging.Wait' ServiceStack.Server.Tests.Messaging.RabbitMqServerFragileTests' ServiceStack.Server.Tests.Messaging.RedisFailoverTests' ServiceStack.Server.Tests.Messaging.Msg' ServiceStack.Server.Tests.Messaging.RedisMqHostSupportTests' ServiceStack.Server.Tests.Messaging.RedisMqServerSleepServerTests' ServiceStack.Server.Tests.Messaging.Counters' ServiceStack.Server.Tests.Messaging.Sleep0' ServiceStack.Server.Tests.Messaging.Sleep10' ServiceStack.Server.Tests.Messaging.Sleep100' ServiceStack.Server.Tests.Messaging.Sleep1000' ServiceStack.Server.Tests.Messaging.RedisMqServerSpinServerTests' ServiceStack.Server.Tests.Messaging.Spin0' ServiceStack.Server.Tests.Messaging.Spin10' ServiceStack.Server.Tests.Messaging.Spin100' ServiceStack.Server.Tests.Messaging.Spin1000' ServiceStack.Server.Tests.Messaging.RedisMqServerTests' ServiceStack.Server.Tests.Messaging.RedisTransientMessagingHostTests
Feature Concentration,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Caching,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SqlServerOrmLiteCacheClientTests]' [SqliteOrmLiteCacheClientTests]' [MemoryCacheClientTests]' [RedisCacheClientTests]' [SqlServer2014MemoryOptimizedOrmLiteCacheClientTests' SqlServer2014MemoryOptimizedCacheEntry]' [SqlServer2016MemoryOptimizedOrmLiteCacheClientTests' SqlServer2016MemoryOptimizedCacheEntry]. LCC (Lack of Component Cohesion) = 0.75,ServiceStack.Server.Tests.Caching.SqlServer2016MemoryOptimizedOrmLiteCacheClientTests' ServiceStack.Server.Tests.Caching.SqlServer2016MemoryOptimizedCacheEntry' ServiceStack.Server.Tests.Caching.SqlServerOrmLiteCacheClientTests' ServiceStack.Server.Tests.Caching.SqliteOrmLiteCacheClientTests' ServiceStack.Server.Tests.Caching.MemoryCacheClientTests' ServiceStack.Server.Tests.Caching.RedisCacheClientTests,ServiceStack.Server.Tests.Caching.SqlServerOrmLiteCacheClientTests' ServiceStack.Server.Tests.Caching.SqliteOrmLiteCacheClientTests' ServiceStack.Server.Tests.Caching.MemoryCacheClientTests' ServiceStack.Server.Tests.Caching.RedisCacheClientTests' ServiceStack.Server.Tests.Caching.SqlServer2014MemoryOptimizedOrmLiteCacheClientTests' ServiceStack.Server.Tests.Caching.SqlServer2014MemoryOptimizedCacheEntry' ServiceStack.Server.Tests.Caching.SqlServer2016MemoryOptimizedOrmLiteCacheClientTests' ServiceStack.Server.Tests.Caching.SqlServer2016MemoryOptimizedCacheEntry
Feature Concentration,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Config]' [ProxyFeatureTests' AppHost' EchoTypes' GetTechnology' GetTechnologyResponse' Technology' TechnologyBase]' [TestConfig]' [TransientServiceMessagingTests]. LCC (Lack of Component Cohesion) = 0.4,ServiceStack.Server.Tests.Config' ServiceStack.Server.Tests.TestConfig' ServiceStack.Server.Tests.TransientServiceMessagingTests,ServiceStack.Server.Tests.Config' ServiceStack.Server.Tests.ProxyFeatureTests' ServiceStack.Server.Tests.AppHost' ServiceStack.Server.Tests.EchoTypes' ServiceStack.Server.Tests.GetTechnology' ServiceStack.Server.Tests.GetTechnologyResponse' ServiceStack.Server.Tests.Technology' ServiceStack.Server.Tests.TechnologyBase' ServiceStack.Server.Tests.TestConfig' ServiceStack.Server.Tests.TransientServiceMessagingTests
Feature Concentration,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Services,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AlwaysFail' AlwaysFailService]' [AlwaysFailResponse]' [Greet' GreetService' GreetResponse]' [UnRetryableFail' UnRetryableFailService]' [UnRetryableFailResponse]. LCC (Lack of Component Cohesion) = 0.56,ServiceStack.Server.Tests.Services.AlwaysFail' ServiceStack.Server.Tests.Services.AlwaysFailService' ServiceStack.Server.Tests.Services.UnRetryableFail' ServiceStack.Server.Tests.Services.UnRetryableFailService' ServiceStack.Server.Tests.Services.AlwaysFailResponse' ServiceStack.Server.Tests.Services.UnRetryableFailResponse,ServiceStack.Server.Tests.Services.AlwaysFail' ServiceStack.Server.Tests.Services.AlwaysFailResponse' ServiceStack.Server.Tests.Services.AlwaysFailService' ServiceStack.Server.Tests.Services.Greet' ServiceStack.Server.Tests.Services.GreetResponse' ServiceStack.Server.Tests.Services.GreetService' ServiceStack.Server.Tests.Services.UnRetryableFail' ServiceStack.Server.Tests.Services.UnRetryableFailResponse' ServiceStack.Server.Tests.Services.UnRetryableFailService
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Auth,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Funq' ServiceStack,Funq.Container' ServiceStack.ApiKeyAuthProviderExtensions' ServiceStack.ServiceStackHost' ServiceStack.HostContext,Funq.Container' ServiceStack.ApiKeyAuthProviderExtensions' ServiceStack.ServiceStackHost' ServiceStack.HostContext
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Auth,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack.Auth' ServiceStack,ServiceStack.Auth.IManageApiKeys' ServiceStack.ServiceClientBase' ServiceStack.Auth.AuthenticateService,ServiceStack.Auth.IManageApiKeys' ServiceStack.ServiceClientBase' ServiceStack.Auth.AuthenticateService
Scattered Functionality,ServiceStack.Server.Tests(net46),ServiceStack.Server.Tests.Auth,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: ServiceStack' ServiceStack,ServiceStack.IRestClientSync' ServiceStack.ServiceClientBase' ServiceStack.IServiceGatewayAsync' ServiceStack.ServiceClientExtensions,ServiceStack.IRestClientSync' ServiceStack.ServiceClientBase' ServiceStack.IServiceGatewayAsync' ServiceStack.ServiceClientExtensions
