Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,,The length of the parameter ServiceStackVsOutputWindowPane is 30.
Long Identifier,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,,The length of the parameter _serviceStackOutputWindowWriter is 31.
Long Statement,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,ProjectFinishedGenerating,The length of the statement  "            File.WriteAllText(Path.Combine(solutionDir' slnOutputName.ReplaceAllTokens(localReplacementsDictionary))' solutionContents.ReplaceAllTokens(localReplacementsDictionary)); " is 170.
Long Statement,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,ProjectFinishedGenerating,The length of the statement  "            File.WriteAllText(Path.Combine(projPath.FullName' projOutputNameResult)' projectContents.ReplaceAllTokens(localReplacementsDictionary)); " is 136.
Long Statement,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,GetLatestVersionOfPackage,The length of the statement  "                OutputWindowWriter.WriteLine("Unable to get latest version number of '{0}' from NuGet. Falling back to cache.".Fmt(packageId)); " is 127.
Long Statement,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,GetLatestVersionOfPackage,The length of the statement  "                var cachedPackage = CachedRepository.FindPackagesById(packageId).OrderByDescending(x => x.Version).First(x => x.IsLatestVersion); " is 129.
Long Statement,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateUtils,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,GetListOfTemplatedFiles,The length of the statement  "            result = fileElements.Select(x => new TemplatedFile { Name = x.GetAttributeValue("name")' Dest = x.GetAttributeValue("dest") }).ToList(); " is 137.
Long Statement,ServiceStackVS.ExternalTemplateWizard,IisExpressAddressWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\IISExpressAddressWizard.cs,RunStarted,The length of the statement  "                throw new WizardCancelledException("Failed to generated project' IISExpressAddressWizard failed to obtain solution path."); " is 123.
Magic Number,ServiceStackVS.ExternalTemplateWizard,ExternalTemplateWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\ExternalTemplateWizard.cs,ProjectFinishedGenerating,The following statement contains a magic number: string projectContentsPath = Path.Combine(projContainerInfo.FullName'                  projOutputNameResult.Substring(0' projOutputNameResult.Length - 7));
Magic Number,ServiceStackVS.ExternalTemplateWizard,IisExpressAddressWizard,D:\research\architectureSmells\repos1\ServiceStack_ServiceStackVS\src\ServiceStackVS.ExternalTemplateWizard\IISExpressAddressWizard.cs,RunFinished,The following statement contains a magic number: Task.Run(() =>              {                  // IIS express auto assigned port is not ready until project has been opened so a delay is needed.                  System.Threading.Thread.Sleep(5000);                    // Read port from csproj                  XElement element = XElement.Parse(File.ReadAllText(projectFilePath));                  var webProperties = element.Descendants()                      .FirstOrDefault(x => x.Name.LocalName == "ProjectExtensions")?.Descendants()                      .FirstOrDefault(x => x.Name.LocalName == "VisualStudio")?.Descendants()                      .FirstOrDefault(x => x.Name.LocalName == "WebProjectProperties")?.Descendants();                    var iisUrl = webProperties?                      .FirstOrDefault(x => x.Name.LocalName == "IISUrl")?.Value.TrimEnd('/');                  if (iisUrl != null)                  {                      foreach (var tokenReplaceFile in fullPathTokenReplaceFile)                      {                          var originalContent = File.ReadAllText(tokenReplaceFile);                          File.WriteAllText(tokenReplaceFile'                              originalContent.ReplaceAll("http://localhost:$iisexpressport$"' iisUrl));                      }                      return;                  }                    var devServerPortElement = webProperties?                      .FirstOrDefault(x => x.Name.LocalName == "DevelopmentServerPort");                  if (devServerPortElement != null)                  {                      var devPort = devServerPortElement.Value;                      foreach (var tokenReplaceFile in fullPathTokenReplaceFile)                      {                          var originalContent = File.ReadAllText(tokenReplaceFile);                          File.WriteAllText(tokenReplaceFile'                              originalContent.ReplaceAll(iisPortToken' devPort));                      }                  }              });
