Namespace,Type,Method,LOC,CC,PC
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,RepositoryActionBaseAttribute,4,1,0
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnInitialized,2,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnError,2,1,2
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnAddExecuting,3,1,2
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnAddExecuted,2,1,2
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnUpdateExecuting,3,1,2
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnUpdateExecuted,2,1,2
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnDeleteExecuting,3,1,2
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnDeleteExecuted,2,1,2
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnSaveExecuting,3,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnSaveExecuted,2,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnGetExecuting,3,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnGetExecuted,2,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnGetAllExecuting,3,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnGetAllExecuted,2,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnFindExecuting,3,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnFindExecuted,2,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnFindAllExecuting,3,1,1
SharpRepository.Repository.Aspects,RepositoryActionBaseAttribute,OnFindAllExecuted,2,1,1
SharpRepository.Repository.Aspects,RepositoryActionContext<T;TKey>,RepositoryActionContext,3,1,1
SharpRepository.Repository.Aspects,RepositoryGetContext<T;TKey>,RepositoryGetContext,2,1,2
SharpRepository.Repository.Aspects,RepositoryGetContext<T;TKey;TResult>,RepositoryGetContext,4,1,3
SharpRepository.Repository.Aspects,RepositoryQueryContext<T;TKey>,RepositoryQueryContext,2,1,3
SharpRepository.Repository.Aspects,RepositoryQueryContext<T;TKey;TResult>,RepositoryQueryContext,5,1,4
SharpRepository.Repository.Aspects,RepositoryQueryMultipleContext<T;TKey>,RepositoryQueryMultipleContext,2,1,3
