Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Shuttle.Esb,ServiceBus,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\ServiceBus\ServiceBus.cs,Register,Cyclomatic complexity of the method is 15
Long Parameter List,Shuttle.Esb,StartupProcessingObserver,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Pipeline\Observers\Startup\StartupProcessingObserver.cs,StartupProcessingObserver,The method has 5 parameters. Parameters: bus' configuration' events' workerAvailabilityManager' pipelineFactory
Long Parameter List,Shuttle.Esb,InboxProcessorFactory,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Processing\Inbox\InboxProcessorFactory.cs,InboxProcessorFactory,The method has 5 parameters. Parameters: bus' configuration' events' workerAvailabilityManager' pipelineFactory
Long Parameter List,Shuttle.Esb,InboxProcessor,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Processing\Inbox\InboxProcessor.cs,InboxProcessor,The method has 5 parameters. Parameters: configuration' events' threadActivity' workerAvailabilityManager' pipelineFactory
Long Parameter List,Shuttle.Esb,HandlerContext<T>,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\MessageHandling\HandlerContext.cs,HandlerContext,The method has 7 parameters. Parameters: configuration' transportMessageFactory' pipelineFactory' subscriptionManager' transportMessage' message' activeState
Long Parameter List,Shuttle.Esb,ControlInboxMessagePipeline,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Pipeline\Pipelines\ControlInboxMessagePipeline.cs,ControlInboxMessagePipeline,The method has 14 parameters. Parameters: configuration' getWorkMessageObserver' deserializeTransportMessageObserver' deferTransportMessageObserver' deserializeMessageObserver' decryptMessageObserver' decompressMessageObserver' assessMessageHandlingObserver' idempotenceObserver' handleMessageObserver' transactionScopeObserver' acknowledgeMessageObserver' sendDeferredObserver' receiveExceptionObserver
Long Parameter List,Shuttle.Esb,DistributorPipeline,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Pipeline\Pipelines\DistributorPipeline.cs,DistributorPipeline,The method has 8 parameters. Parameters: configuration' getWorkMessageObserver' deserializeTransportMessageObserver' distributorMessageObserver' serializeTransportMessageObserver' dispatchTransportMessageObserver' acknowledgeMessageObserver' distributorExceptionObserver
Long Parameter List,Shuttle.Esb,OutboxPipeline,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Pipeline\Pipelines\OutboxPipeline.cs,OutboxPipeline,The method has 6 parameters. Parameters: configuration' getWorkMessageObserver' deserializeTransportMessageObserver' sendOutboxMessageObserver' acknowledgeMessageObserver' outboxExceptionObserver
Long Parameter List,Shuttle.Esb,InboxMessagePipeline,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Pipeline\Pipelines\InboxMessagePipeline.cs,InboxMessagePipeline,The method has 14 parameters. Parameters: configuration' getWorkMessageObserver' deserializeTransportMessageObserver' deferTransportMessageObserver' deserializeMessageObserver' decryptMessageObserver' decompressMessageObserver' assessMessageHandlingObserver' idempotenceObserver' handleMessageObserver' transactionScopeObserver' acknowledgeMessageObserver' sendDeferredObserver' receiveExceptionObserver
Long Parameter List,Shuttle.Esb,ReceiveMessagePipeline,C:\repos\Shuttle_shuttle-esb-core\Shuttle.Esb\Pipeline\Pipelines\ReceiveMessagePipeline.cs,ReceiveMessagePipeline,The method has 13 parameters. Parameters: getWorkMessageObserver' deserializeTransportMessageObserver' deferTransportMessageObserver' deserializeMessageObserver' decryptMessageObserver' decompressMessageObserver' assessMessageHandlingObserver' idempotenceObserver' handleMessageObserver' transactionScopeObserver' acknowledgeMessageObserver' sendDeferredObserver' receiveExceptionObserver
