Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
InterfaceMappings,0,1,0,0,1,15,1,0,0,-1,0,0
EmbedCodeController,2,4,5,0,1,102,7,0,0,0.5,4,0
JavaScriptController,2,6,6,0,1,168,17,0,0,0.67,5,0
StyleSheetController,2,5,4,0,1,123,13,0,0,0.6,3,0
EmbedCodeHelper,0,1,0,0,1,24,3,0,0,-1,0,3
EmbedCodeModel,0,1,2,0,1,24,1,0,1,-1,1,0
EmbedCodeViewModel,0,0,2,0,0,22,0,0,0,-1,0,2
IEmbedCodeModel,0,1,2,0,0,27,1,1,0,-1,0,1
IJavaScriptModel,0,3,5,0,0,62,3,1,0,-1,2,1
JavaScriptModel,0,3,5,0,3,84,7,0,1,-1,3,0
JavaScriptViewModel,0,0,3,0,0,27,0,0,0,-1,1,1
EmbedPosition,0,0,0,0,0,18,0,0,0,-1,0,4
ResourceMode,0,0,0,0,0,8,0,0,0,-1,0,5
IStyleSheetModel,0,2,5,0,0,51,2,1,0,-1,1,1
StyleSheetModel,1,4,5,0,2,102,8,0,1,0.5,1,0
EmbedCodeResources,0,2,16,0,2,178,2,0,0,-1,0,1
JavaScriptResources,0,2,20,0,2,226,2,0,0,-1,0,1
StyleSheetResources,0,2,20,0,2,214,2,0,0,-1,0,1
