Namespace,Type,Method,LOC,CC,PC
Sce.Atf.Controls.SyntaxEditorControl,BreakpointEventArgs,BreakpointEventArgs,5,1,3
Sce.Atf.Controls.SyntaxEditorControl,BreakpointIndicator,BreakpointIndicator,1,1,0
Sce.Atf.Controls.SyntaxEditorControl,BreakpointIndicator,BreakpointIndicator,3,1,3
Sce.Atf.Controls.SyntaxEditorControl,BreakpointIndicator,DrawGlyph,14,2,2
Sce.Atf.Controls.SyntaxEditorControl,EditorTextChangedEventArgs,EditorTextChangedEventArgs,7,1,5
Sce.Atf.Controls.SyntaxEditorControl,EditorTextChangedEventArgs,ToString,5,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,GetSubString,0,1,2
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,SelectLine,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,SelectLine,0,1,3
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,GetLineText,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Cut,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Copy,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Paste,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Delete,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Undo,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Redo,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,SelectAll,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ShowFindReplaceForm,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ShowGoToLineForm,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,SetLanguage,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,PrintPreview,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Print,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Dispose,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ClearIntelliPromptMemberList,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,AddIntelliPromptMemberListItem,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,AddIntelliPromptMemberListItem,0,1,4
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ShowIntelliPromptMemberList,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ShowIntelliPromptMemberList,0,1,2
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,GetLineFromOffset,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,GetWordTextRange,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ClearSpanIndicatorMarks,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Find,0,1,2
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,FindAll,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,FindAll,0,1,2
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,MarkAll,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,MarkAll,0,1,2
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,Replace,0,1,2
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ReplaceAll,0,1,1
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorControl,ReplaceAll,0,1,2
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorFindReplaceOptions,Dispose,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,ISyntaxEditorFindReplaceResultSet,GetEnumerator,0,1,0
Sce.Atf.Controls.SyntaxEditorControl,SyntaxEditorTextRange,SyntaxEditorTextRange,4,1,2
Sce.Atf.Controls.SyntaxEditorControl,LuaDynamicSyntaxLanguage,LuaDynamicSyntaxLanguage,2,1,2
Sce.Atf.Controls.SyntaxEditorControl,LuaDynamicSyntaxLanguage,GetTokenOutliningAction,52,7,3
Sce.Atf.Controls.SyntaxEditorControl,MouseHoverOverTokenEventArgs,MouseHoverOverTokenEventArgs,5,1,3
Sce.Atf.Controls.SyntaxEditorControl,ShowContextMenuEventArg,ShowContextMenuEventArg,5,1,3
Sce.Atf.Controls.SyntaxEditorControl,SyntaxEditorControl,SyntaxEditorControl,39,2,0
Sce.Atf.Controls.SyntaxEditorControl,SyntaxEditorControl,ProcessCmdKey,5,2,2
