Implementation smell,Namespace,Class,File,Method,Description
Long Method,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,TypeCommand,The method has 198 lines of code.
Long Statement,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,Main,The length of the statement  "                Console.WriteLine("Welcome to \"Labyrinth\" game. Please try to escape. Use 'top' to view the top \nscoreboard''restart' to start a new game and 'exit' to quit the game.\n "); " is 175.
Long Statement,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,SolutionChecker,The length of the statement  "            if (labyrinth[x + 1' y] == "x" && labyrinth[x' y + 1] == "x" && labyrinth[x - 1' y] == "x" && labyrinth[x' y - 1] == "x") " is 121.
Complex Conditional,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,SolutionChecker,The conditional expression  "labyrinth[x + 1' y] == "x" && labyrinth[x' y + 1] == "x" && labyrinth[x - 1' y] == "x" && labyrinth[x' y - 1] == "x""  is complex.
Magic Number,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,Main,The following statement contains a magic number: positionX = positionY = 3;
Magic Number,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,Main,The following statement contains a magic number: string['] labyrinth = new string[7' 7];
Magic Number,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,Main,The following statement contains a magic number: string['] labyrinth = new string[7' 7];
Magic Number,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,AddScore,The following statement contains a magic number: if (scores.Count == 5)              {                    if (scores[4].moves > currentMoves)                  {                        scores.Remove(scores[4]);                      Console.WriteLine("Please enter your nickname");                      string name = Console.ReadLine();                      scores.Add(new Scoreboard(currentMoves' name));                      ShowScoreboard(scores);                    }                }
Magic Number,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,AddScore,The following statement contains a magic number: if (scores.Count == 5)              {                    if (scores[4].moves > currentMoves)                  {                        scores.Remove(scores[4]);                      Console.WriteLine("Please enter your nickname");                      string name = Console.ReadLine();                      scores.Add(new Scoreboard(currentMoves' name));                      ShowScoreboard(scores);                    }                }
Magic Number,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,AddScore,The following statement contains a magic number: if (scores.Count == 5)              {                    if (scores[4].moves > currentMoves)                  {                        scores.Remove(scores[4]);                      Console.WriteLine("Please enter your nickname");                      string name = Console.ReadLine();                      scores.Add(new Scoreboard(currentMoves' name));                      ShowScoreboard(scores);                    }                }
Magic Number,kursov_proekt,Program,C:\repos\TelerikAcademy_High-Quality-Code\Teamwork\Labyrinth\Labyrinth-3\kursov_proekt.cs,AddScore,The following statement contains a magic number: if (scores.Count < 5)              {                  Console.WriteLine("Please enter your nickname");                  string name = Console.ReadLine();                  scores.Add(new Scoreboard(currentMoves' name));                  ShowScoreboard(scores);              }
