Implementation smell,Namespace,Class,File,Method,Description
Long Method,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,ParseTCPIPMessages,The method has 231 lines of code.
Long Method,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,ParseTCPIPMessages,The method has 324 lines of code.
Complex Method,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,Update,Cyclomatic complexity of the method is 9
Complex Method,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,ParseTCPIPMessages,Cyclomatic complexity of the method is 115
Complex Method,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,ParseUDPMessages,Cyclomatic complexity of the method is 18
Complex Method,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,Update,Cyclomatic complexity of the method is 9
Complex Method,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,ParseTCPIPMessages,Cyclomatic complexity of the method is 170
Complex Method,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,ParseUDPMessages,Cyclomatic complexity of the method is 18
Long Parameter List,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,Update,The method has 9 parameters.
Long Parameter List,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,AddSystemMessage,The method has 5 parameters.
Long Parameter List,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,AddSystemMessage,The method has 5 parameters.
Long Parameter List,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,AddSystemMessage,The method has 6 parameters.
Long Parameter List,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,AddSystemMessage,The method has 5 parameters.
Long Parameter List,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,Update,The method has 9 parameters.
Long Parameter List,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,AddSystemMessage,The method has 5 parameters.
Long Parameter List,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,AddSystemMessage,The method has 5 parameters.
Long Parameter List,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,AddSystemMessage,The method has 6 parameters.
Long Parameter List,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,AddSystemMessage,The method has 5 parameters.
Long Statement,GameBase,MainGameScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\GameBase.cs,ParseTCPIPMessages,The length of the statement  "			//受信  1…result(0…ok' 1…ok(ready)' -1…not exist' -2…full' -3…started' -4…entered' -5…error' -6…refused' -7…need UDP)' 2…RoomIndex' 3…UserID' 4…UserName " is 150.
Long Statement,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,ParseTCPIPMessages,The length of the statement  "			//受信  1…result(0…ok' 1…ok(ready)' -1…not exist' -2…full' -3…started' -4…entered' -5…error' -6…refused' -7…need UDP)' 2…RoomIndex' 3…UserID' 4…UserName " is 150.
Long Statement,GameBase,RoomScreen,C:\repos\TeruyukiTakahashi_OnlineGame\Projects\OnlineGame\GameBase\RoomBase.cs,StartGame,The length of the statement  "		GameStateManagement.LoadingScreen2.Load (control' true' true' option.DrawFunc' option.FinishedAction' null' Factory.GetGameScreen ()); " is 134.
