Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
KSPPluginFramework,EnumExtensions,0,7,0,0,7,58,11,0,0,-1,0,1,,TransferWindowPlanner.TWPWindowSettings
KSPPluginFramework,MonoBehaviourWindowPlus,1,18,0,0,0,465,19,4,1,0.44,5,4,KSPPluginFramework.DropDownListManager' KSPPluginFramework.DropDownList' KSPPluginFramework.GUIContentWithStyle' KSPPluginFramework.MonoBehaviourWindow' KSPPluginFramework.SkinsLibrary,TransferWindowPlanner.TWPWindowSettingsBlockout' TransferWindowPlanner.TWPWindowSettings' TransferWindowPlanner.TWPWindow' TransferWindowPlanner.TWPWindowDebug
KSPPluginFramework,DropDownListManager,0,7,2,0,1,70,14,0,0,-1,0,1,,KSPPluginFramework.MonoBehaviourWindowPlus
KSPPluginFramework,DropDownList,21,11,7,0,3,280,43,0,0,0.27,0,3,,TransferWindowPlanner.TWPWindow' TransferWindowPlanner.TWPWindowSettings' KSPPluginFramework.MonoBehaviourWindowPlus
KSPPluginFramework,GUIContentWithStyle,2,9,2,0,0,55,9,0,0,0.22,0,3,,KSPPluginFramework.MonoBehaviourWindowPlus' TransferWindowPlanner.TWPWindowSettings' TransferWindowPlanner.TWPWindow
KSPPluginFramework,ConfigNodeStorage,1,12,7,0,8,231,14,1,0,0.42,0,1,,TransferWindowPlanner.Settings
KSPPluginFramework,UnityExtensions,1,4,0,0,4,43,6,0,0,1,0,0,,
KSPPluginFramework,MonoBehaviourExtended,5,23,9,0,0,362,26,4,0,0.43,1,9,KSPPluginFramework.SkinsLibrary,TransferWindowPlanner.AngleRenderEject' TransferWindowPlanner.AngleRenderPhase' KSPPluginFramework.MonoBehaviourWindow' TransferWindowPlanner.Styles' TransferWindowPlanner.TransferDetails' TransferWindowPlanner.TransferWindowPlanner' TransferWindowPlanner.Resources' KSPPluginFramework.SkinsLibrary' TransferWindowPlanner.Settings
KSPPluginFramework,WindowInitialsAttribute,0,0,6,0,0,10,0,0,0,-1,0,3,,KSPPluginFramework.MonoBehaviourWindow' TransferWindowPlanner.TWPWindowSettings' TransferWindowPlanner.TWPWindow
KSPPluginFramework,MonoBehaviourWindow,25,12,8,0,0,380,33,1,1,0,3,3,KSPPluginFramework.MonoBehaviourExtended' KSPPluginFramework.WindowInitialsAttribute' KSPPluginFramework.SkinsLibrary,TransferWindowPlanner.TWPWindowSettings' TransferWindowPlanner.TWPWindow' KSPPluginFramework.MonoBehaviourWindowPlus
KSPPluginFramework,SkinsLibrary,2,24,6,0,0,393,51,0,0,0.29,2,6,KSPPluginFramework.MonoBehaviourExtended' KSPPluginFramework.DefSkinType,KSPPluginFramework.MonoBehaviourExtended' TransferWindowPlanner.TWPWindowSettings' KSPPluginFramework.MonoBehaviourWindow' TransferWindowPlanner.TWPWindow' KSPPluginFramework.MonoBehaviourWindowPlus' TransferWindowPlanner.Styles
KSPPluginFramework,DefSkinType,0,0,0,0,0,6,0,0,0,-1,0,2,,TransferWindowPlanner.Styles' KSPPluginFramework.SkinsLibrary
KSPPluginFramework,KSPDateTime,1,29,19,0,29,622,64,0,0,0.72,6,3,KSPPluginFramework.AMPMEnum' KSPPluginFramework.DateStringFormatsEnum' KSPPluginFramework.KSPDateStructure' KSPPluginFramework.CalendarTypeEnum' KSPPluginFramework.KSPMonth' KSPPluginFramework.KSPTimeSpan,KSPPluginFramework.KSPDateStructure' TransferWindowPlanner.TransferDetails' TransferWindowPlanner.TWPWindow
KSPPluginFramework,AMPMEnum,0,0,0,0,0,3,0,0,0,-1,0,1,,KSPPluginFramework.KSPDateTime
KSPPluginFramework,DateStringFormatsEnum,0,0,0,0,0,7,0,0,0,-1,0,3,,TransferWindowPlanner.TransferDetails' TransferWindowPlanner.TWPWindow' KSPPluginFramework.KSPDateTime
KSPPluginFramework,KSPDateStructure,1,7,15,1,6,115,7,0,0,0.43,3,5,KSPPluginFramework.KSPDateTime' KSPPluginFramework.CalendarTypeEnum' KSPPluginFramework.KSPMonth,TransferWindowPlanner.TWPWindowDebug' TransferWindowPlanner.TWPWindowSettings' TransferWindowPlanner.TWPWindow' KSPPluginFramework.KSPTimeSpan' KSPPluginFramework.KSPDateTime
KSPPluginFramework,CalendarTypeEnum,0,0,0,0,0,6,0,0,0,-1,0,6,,KSPPluginFramework.KSPDateStructure' KSPPluginFramework.KSPTimeSpan' TransferWindowPlanner.TWPWindow' TransferWindowPlanner.Settings' KSPPluginFramework.KSPDateTime' TransferWindowPlanner.TWPWindowSettings
KSPPluginFramework,KSPMonth,0,1,2,0,1,12,1,0,0,-1,0,2,,KSPPluginFramework.KSPDateTime' KSPPluginFramework.KSPDateStructure
KSPPluginFramework,KSPTimeSpan,0,26,13,0,26,565,71,0,0,-1,3,3,KSPPluginFramework.KSPDateStructure' KSPPluginFramework.CalendarTypeEnum' KSPPluginFramework.TimeSpanStringFormatsEnum,TransferWindowPlanner.TransferDetails' TransferWindowPlanner.TWPWindow' KSPPluginFramework.KSPDateTime
KSPPluginFramework,TimeSpanStringFormatsEnum,0,0,0,0,0,9,0,0,0,-1,0,3,,TransferWindowPlanner.TransferDetails' TransferWindowPlanner.TWPWindow' KSPPluginFramework.KSPTimeSpan
TransferWindowPlanner,AngleRenderEject,34,13,9,0,2,403,32,0,1,0.31,2,0,KSPPluginFramework.MonoBehaviourExtended' TransferWindowPlanner.TransferWindowPlanner,
TransferWindowPlanner,AngleRenderPhase,30,13,10,0,3,372,35,0,1,0.23,2,0,KSPPluginFramework.MonoBehaviourExtended' TransferWindowPlanner.TransferWindowPlanner,
TransferWindowPlanner,TransferWindowPlanner,14,25,0,0,0,394,54,4,1,0.16,4,10,KSPPluginFramework.MonoBehaviourExtended' TransferWindowPlanner.Resources' TransferWindowPlanner.Settings' TransferWindowPlanner.ButtonStyleEnum,TransferWindowPlanner.TWPWindowSettingsBlockout' TransferWindowPlanner.TWPWindowSettings' TransferWindowPlanner.TransferWindowPlannerFlight' TransferWindowPlanner.TransferWindowPlannerEditor' TransferWindowPlanner.TransferWindowPlannerSpaceCenter' TransferWindowPlanner.TransferWindowPlannerTrackingStation' TransferWindowPlanner.TWPWindowDebug' TransferWindowPlanner.AngleRenderPhase' TransferWindowPlanner.AngleRenderEject' TransferWindowPlanner.TWPWindow
