Method,LOC,CC,PC
HotfixSerializer<T>:GenerateDeserializer,129,5,0
AchievementHandler:HandleCriteriaUpdateAccount,43,1,1
AchievementHandler:HandleCriteriaPlayer,12,1,1
AchievementHandler:HandleAllAchievementDataPlayer,78,5,1
AchievementHandler:HandleAllAchievementCriteriaDataAccount,54,3,1
AchievementHandler:HandleInspectAchievementData,6,1,1
AchievementHandler:HandleInspectAchievementDataResponse,102,5,1
ActionBarHandler:HandleActionButtons,64,21,1
ActionBarHandler:HandleSetActionButton,6,1,1
AccountDataHandler:HandleAccountDataTimes,7,2,1
AccountDataHandler:HandleClientUpdateAccountData,10,1,1
AddonHandler:HandleServerAddonsList,40,9,1
AddonHandler:MultiplePackets,8,3,1
ArenaHandler:HandlePvPSeason,4,1,1
AuctionHouseHandler:HandleClientAuctionHello,6,1,1
AuctionHouseHandler:HandleServerAuctionHello,22,1,1
BattlegroundHandler:HandlePvPLogData,126,13,1
BattlegroundHandler:HandleRequestInspectRBGStats,6,1,1
BattlegroundHandler:HandleInspectRatedBGStats,32,2,1
BattlePetHandler:HandleBattlePetDeleted,6,1,1
BattlePetHandler:HandleBattlePetRoundResult,209,21,1
BattlePetHandler:HandleBattlePetMaxGameLengthWarning,6,2,1
BattlePetHandler:HandleBattlePetPvpChallenge,35,4,1
BattlePetHandler:HandleBattlePetFirstRound,210,21,1
BattlePetHandler:HandleBattleSlotUpdate,29,5,1
BattlePetHandler:HandleBattleFinalRound,46,8,1
BattlePetHandler:HandleBattlePetError,9,3,1
BattlePetHandler:HandleBattlePetQueueStatus,36,4,1
BattlePetHandler:HandleBattlePetTrapLevel,3,1,1
BattlePetHandler:HandleBattlePetUpdates,8,2,1
BattlePetHandler:HandleBattlePetJournal,112,12,1
BattlePetHandler:HandleBattlePetCageDataError,3,1,1
BattlePetHandler:HandleBattlePetQuery,38,1,1
BattlePetHandler:HandleBattlePetQueryResponse,21,5,1
BattlePetHandler:HandleZeroLengthPackets,2,1,1
BlackMarketHandler:HandleBlackMarketRequestItems,7,1,1
BlackMarketHandler:HandleBlackMarketBid,9,1,1
BlackMarketHandler:HandleBlackMarketHello,6,1,1
BlackMarketHandler:HandleBlackMarketOpenResult,21,1,1
BlackMarketHandler:HandleBlackMarketOutBid,5,1,1
BlackMarketHandler:HandleBlackMarketItemResult,23,3,1
BlackMarketHandler:HandleBlackMarketBidOnItemResult,5,1,1
BlackMarketHandler:HandleBlackMarketWon,5,1,1
ChallengeModeHandler:HandleChallengeModeMapStatsUpdate,12,2,1
ChallengeModeHandler:HandleChallengeModeDeleteLeaderResult,5,1,1
ChallengeModeHandler:HandleChallengeModeAllMapStats,20,4,1
CharacterHandler:HandleCharEnum,104,7,1
CharacterHandler:HandleClientCharDelete,6,1,1
CharacterHandler:HandleInitCurrency,28,7,1
CharacterHandler:HandlePlayedTime,3,1,1
CharacterHandler:HandlePowerUpdate,26,2,1
CharacterHandler:HandleLogXPGain,29,3,1
CharacterHandler:HandlePlayerVehicleData,14,1,1
CharacterHandler:HandleReorderCharacters,22,3,1
CharacterHandler:HandleXPGainAborted,9,1,1
ChatHandler:HandleClientChatMessage,5,1,1
ChatHandler:HandleMessageChatDND,4,1,1
ChatHandler:HandleClientChatMessageWhisper,7,1,1
ChatHandler:HandleClientChatMessageChannel434,7,1,1
ChatHandler:HandleServerChatMessage,83,19,1
ChatHandler:HandleTextEmote,8,1,1
ChatHandler:HandleTextEmoteServer,40,1,1
ChatHandler:HandleDefenseMessage,5,1,1
ChannelHandler:HandleChannelList,4,1,1
ChannelHandler:HandleChannelNotify,78,3,1
ChannelHandler:HandleChannelJoin,9,1,1
ChannelHandler:HandleChannelLeave,5,1,1
ChannelHandler:HandleChannelSendList,12,2,1
CombatHandler:HandleAttackStartStart,38,1,1
CombatHandler:HandleAttackStartStop,39,1,1
CombatHandler:HandleAttackSwing,6,1,1
CombatHandler:HandleAttackerStateUpdate,59,12,1
CombatHandler:HandleCancelAutoRepeat,6,1,1
CombatHandler:HandlePartyKillLog,38,1,1
CombatHandler:HandleAIReaction,14,1,1
CombatHandler:HandleCanelCombat,3,1,1
CombatLogHandler:HandlePeriodicAuraLog,80,10,1
CombatLogHandler:HandleSpellNonMeleeDmgLog,110,16,1
CombatLogHandler:HandleSpellHealLog,64,6,1
CombatLogHandler:HandleSpellEnergizeLog,56,4,1
CombatLogHandler:HandleSpellInstakillLog,39,1,1
CombatLogHandler:SpellDispelLog,60,5,1
ContactHandler:HandleContactList,23,5,1
CorpseHandler:HandleCorpseReclaimDelay,5,2,1
CorpseHandler:HandleReclaimCorpse,6,1,1
CorpseHandler:HandleCorpseQuery,2,1,1
CorpseHandler:HandleCorpseQueryResponse,28,1,1
CorpseHandler:HandleDeathReleaseLoc,8,1,1
EquipmentSetHandler:HandleEquipmentSetList,47,5,1
EquipmentSetHandler:HandleEquipmentSetSave,37,3,1
EquipmentSetHandler:HandleEquipmentSetUse,34,6,1
EquipmentSetHandler:HandleUseEquipmentSetResult,3,1,1
GameObjectHandler:HandleGameObjectQuery,7,1,1
GameObjectHandler:HandleGameObjectQueryResponse,42,6,1
GameObjectHandler:HandleGOReportUse,6,1,1
GameObjectHandler:HandleGOUse,6,1,1
GameObjectHandler:HandleGODespawnAnim,6,1,1
GameObjectHandler:HandleGOCustomAnim,24,2,1
GameStoreHandler:HandleGameStoreList,2,1,1
GameStoreHandler:HandleGameStoreListResponse,175,28,1
GameStoreHandler:HandlGameStoreBuy,8,1,1
GameStoreHandler:HandlGameStoreBuyResult,5,1,1
GameStoreHandler:HandleGameStoreAuthBuyFailed,14,3,1
GameStoreHandler:HandleGameStoreIngameBuyFailed,15,3,1
GroupHandler:HandleGroupAssignment,23,1,1
GroupHandler:HandleGroupAssistantLeader,22,1,1
GroupHandler:HandleGroupRaidConvert,3,1,1
GroupHandler:HandleGroupRequestJoinUpdates,3,1,1
GroupHandler:HandleGroupSetLeader,21,1,1
GroupHandler:HandleGroupSwapSubGroup,39,1,1
GroupHandler:HandleGroupUninviteGUID,23,1,1
GroupHandler:HandleGroupSetRoles,8,1,1
GroupHandler:HandleGroupDisband,3,1,1
GroupHandler:HandleGroupInviteResponse,7,2,1
GroupHandler:HandleGroupInvite,27,1,1
GroupHandler:HandleGroupDecline,3,1,1
GroupHandler:HandleSmsgGroupInvite,36,2,1
GroupHandler:HandleGroupList,129,8,1
GroupHandler:HandleRequestPartyMemberStats,7,1,1
GuildHandler:HandleGuildQuery,38,1,1
GuildHandler:HandleGuildQueryResponse,66,5,1
GuildHandler:HandleNewText,3,1,1
GuildHandler:HandleGuildNewsUpdateSticky,15,1,1
GuildHandler:HandleGuildAchievementData,25,3,1
GuildHandler:HandleGuildRanks,5,1,1
GuildHandler:HandleGuildRankServer,20,4,1
GuildHandler:HandleGuildRosterRequest,39,1,1
GuildHandler:HandleGuildRoster,68,4,1
GuildHandler:HandleGuildUpdatePartyState,6,1,1
GuildHandler:HandleGuildPartyStateResponse,6,1,1
GuildHandler:HandleGuildBankerActivate,14,1,1
GuildHandler:HandleGuildBankQueryTab,15,1,1
