Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,QSlim.MxKit,Extensions,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\Extensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,QSlim.MxKit,MxBlock<T>,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxBlock.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,QSlim.MxKit,MxBlock2<T>,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxBlock2.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Imperative Abstraction,QSlim.MxKit,MxHeap,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxHeap.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Remove
Unutilized Abstraction,QSlim.MxKit,MxMatrix,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxMatrix.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Duplicate Abstraction,QSlim.MxKit,MxMatrix,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxMatrix.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  MxMatrix (C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxMatrix.cs' [252' 302])' MxMatrix (C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxMatrix.cs' [426' 476])
Duplicate Abstraction,QSlim.MxKit,MxMatrix,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxMatrix.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are:  MxMatrix (C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxMatrix.cs' [313' 380])' MxMatrix (C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxMatrix.cs' [487' 554])
Unnecessary Abstraction,QSlim.MxKit,VertexData,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxStdModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Mark' Tag' UserMark' UserTag
Unnecessary Abstraction,QSlim.MxKit,FaceData,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxStdModel.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Mark' Tag' UserMark' UserTag
Unutilized Abstraction,QSlim.MxKit,MxVector2,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxVector2.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unnecessary Abstraction,QSlim.MxKit,VertexInfo,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxVertex.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Pos' Proxy
Unnecessary Abstraction,QSlim.MxKit,ProxyStruct,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxVertex.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: ' Parent' Next' Prev
Unnecessary Abstraction,QSlim.Properties,Settings,C:\repos\WCell_WCell\WCell-Terrain\QSlim\Properties\Settings.Designer.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: Default' defaultInstance
Insufficient Modularization,QSlim.MxKit,MxBlockModel,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxBlockModel.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
Insufficient Modularization,QSlim.MxKit,MxStdModel,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxStdModel.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 70 methods
Insufficient Modularization,QSlim.MxKit,MxStdModel,C:\repos\WCell_WCell\WCell-Terrain\QSlim\MxKit\MxStdModel.cs,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e.' WMC) is: 123
