Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
CaptchaValidator,0,2,3,0,2,27,3,0,0,-1,1,1
CaptchaValidatorAttribute,0,3,0,0,1,34,7,0,0,-1,1,0
RenderingParameterHelper,0,1,0,0,1,16,4,0,1,-1,0,1
BlogBaseController,2,0,2,0,0,25,0,3,0,-1,1,0
BlogRecentCommentsController,0,4,1,0,3,30,5,0,1,-1,4,0
BlogSubmitCommentController,0,7,1,0,4,75,15,0,1,-1,5,0
BlogSyndicationController,1,3,0,0,2,24,5,0,1,0.67,1,0
BlogTagCloudController,0,4,3,0,3,41,5,0,1,-1,5,0
CaptchaController,0,7,1,0,2,49,8,0,0,-1,2,0
LinkIncludeController,1,3,0,0,1,22,5,3,0,0,1,0
RsdIncludesController,1,2,0,0,2,11,2,0,1,1,1,0
ThemeIncludesController,1,2,0,0,2,11,2,0,1,1,1,0
HtmlHelperExtensions,0,5,0,0,5,35,6,0,0,-1,1,0
Archive,0,2,3,0,2,24,2,0,1,-1,3,0
Blog,0,1,3,0,1,23,1,0,1,-1,2,0
BlogRenderingModelBase,3,1,5,0,1,44,1,16,0,0,4,0
CaptchaRenderingModel,0,0,2,0,0,11,0,0,0,-1,0,1
Categories,0,1,1,0,1,12,1,0,1,-1,2,0
CommentsList,0,3,7,0,3,52,4,0,1,-1,4,0
Entry,0,1,8,0,1,59,3,0,1,-1,1,0
EntryCategories,0,1,2,0,1,22,1,0,1,-1,2,0
EntryTags,0,3,3,0,3,44,4,0,1,-1,4,0
FacebookComments,0,1,4,0,1,28,2,0,1,-1,0,0
FacebookLike,0,1,6,0,1,38,2,0,1,-1,1,0
Feeds,0,1,1,0,1,12,1,0,1,-1,1,0
InterestingEntries,0,3,5,0,3,39,4,0,1,-1,5,0
PostList,1,3,5,0,3,48,5,0,1,1,3,0
PostListEntry,0,2,5,0,1,42,3,0,0,-1,3,0
RecentCommentsRenderingModel,0,0,3,0,0,15,0,0,0,-1,1,1
ShareEntryAddThis,0,1,1,0,1,13,1,0,1,-1,1,0
ShareEntryShareThis,0,1,1,0,1,12,1,0,1,-1,1,0
SubmitCommentRenderingModel,0,0,4,0,0,22,0,0,0,-1,0,1
TagCloudRenderingModel,0,0,2,0,0,11,0,0,0,-1,1,1
TagRenderingModel,0,1,2,0,1,17,1,0,1,-1,1,2
Theme,0,1,1,0,1,12,1,0,1,-1,1,0
Twitter,0,1,10,0,1,59,3,0,1,-1,0,0
AppendVaryByBlogParameter,0,2,0,0,2,20,5,0,0,-1,1,0
