Namespace,Type,Method,LOC,CC,PC
XLabs.Platform.Device,Accelerometer,Start,3,1,0
XLabs.Platform.Device,Accelerometer,Stop,3,1,0
XLabs.Platform.Device,Accelerometer,HandleAcceleration,3,1,2
XLabs.Platform.Device,Accelerometer,Accelerometer,3,1,0
XLabs.Platform.Device,Accelerometer,Start,0,1,0
XLabs.Platform.Device,Accelerometer,Stop,0,1,0
XLabs.Platform.Device,AppleDevice,AppleDevice,11,2,0
XLabs.Platform.Device,AppleDevice,sysctlbyname,0,1,5
XLabs.Platform.Device,AppleDevice,sysctl,0,1,6
XLabs.Platform.Device,AppleDevice,GetSystemProperty,8,1,1
XLabs.Platform.Device,AppleDevice,LaunchUriAsync,18,1,1
XLabs.Platform.Device,AppleDevice,GetDeviceInfo,19,4,0
XLabs.Platform.Device,AppleDevice,GetTotalMemory,7,1,0
XLabs.Platform.Device,Battery,StartLevelMonitoring,12,1,0
XLabs.Platform.Device,Battery,StopLevelMonitoring,5,1,0
XLabs.Platform.Device,Battery,StopChargerMonitoring,5,1,0
XLabs.Platform.Device,Battery,StartChargerMonitoring,14,1,0
XLabs.Platform.Device,Battery,StartLevelMonitoring,0,1,0
XLabs.Platform.Device,Battery,StopLevelMonitoring,0,1,0
XLabs.Platform.Device,Battery,StartChargerMonitoring,0,1,0
XLabs.Platform.Device,Battery,StopChargerMonitoring,0,1,0
XLabs.Platform.Device,BluetoothDevice,BluetoothDevice,3,1,1
XLabs.Platform.Device,BluetoothDevice,Connect,3,1,0
XLabs.Platform.Device,BluetoothDevice,Disconnect,3,1,0
XLabs.Platform.Device,BluetoothHub,BluetoothHub,3,1,0
XLabs.Platform.Device,BluetoothHub,GetPairedDevices,22,1,0
XLabs.Platform.Device,BluetoothHub,manager_DiscoveredPeripheral,3,1,2
XLabs.Platform.Device,BluetoothHub,ManagerOnRetrievedConnectedPeripherals,3,1,2
XLabs.Platform.Device,BluetoothHub,OpenSettings,3,1,0
XLabs.Platform.Device,BluetoothHub,UpdatedState,5,1,1
XLabs.Platform.Device,DeviceInfo,DeviceInfo,5,1,3
XLabs.Platform.Device,Display,Display,7,1,4
XLabs.Platform.Device,Display,ToString,3,1,0
XLabs.Platform.Device,Display,WidthRequestInInches,3,1,1
XLabs.Platform.Device,Display,HeightRequestInInches,3,1,1
XLabs.Platform.Device,Gyroscope,Start,5,1,0
XLabs.Platform.Device,Gyroscope,Stop,4,1,0
XLabs.Platform.Device,Gyroscope,OnUpdate,8,2,2
XLabs.Platform.Device,Gyroscope,Gyroscope,3,1,0
XLabs.Platform.Device,Gyroscope,Start,0,1,0
XLabs.Platform.Device,Gyroscope,Stop,0,1,0
XLabs.Platform.Device,Pad,Pad,68,11,2
XLabs.Platform.Device,Phone,Phone,73,15,2
XLabs.Platform.Device,Pod,Pod,32,4,2
XLabs.Platform.Device,Simulator,Simulator,8,1,0
XLabs.Platform.Extensions,EnumExtensions,GetDescription,5,1,1
XLabs.Platform.Extensions,NsDataStream,NsDataStream,3,1,1
XLabs.Platform.Extensions,NsDataStream,Dispose,7,2,1
XLabs.Platform.Extensions,StringExtensions,StringHeight,3,1,3
XLabs.Platform.Extensions,StringExtensions,ToNativeString,3,1,1
XLabs.Platform.Extensions,StringExtensions,StringRect,7,1,3
XLabs.Platform.Extensions,StringExtensions,StringSize,3,1,2
XLabs.Platform.Extensions,UiViewExtensions,StreamToPng,4,1,2
XLabs.Platform.Extensions,UiViewExtensions,ToNativeImage,7,1,1
XLabs.Platform.Extensions,UiViewExtensions,ToBitmapContext,19,1,1
XLabs.Platform.Services.Email,EmailService,ShowDraft,21,4,7
XLabs.Platform.Services.Email,EmailService,ShowDraft,3,1,5
XLabs.Platform.Services.Email,EmailService,GetMimeType,28,7,1
XLabs.Platform.Services.Geolocation,GeolocationSingleUpdateDelegate,GeolocationSingleUpdateDelegate,33,2,5
XLabs.Platform.Services.Geolocation,GeolocationSingleUpdateDelegate,AuthorizationChanged,8,2,2
XLabs.Platform.Services.Geolocation,GeolocationSingleUpdateDelegate,Failed,9,1,2
XLabs.Platform.Services.Geolocation,GeolocationSingleUpdateDelegate,ShouldDisplayHeadingCalibration,3,1,1
XLabs.Platform.Services.Geolocation,GeolocationSingleUpdateDelegate,UpdatedLocation,23,4,3
XLabs.Platform.Services.Geolocation,GeolocationSingleUpdateDelegate,UpdatedHeading,18,4,2
XLabs.Platform.Services.Geolocation,GeolocationSingleUpdateDelegate,StopListening,7,2,0
XLabs.Platform.Services.Geolocation,Geolocator,Geolocator,19,3,0
XLabs.Platform.Services.Geolocation,Geolocator,StopListening,13,3,0
XLabs.Platform.Services.Geolocation,Geolocator,GetPositionAsync,3,1,1
XLabs.Platform.Services.Geolocation,Geolocator,GetPositionAsync,3,1,2
XLabs.Platform.Services.Geolocation,Geolocator,GetPositionAsync,3,1,1
XLabs.Platform.Services.Geolocation,Geolocator,GetPositionAsync,3,1,2
XLabs.Platform.Services.Geolocation,Geolocator,GetPositionAsync,3,1,2
XLabs.Platform.Services.Geolocation,Geolocator,GetPositionAsync,43,5,3
XLabs.Platform.Services.Geolocation,Geolocator,StartListening,3,1,2
XLabs.Platform.Services.Geolocation,Geolocator,StartListening,22,5,3
XLabs.Platform.Services.Geolocation,Geolocator,GetManager,5,1,0
XLabs.Platform.Services.Geolocation,Geolocator,OnUpdatedHeading,10,2,2
