Implementation smell,Namespace,Class,File,Method,Description
Long Method,Blamite.Blam.Scripting.Analysis,LispScriptScanner,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\LispScriptScanner.cs,Scan,The method has 138 lines of code.
Long Method,Blamite.Blam.Scripting.Analysis,LispScriptParser,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\LispScriptParser.cs,DoAction,The method has 102 lines of code.
Long Method,Blamite.Plugins,AssemblyPluginLoader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Plugins\AssemblyPluginLoader.cs,HandleValueElement,The method has 135 lines of code.
Long Method,Blamite.Plugins,UniversalPluginLoader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Plugins\UniversalPluginLoader.cs,HandleValueElement,The method has 155 lines of code.
Complex Method,Blamite.Blam.Resources.Models,VertexBufferReader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Resources\Models\VertexBufferReader.cs,ReadElement,Cyclomatic complexity of the method is 18
Complex Method,Blamite.Blam.Scripting.Analysis,LispScriptScanner,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\LispScriptScanner.cs,Scan,Cyclomatic complexity of the method is 23
Complex Method,Blamite.Blam.Scripting.Analysis,Guesser,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\LispScriptScanner.cs,Scan,Cyclomatic complexity of the method is 15
Complex Method,Blamite.Blam.Scripting.Analysis,LispScriptParser,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\LispScriptParser.cs,DoAction,Cyclomatic complexity of the method is 17
Complex Method,QUT.Gppg,ShiftReduceParser<TValue;TSpan>,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\ShiftReduceParserCode.cs,Parse,Cyclomatic complexity of the method is 10
Complex Method,QUT.Gppg,ShiftReduceParser<TValue;TSpan>,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\ShiftReduceParserCode.cs,DiscardInvalidTokens,Cyclomatic complexity of the method is 9
Complex Method,QUT.Gppg,ShiftReduceParser<TValue;TSpan>,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\Analysis\ShiftReduceParserCode.cs,CharToString,Cyclomatic complexity of the method is 9
Complex Method,Blamite.Blam.Scripting,BlamScriptGenerator,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\BlamScriptGenerator.cs,GenerateCode,Cyclomatic complexity of the method is 16
Complex Method,Blamite.Blam.Scripting,BlamScriptGenerator,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Scripting\BlamScriptGenerator.cs,GenerateExpressionCode,Cyclomatic complexity of the method is 18
Complex Method,Blamite.Blam.ThirdGen.Shaders,ThirdGenShaderStreamer,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\ThirdGen\Shaders\ThirdGenShaderStreamer.cs,ReadShaderInfo,Cyclomatic complexity of the method is 12
Complex Method,Blamite.Blam.ThirdGen.Structures,ThirdGenHeader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\ThirdGen\Structures\ThirdGenHeader.cs,Serialize,Cyclomatic complexity of the method is 10
Complex Method,Blamite.Blam.Util,MetaAllocator,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\Util\MetaAllocator.cs,FreeBlock,Cyclomatic complexity of the method is 15
Complex Method,Blamite.Serialization.Settings,XMLLayoutLoader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Serialization\Settings\XMLLayoutLoader.cs,IdentifyValueType,Cyclomatic complexity of the method is 9
Complex Method,Blamite.Serialization,StructureReader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Serialization\StructureReader.cs,VisitBasicField,Cyclomatic complexity of the method is 8
Complex Method,Blamite.Serialization,StructureWriter,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Serialization\StructureWriter.cs,VisitBasicField,Cyclomatic complexity of the method is 11
Complex Method,Blamite.Injection,TagContainerReader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Injection\TagContainerReader.cs,ReadDataBlock,Cyclomatic complexity of the method is 13
Complex Method,Blamite.Injection,TagContainerWriter,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Injection\TagContainerWriter.cs,WriteDataBlocks,Cyclomatic complexity of the method is 10
Complex Method,Blamite.Injection,TagContainerInjector,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Injection\TagContainerInjector.cs,InjectTag,Cyclomatic complexity of the method is 9
Complex Method,Blamite.Injection,TagContainerInjector,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Injection\TagContainerInjector.cs,InjectResource,Cyclomatic complexity of the method is 9
Complex Method,Blamite.Patching,DataComparer,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Patching\DataComparer.cs,CompareData,Cyclomatic complexity of the method is 11
Complex Method,Blamite.Plugins,AssemblyPluginLoader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Plugins\AssemblyPluginLoader.cs,HandleValueElement,Cyclomatic complexity of the method is 41
Complex Method,Blamite.Plugins,UniversalPluginLoader,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Plugins\UniversalPluginLoader.cs,HandleValueElement,Cyclomatic complexity of the method is 44
Complex Method,Blamite.Plugins.Generation,MetaAnalyzer,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Plugins\Generation\MetaAnalyzer.cs,AnalyzeArea,Cyclomatic complexity of the method is 9
Long Parameter List,Blamite.Blam,IndexedStringTable,D:\research\architectureSmells\repos\XboxChaos_Assembly\src\Blamite\Blam\IndexedStringTable.cs,IndexedStringTable,The method has 5 parameters. Parameters: reader' count' indexTable' data' key
