Design smell,Namespace,Class,File,Cause
Imperative Abstraction,S22.Imap,Bodypart,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\Bodystructure\Bodypart.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: ToString
Imperative Abstraction,S22.Imap,Bodystructure,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\Bodystructure\Bodystructure.cs,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: Parse
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[191' 210]' ImapClient[820' 839]
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[212' 235]' ImapClient[968' 991]
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[237' 260]' ImapClient[1033' 1056]
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[262' 292]' ImapClient[1060' 1090]
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[294' 322]' ImapClient[1107' 1135]
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[325' 350]' ImapClient[1163' 1188]
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[353' 383]' ImapClient[1193' 1223]
Duplicate Abstraction,S22.Imap,IImapClient,C:\repos\Yuri999_dispetcher\ThirdParity\S22.Imap\IImapClient.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: IImapClient[386' 414]' ImapClient[1232' 1260]
