Implementation smell,Namespace,Class,File,Method,Description
Long Method,MissionEditor2,MainWindow,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\MainWindow.xaml.cs,logicGrid_Drop,The method has 138 lines of code.
Complex Method,MissionEditor2,GiveOrdersPane,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\GiveOrdersPane.xaml.cs,CreateNewOrder,Cyclomatic complexity of the method is 14
Complex Method,MissionEditor2,UnitEnteredAreaControl,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\UnitEnteredAreaControl.xaml.cs,canvas_MouseDown,Cyclomatic complexity of the method is 10
Complex Method,MissionEditor2,CreateUnitsPane,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\CreateUnitsPane.xaml.cs,unitCanvas_PreviewMouseMove,Cyclomatic complexity of the method is 11
Complex Method,MissionEditor2,CreateUnitsPane,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\CreateUnitsPane.xaml.cs,unitCanvas_PreviewMouseUp,Cyclomatic complexity of the method is 10
Complex Method,MissionEditor2,ListTemplates,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\ListTemplates.xaml.cs,UnitDefGrid_Loaded,Cyclomatic complexity of the method is 9
Complex Method,MissionEditor2,LogicTemplateSelector,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\LogicTemplateSelector.cs,SelectTemplate,Cyclomatic complexity of the method is 24
Complex Method,MissionEditor2,MainWindow,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\MainWindow.xaml.cs,MoveItem,Cyclomatic complexity of the method is 9
Complex Method,MissionEditor2,MainWindow,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\MainWindow.xaml.cs,MoveTrigger,Cyclomatic complexity of the method is 8
Complex Method,MissionEditor2,MainWindow,D:\research\architectureSmells\repos\ZeroK-RTS_Zero-K-Infrastructure\MissionEditor\MissionEditor2\MainWindow.xaml.cs,logicGrid_Drop,Cyclomatic complexity of the method is 29
