Design smell,Namespace,Class,File,Cause
Multifaceted Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.98
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[30' 2154]' LobbyMessage[19' 2143]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[31' 2154]' ZkDataContext[5' 2128]' LobbyMessage[20' 2143]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[33' 52]' LobbyMessage[22' 41]' ZkDataContext[7' 26]' Battle[1' 20]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[33' 2154]' Battle[1' 2122]' LobbyMessage[22' 2143]' ZkDataContext[7' 2128]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[34' 53]' LobbyMessage[23' 42]' Mission[41' 60]' ZkDataContext[8' 27]' Battle[2' 21]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[34' 2154]' Mission[41' 2161]' LobbyMessage[23' 2143]' ZkDataContext[8' 2128]' Battle[2' 2122]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[432' 451]' Account[716' 735]' LobbyMessage[421' 440]' LobbyMessage[705' 724]' Mission[439' 458]' Mission[723' 742]' ZkDataContext[406' 425]' ZkDataContext[690' 709]' Battle[400' 419]' Battle[684' 703]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[432' 451]' Account[716' 735]' LobbyMessage[705' 724]' Mission[723' 742]' ZkDataContext[690' 709]' Battle[684' 703]' LobbyMessage[421' 440]' Mission[439' 458]' ZkDataContext[406' 425]' Battle[400' 419]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[732' 751]' Account[1379' 1398]' Account[2086' 2105]' Account[3520' 3539]' LobbyMessage[721' 740]' LobbyMessage[1368' 1387]' LobbyMessage[2075' 2094]' LobbyMessage[3509' 3528]' Mission[739' 758]' Mission[1386' 1405]' Mission[2093' 2112]' Mission[3527' 3546]' ZkDataContext[706' 725]' ZkDataContext[1353' 1372]' ZkDataContext[2060' 2079]' ZkDataContext[3494' 3513]' Battle[700' 719]' Battle[1347' 1366]' Battle[2054' 2073]' Battle[3488' 3507]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[732' 753]' Account[1379' 1400]' Account[2086' 2107]' Account[3520' 3541]' LobbyMessage[1368' 1389]' LobbyMessage[2075' 2096]' LobbyMessage[3509' 3530]' Mission[1386' 1407]' Mission[2093' 2114]' Mission[3527' 3548]' ZkDataContext[1353' 1374]' ZkDataContext[2060' 2081]' ZkDataContext[3494' 3515]' Battle[1347' 1368]' Battle[2054' 2075]' Battle[3488' 3509]' LobbyMessage[721' 742]' Mission[739' 760]' ZkDataContext[706' 727]' Battle[700' 721]
Duplicate Abstraction,ZkData,Account,D:\newReposJune17\ZeroK-RTS_Zero-K-Infrastructure\Shared\ZkData\Account.cs,The tool detected the smell in this class because a set of code clones has been found and at least one of the clones found in this class. List of code clones with start and end line numbers are: Account[3520' 5792]' LobbyMessage[3509' 5781]' Mission[3527' 5799]' ZkDataContext[3494' 5766]' Battle[3488' 5760]
