Method,LOC,CC,PC
NotLogging:Usage,4,1,0
NotLogging:ProgramInit,25,4,1
NotLogging:Main,52,10,1
TimedTest:Run,1,1,2
SimpleMessage_Bare:Run,9,2,2
ComplexMessage_MethodGuard_Bare:Run,11,3,2
ComplexMessage_Bare:Run,9,2,2
SimpleMessage_Array:Run,11,2,2
ComplexMessage_MethodGuard_Array:Run,15,3,2
ComplexMessage_Array:Run,13,2,2
ComplexMessage_MemberGuard_Bare:Run,3,1,2
SimpleMessage_LocalGuard_Bare:Run,11,3,2
SimpleMessage_MethodGuard_Bare:Run,10,3,2
ComplexMessage_LocalGuard_Bare:Run,11,3,2
