Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DiskStream,7,6,6,0,6,139,15,0,0,0.57,0,1
Export,8,5,3,0,2,305,58,0,1,0.88,21,0
Http,7,18,2,0,2,403,73,0,0,0.94,4,1
ReConnectException,0,3,0,0,3,13,3,0,0,0,0,1
MarshalBaseTypes,0,7,0,0,7,58,8,0,0,0,0,1
Import,27,51,2,1,7,2098,400,0,1,0.97,49,0
ImportException,0,4,0,0,4,16,4,0,0,0,0,1
iSCSI,14,12,5,0,7,404,66,0,0,0.85,6,3
Messages,2,1,60,0,0,509,1,0,0,0,0,3
XenOvfTransportBase,9,6,2,0,3,64,10,2,0,0.87,5,0
XenOvfTranportEventType,0,0,0,0,0,22,0,0,0,0,0,5
XenOvfTranportEventArgs,6,3,6,0,3,60,3,0,0,0.33,1,5
Resources,2,1,2,0,0,45,1,0,0,0,0,0
Settings,1,0,35,0,0,301,0,0,0,0,0,0
