Method,LOC,CC,PC
AppendResult:AppendResult,4,1,2
Crc32Algorithm:Crc32Algorithm,2,1,0
Crc32Algorithm:Crc32Algorithm,4,1,2
Crc32Algorithm:Initialize,3,1,0
Crc32Algorithm:HashCore,3,1,3
Crc32Algorithm:HashFinal,5,1,0
Crc32Algorithm:Compute,3,1,1
Crc32Algorithm:Compute,3,1,2
Crc32Algorithm:Compute,3,1,3
Crc32Algorithm:InitializeTable,12,4,1
Crc32Algorithm:CalculateHash,6,3,5
Crc32Algorithm:UintToBigEndianBytes,6,2,1
ICheckpointReader:Read,1,1,0
ICheckpointReader:ReadAsync,1,1,1
ForbiddenException:ForbiddenException,2,1,0
ForbiddenException:ForbiddenException,2,1,1
ForbiddenException:ForbiddenException,2,1,2
ForbiddenException:ForbiddenException,2,1,2
ICheckpointWriter:GetOrInitPosition,1,1,0
ICheckpointWriter:ReadPositionVolatile,1,1,0
ICheckpointWriter:Update,1,1,1
IPageReader:DownloadRangeToStream,1,1,3
IPageReader:DownloadRangeToStreamAsync,1,1,3
IPageWriter:Init,1,1,0
IPageWriter:EnsureSize,1,1,1
IPageWriter:ReadPage,1,1,1
IPageWriter:Save,1,1,2
IPageWriter:SaveAsync,1,1,3
IPageWriter:GetMaxCommitSize,1,1,0
IPageWriter:GetPageSize,1,1,0
MessageWithId:KeyAsString,3,1,0
MessageWithId:MessageWithId,7,1,5
StorageFormat:Write,12,1,3
StorageFormat:Write,12,1,2
StorageFormat:EstimateSize,10,1,1
StorageFormat:Read,19,3,1
InvalidStorageFormatException:InvalidStorageFormatException,2,1,1
InvalidStorageFormatException:InvalidStorageFormatException,2,1,2
InvalidStorageFormatException:InvalidStorageFormatException,2,1,2
NoDataException:NoDataException,2,1,0
NoDataException:NoDataException,2,1,1
NoDataException:NoDataException,2,1,2
NoDataException:NoDataException,2,1,2
MessageId:GetNodeLocalNumber,8,1,0
MessageId:GetTimeUtc,3,1,0
MessageId:GetTimestamp,3,1,0
MessageId:GetOffset,5,1,0
MessageId:GetRand,3,1,0
MessageId:IsEmpty,3,1,0
MessageId:MessageId,6,1,4
MessageId:ReadUintInBigEndian,3,1,2
MessageId:WriteIntInBigEndian,6,1,3
MessageId:MessageId,2,1,1
MessageId:MessageId,6,1,1
MessageId:ToString,10,1,0
MessageId:GetCurrentTimestampMs,5,1,0
MessageId:CreateNew,5,1,1
MessageId:MessageId,15,2,3
MessageId:GetBytes,8,1,0
MessageId:ToGuid,3,1,0
MessageId:CompareTo,15,4,1
MessageId:GetHashCode,9,1,0
MessageId:CompareTo,10,3,1
MessageReader:MessageReader,5,1,2
MessageReader:GetPosition,3,1,0
MessageReader:ReadMessages,18,7,4
MessageReader:ReadMessages,20,7,3
MessageReader:Subscribe,5,1,4
MessageReader:RunSubscription,36,12,5
MessageReader:GetMessagesAsync,16,4,3
MessageReader:Dispose,10,6,0
MessageResult:MessageResult,6,1,2
MessageResult:Empty,4,1,1
MessageResult:HasMessages,3,1,0
Message:Message,14,3,4
Message:Create,4,1,3
Message:Create,4,1,3
MessageWriter:MessageWriter,8,1,2
MessageWriter:GetPosition,3,1,0
MessageWriter:GetBufferSize,3,1,0
MessageWriter:Init,13,2,0
MessageWriter:Ceiling,7,2,1
MessageWriter:Floor,3,1,1
MessageWriter:Tail,3,1,1
MessageWriter:VirtualPosition,3,1,0
MessageWriter:BufferStarts,3,1,0
MessageWriter:DataStarts,3,1,0
MessageWriter:DataEnds,3,1,0
MessageWriter:BufferEnds,3,1,0
MessageWriter:FlushBuffer,28,5,0
MessageWriter:Append,28,6,1
MessageWriter:Dispose,9,5,0
PageReadStream:PageReadStream,8,1,4
PageReadStream:Flush,3,1,0
PageReadStream:Seek,3,1,2
PageReadStream:SetLength,3,1,1
PageReadStream:Read,12,2,3
PageReadStream:PreLoad,19,3,1
PageReadStream:Write,3,1,3
Require:OffsetMultiple,12,3,3
Require:ZeroOrGreater,6,2,2
Require:Positive,6,2,2
Require:NotNull,6,2,2
Ensure:ZeroOrGreater,6,2,2
TransferFormat:WriteMessages,24,6,2
TransferFormat:ReadMessages,31,9,1
TransferFormat:VerifyHash,7,3,2
CloudCheckpointReader:CloudCheckpointReader,4,1,1
CloudCheckpointReader:Read,18,3,0
CloudCheckpointReader:ReadAsync,19,3,1
CloudCheckpointReader:Dispose,2,1,0
CloudCheckpointWriter:CloudCheckpointWriter,4,1,1
