Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddReferenceToSiblingFilename_ExpandsFilenameToAbsolutePath which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddReferenceToSiblingFilename_AssignsLineNumber which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddReferenceToSiblingFilename_CreatesSameBundleReference which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddReferenceToAssetInAnotherBundle_ExpandsFilenameToAbsolutePath which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddReferenceToAssetInAnotherBundle_CreatesDifferentBundleReference which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddReferenceToAssetInAnotherBundleWithShorterPath_CreatesDifferentBundleReference which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddReferenceToAssetWithPathAbsoluteToWebApplication which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: WhenAddReferenceToAssetPathStartingWithTilde_ThenPathIsConvertedToAppRelative which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: AddRawFileReferenceNormalizesPathToBeAppRelative which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: WhenAddRawReferenceTwiceWithSamePath_ThenReferencesHasItOnlyOnce which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: WhenAddRawReferenceTwiceWithSameEffectivePath_ThenReferencesHasItOnlyOnce which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: WhenAddRawFileReferenceStartingWithForwardSlash_ThenReferencePathhasTildePrefixAdded which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: WhenAddReferenceToUrl_ThenReferenceIsDifferentBundle which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: WhenAddReferenceToHttpsUrl_ThenReferenceIsDifferentBundle which is more interested in members of the type: FileAsset
Feature Envy,Cassette,Asset_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Asset.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: WhenAddReferenceToProtocolRelativeUrl_ThenReferenceIsDifferentBundle which is more interested in members of the type: FileAsset
Unutilized Abstraction,Cassette,AssetPathComparer_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\AssetPathComparer.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Cassette,BundleCollection_FindBundlesContainingPath,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\BundleCollection.FindBundlesContainingPath.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Cassette,BundleCollection_BuildReferences,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\BundleCollection.BuildReferences.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Feature Envy,Cassette,BundleCollection_BuildReferences,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\BundleCollection.BuildReferences.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: GivenBundleWithInvalid_BuildReferencesThrowsException which is more interested in members of the type: BundleCollection
Feature Envy,Cassette,BundleCollection_BuildReferences,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\BundleCollection.BuildReferences.cs,The tool detected the smell because a method in this type accesses members from another type more than the members from its own type. The method causing this smell is: GivenAssetWithReferenceToNonexistantFileAndBundleIsFromDescriptorFile_WhenBuildReferences_ThenAssetReferenceIsIgnored which is more interested in members of the type: BundleCollection
Unutilized Abstraction,Cassette,BundleCollection_SortBundles,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\BundleCollection.SortBundles.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Cassette,BundleCollectionEquality_Tests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\BundleCollection.Equals.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Cassette,BundleEqualityTests,D:\research\architectureSmells\repos\andrewdavey_cassette\src\Cassette.UnitTests\Bundle.Equals.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
