Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
AnnotationPattern,7,2,2,6,0,66,2,0,1,1,3,0
Automation,4,14,5,3,13,272,31,0,0,1,13,9
AutomationElementMode,0,0,0,0,0,5,0,0,0,-1,0,1
AutomationElement,84,27,7,83,23,692,55,0,0,0.19,9,47
AutomationElementCollection,1,5,3,0,3,51,7,0,0,0.4,2,1
AutomationElementCollectionEnumerator,3,3,1,0,2,32,4,0,0,0,0,1
AutomationElementIdentifiers,83,0,0,83,0,90,0,0,0,-1,2,1
DockPatternIdentifiers,2,0,0,2,0,5,0,0,0,-1,2,0
ExpandCollapsePatternIdentifiers,2,0,0,2,0,5,0,0,0,-1,2,0
GridItemPatternIdentifiers,6,0,0,6,0,9,0,0,0,-1,2,0
GridPatternIdentifiers,3,0,0,3,0,6,0,0,0,-1,2,0
InvokePatternIdentifiers,2,0,0,2,0,5,0,0,0,-1,2,0
MultipleViewPatternIdentifiers,3,0,0,3,0,6,0,0,0,-1,2,0
RangeValuePatternIdentifiers,7,0,0,7,0,10,0,0,0,-1,2,0
ScrollItemPatternIdentifiers,1,0,0,1,0,4,0,0,0,-1,1,0
ScrollPatternIdentifiers,8,0,0,8,0,11,0,0,0,-1,2,0
SelectionItemPatternIdentifiers,6,0,0,6,0,9,0,0,0,-1,3,0
SelectionPatternIdentifiers,5,0,0,5,0,8,0,0,0,-1,3,0
TableItemPatternIdentifiers,3,0,0,3,0,6,0,0,0,-1,2,0
TablePatternIdentifiers,4,0,0,4,0,7,0,0,0,-1,2,0
TextPatternIdentifiers,35,0,0,35,0,38,0,0,0,-1,3,0
TogglePatternIdentifiers,2,0,0,2,0,5,0,0,0,-1,2,0
TransformPatternIdentifiers,4,0,0,4,0,7,0,0,0,-1,2,0
ValuePatternIdentifiers,3,0,0,3,0,6,0,0,0,-1,2,0
WindowPatternIdentifiers,9,0,0,9,0,12,0,0,0,-1,3,2
LegacyIAccessiblePatternIdentifiers,11,0,0,11,0,14,0,0,0,-1,2,0
ItemContainerPatternIdentifiers,1,0,0,1,0,4,0,0,0,-1,1,0
VirtualizedItemPatternIdentifiers,1,0,0,1,0,4,0,0,0,-1,1,0
SynchronizedInputPatternIdentifiers,4,0,0,4,0,7,0,0,0,-1,2,0
ObjectModelPatternIdentifiers,1,0,0,1,0,4,0,0,0,-1,1,0
AnnotationPatternIdentifiers,6,0,0,6,0,9,0,0,0,-1,2,0
TextPattern2Identifiers,10,0,0,10,0,13,0,0,0,-1,2,0
StylesPatternIdentifiers,8,0,0,8,0,11,0,0,0,-1,2,0
SpreadsheetPatternIdentifiers,1,0,0,1,0,4,0,0,0,-1,1,0
SpreadsheetItemPatternIdentifiers,4,0,0,4,0,7,0,0,0,-1,2,0
TransformPattern2Identifiers,5,0,0,5,0,8,0,0,0,-1,2,0
TextChildPatternIdentifiers,1,0,0,1,0,4,0,0,0,-1,1,0
DragPatternIdentifiers,8,0,0,8,0,11,0,0,0,-1,3,0
DropTargetPatternIdentifiers,6,0,0,6,0,9,0,0,0,-1,3,0
AutomationIdentifier,5,6,2,0,3,94,11,5,0,0.5,1,7
AutomationEvent,0,3,0,0,1,14,3,0,1,-1,2,25
AutomationPattern,0,3,0,0,1,14,3,0,1,-1,2,71
AutomationProperty,0,3,0,0,1,14,3,0,1,-1,2,56
AutomationTextAttribute,0,3,0,0,1,14,3,0,1,-1,2,5
ControlType,42,10,1,39,4,224,11,0,1,0.7,4,4
ElementNotAvailableException,0,6,0,0,5,29,6,0,0,-1,1,0
ElementNotEnabledException,0,6,0,0,5,29,6,0,0,-1,1,0
NoClickablePointException,0,6,0,0,5,24,6,0,0,-1,0,0
ProxyAssemblyNotLoadedException,0,6,0,0,5,24,6,0,0,-1,0,0
DockPosition,0,0,0,0,0,10,0,0,0,-1,0,3
ExpandCollapseState,0,0,0,0,0,8,0,0,0,-1,0,2
OrientationType,0,0,0,0,0,7,0,0,0,-1,0,1
RowOrColumnMajor,0,0,0,0,0,7,0,0,0,-1,0,2
ScrollAmount,0,0,0,0,0,9,0,0,0,-1,0,2
SupportedTextSelection,0,0,0,0,0,7,0,0,0,-1,0,3
ToggleState,0,0,0,0,0,7,0,0,0,-1,0,2
TreeScope,0,0,0,0,0,10,0,0,0,-1,0,5
WindowInteractionState,0,0,0,0,0,9,0,0,0,-1,0,2
WindowVisualState,0,0,0,0,0,7,0,0,0,-1,0,3
SynchronizedInputType,0,0,0,0,0,10,0,0,0,-1,0,2
AnnotationType,0,0,0,0,0,12,0,0,0,-1,0,2
StyleId,0,0,0,0,0,18,0,0,0,-1,0,2
ZoomUnit,0,0,0,0,0,8,0,0,0,-1,0,2
LiveSetting,0,0,0,0,0,6,0,0,0,-1,0,0
ActiveEnd,0,0,0,0,0,6,0,0,0,-1,0,1
CaretPosition,0,0,0,0,0,6,0,0,0,-1,0,1
CaretBidiMode,0,0,0,0,0,5,0,0,0,-1,0,1
BasePattern,2,1,0,0,0,11,1,28,0,0,1,0
CacheRequest,5,9,6,0,7,123,12,0,0,0,8,5
CacheRequestActivation,1,2,0,0,1,15,3,0,0,0,1,1
ClientSideProviderMatchIndicator,0,0,0,0,0,7,0,0,0,-1,0,2
ClientSideProviderDescription,4,2,4,0,2,42,2,0,0,0,1,1
ProxyFactoryCallbackWrapper,3,2,1,0,1,25,2,0,0,0,0,1
ClientSettings,0,2,0,0,2,66,9,0,0,-1,5,0
Condition,2,4,1,2,0,62,6,4,0,0.5,4,12
NotCondition,1,2,2,0,1,23,2,0,1,0,2,1
AndCondition,1,3,1,0,2,22,3,0,1,0,2,3
OrCondition,1,3,1,0,2,22,3,0,1,0,2,1
PropertyConditionFlags,0,0,0,0,0,6,0,0,0,-1,0,1
PropertyCondition,1,4,4,0,2,42,4,0,1,0,4,3
DockPattern,3,3,2,2,1,55,4,0,1,0.67,5,0
DragPattern,9,2,2,8,0,63,2,0,1,1,4,0
DropTargetPattern,7,2,2,6,0,51,2,0,1,1,4,0
AutomationEventArgs,1,1,1,0,1,13,1,5,0,0,1,2
WindowClosedEventArgs,1,2,0,0,2,15,3,0,1,0,0,0
AsyncContentLoadedState,0,0,0,0,0,7,0,0,0,-1,0,2
AsyncContentLoadedEventArgs,2,1,2,0,1,20,1,0,1,0,1,1
