Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
AppHarbor.Web.Security,AuthenticationCookie,7,7,7,0,6,151,7,0,0,0.29,1,3,AppHarbor.Web.Security.CookieIdentity,AppHarbor.Web.Security.CookieAuthenticationModule' AppHarbor.Web.Security.CookieAuthenticator' AppHarbor.Web.Security.CookieIdentity
AppHarbor.Web.Security,ConfigFileAuthenticationConfiguration,0,1,9,0,0,75,2,0,1,-1,0,0,,
AppHarbor.Web.Security,CookieAuthenticationModule,1,8,0,0,4,111,17,0,0,0.5,3,0,AppHarbor.Web.Security.ICookieAuthenticationConfiguration' AppHarbor.Web.Security.CookieProtector' AppHarbor.Web.Security.AuthenticationCookie,
AppHarbor.Web.Security,CookieAuthenticator,2,4,0,0,4,41,4,0,1,0.5,3,0,AppHarbor.Web.Security.ICookieAuthenticationConfiguration' AppHarbor.Web.Security.AuthenticationCookie' AppHarbor.Web.Security.CookieProtector,
AppHarbor.Web.Security,CookieIdentity,1,1,3,0,1,35,2,0,0,0,1,1,AppHarbor.Web.Security.AuthenticationCookie,AppHarbor.Web.Security.AuthenticationCookie
AppHarbor.Web.Security,CookieProtector,2,6,0,0,6,65,9,0,0,0.5,3,2,AppHarbor.Web.Security.Encryption' AppHarbor.Web.Security.Validation' AppHarbor.Web.Security.ICookieAuthenticationConfiguration,AppHarbor.Web.Security.CookieAuthenticationModule' AppHarbor.Web.Security.CookieAuthenticator
AppHarbor.Web.Security,Encryption,0,9,0,0,9,32,9,1,0,-1,1,1,AppHarbor.Web.Security.SymmetricEncryption,AppHarbor.Web.Security.CookieProtector
AppHarbor.Web.Security,IAuthenticator,0,2,0,0,0,5,2,1,0,-1,0,0,,
AppHarbor.Web.Security,ICookieAuthenticationConfiguration,0,0,9,0,0,12,0,1,0,-1,0,3,,AppHarbor.Web.Security.CookieAuthenticationModule' AppHarbor.Web.Security.CookieAuthenticator' AppHarbor.Web.Security.CookieProtector
AppHarbor.Web.Security,KeyedHashValidation,1,8,0,0,6,65,12,1,1,0,0,1,,AppHarbor.Web.Security.Validation
AppHarbor.Web.Security,KeyedHashValidation<T>,0,1,0,0,1,7,1,0,2,-1,0,0,,
AppHarbor.Web.Security,StringExtensions,0,2,0,0,2,11,2,0,0,-1,0,0,,
AppHarbor.Web.Security,SymmetricEncryption,2,4,0,0,4,56,6,1,1,0,0,1,,AppHarbor.Web.Security.Encryption
AppHarbor.Web.Security,SymmetricEncryption<T>,0,1,0,0,1,7,1,0,2,-1,0,0,,
AppHarbor.Web.Security,Validation,0,12,0,0,12,40,12,1,0,-1,1,1,AppHarbor.Web.Security.KeyedHashValidation,AppHarbor.Web.Security.CookieProtector
