Method,LOC,CC,PC
MvcLocalizationMvcBuilderExtensions:AddViewLocalization,7,2,1
MvcLocalizationMvcBuilderExtensions:AddViewLocalization,8,2,2
MvcLocalizationMvcBuilderExtensions:AddViewLocalization,8,2,2
MvcLocalizationMvcBuilderExtensions:AddViewLocalization,8,2,3
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,11,2,1
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,11,2,2
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,11,2,2
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,11,2,3
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,11,2,2
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,11,2,3
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,11,2,3
MvcLocalizationMvcBuilderExtensions:AddMvcLocalization,9,2,4
MvcLocalizationMvcCoreBuilderExtensions:AddViewLocalization,7,2,1
MvcLocalizationMvcCoreBuilderExtensions:AddViewLocalization,10,2,2
MvcLocalizationMvcCoreBuilderExtensions:AddViewLocalization,7,2,2
MvcLocalizationMvcCoreBuilderExtensions:AddViewLocalization,10,2,3
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,11,2,1
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,11,2,2
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,11,2,2
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,11,2,3
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,11,2,2
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,11,2,3
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,11,2,3
MvcLocalizationMvcCoreBuilderExtensions:AddMvcLocalization,9,2,4
HtmlLocalizer:HtmlLocalizer,7,2,1
HtmlLocalizer:GetString,7,2,1
HtmlLocalizer:GetString,7,2,2
HtmlLocalizer:GetAllStrings,0,1,1
HtmlLocalizer:WithCulture,7,2,1
HtmlLocalizer:ToHtmlString,0,1,1
HtmlLocalizer:ToHtmlString,0,1,2
HtmlLocalizerExtensions:GetHtml,11,3,2
HtmlLocalizerExtensions:GetHtml,11,3,3
HtmlLocalizerExtensions:GetAllStrings,7,2,1
HtmlLocalizerFactory:HtmlLocalizerFactory,7,2,1
HtmlLocalizerFactory:Create,7,2,1
HtmlLocalizerFactory:Create,12,3,2
HtmlLocalizer<TResource>:HtmlLocalizer,3,1,1
HtmlLocalizer<TResource>:GetString,7,2,1
HtmlLocalizer<TResource>:GetString,7,2,2
HtmlLocalizer<TResource>:GetAllStrings,0,1,1
HtmlLocalizer<TResource>:WithCulture,7,2,1
IHtmlLocalizer:GetString,0,1,1
IHtmlLocalizer:GetString,0,1,2
IHtmlLocalizer:GetAllStrings,0,1,1
IHtmlLocalizer:WithCulture,0,1,1
IHtmlLocalizerFactory:Create,0,1,1
IHtmlLocalizerFactory:Create,0,1,2
LocalizedHtmlString:LocalizedHtmlString,2,1,2
LocalizedHtmlString:LocalizedHtmlString,2,1,3
LocalizedHtmlString:LocalizedHtmlString,18,4,4
LocalizedHtmlString:WriteTo,12,3,2
Resources:FormatNullStringLocalizer,3,1,0
Resources:FormatNullStringLocalizerFactory,3,1,0
Resources:GetString,12,3,2
ViewLocalizer:ViewLocalizer,12,3,2
ViewLocalizer:GetString,0,1,1
ViewLocalizer:GetString,0,1,2
ViewLocalizer:WithCulture,0,1,1
ViewLocalizer:GetAllStrings,0,1,1
ViewLocalizer:Contextualize,14,3,1
ViewLocalizer:BuildBaseName,12,1,1
MvcLocalizationServices:AddLocalizationServices,11,2,3
MvcLocalizationServices:AddMvcViewLocalizationServices,10,1,3
