Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,LoginButton_Click,Cyclomatic complexity of the method is 8
Long Statement,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,LoginButton_Click,The length of the statement  "			//                        MessageBox.Show(string.Format("Found {0} records\nFirst Record name is {1}"' Result.Entities.Count' Result.Entities.FirstOrDefault().GetAttributeValue<string>("name"))); " is 195.
Long Statement,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,LoginButton_Click,The length of the statement  "			//                    //CreateResponse res = (CreateResponse)svcClient.ExecuteCrmOrganizationRequest(req' "MyAccountCreate"); " is 125.
Long Statement,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,Button_Click_1,The length of the statement  "	string FetchXML = "<fetch version='1.0' output-format='xml-platform' mapping='logical' distinct='false'>" + "<entity name='" + SelectedEntity + "'>"; " is 149.
Long Statement,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,Button_Click_1,The length of the statement  "		// MessageBox.Show(string.Format("Found {0} records\nFirst Record name is {1}"' Result.Entities.Count' Result.Entities.FirstOrDefault().GetAttributeValue<string>("name"))); " is 172.
Long Statement,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,Button_Click_2,The length of the statement  "	string FetchXML = "<fetch version='1.0' output-format='xml-platform' mapping='logical' distinct='false'>" + "<entity name='" + SelectedEntity + "'>"; " is 149.
Long Statement,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,Button_Click_3,The length of the statement  "		DataTable dt = MyWorksheet.Cells.ExportDataTable (0' 0' MyWorksheet.Cells.Rows.Count' MyWorksheet.Cells.Columns.Count' true); " is 125.
Long Statement,Aspose.Plugins.UpdateImportTool,MainWindow,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\MainWindow.xaml.cs,Button_Click_4,The length of the statement  "				DataTable dt = MyWorksheet.Cells.ExportDataTable (0' 0' MyWorksheet.Cells.Rows.Count' MyWorksheet.Cells.Columns.Count' true); " is 125.
Long Statement,Aspose.Plugins.UpdateImportTool.LoginWindow,CrmLogin,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\LoginWindow\CrmLogin.xaml.cs,Window_Loaded,The length of the statement  "				The login control uses a class called CrmConnectionManager to manage the interaction with CRM' this class and also be queried as later points for information about the current connection. " is 187.
Long Statement,Aspose.Plugins.UpdateImportTool.LoginWindow,CrmLogin,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\LoginWindow\CrmLogin.xaml.cs,Window_Loaded,The length of the statement  "	// Pass a reference to the current UI or container control'  this is used to synchronize UI threads In the login control " is 120.
Long Statement,Aspose.Plugins.UpdateImportTool.LoginWindow,CrmLogin,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\LoginWindow\CrmLogin.xaml.cs,Window_Loaded,The length of the statement  "		if (MessageBox.Show ("Credentials already saved in configuration\nChoose Yes to Auto Login or No to Reset Credentials"' "Auto Login"' MessageBoxButton.YesNo' MessageBoxImage.Question) == MessageBoxResult.Yes) { " is 210.
Long Statement,Aspose.Plugins.UpdateImportTool.LoginWindow,CrmLogin,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\LoginWindow\CrmLogin.xaml.cs,Window_Loaded,The length of the statement  "			// If RequireUserLogin is false' it means that there has been a successful login here before and the credentials are cached.  " is 124.
Long Statement,Aspose.Plugins.UpdateImportTool.LoginWindow,CrmLogin,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\LoginWindow\CrmLogin.xaml.cs,mgr_ServerConnectionStatusUpdate,The length of the statement  "	// The Status event will contain information about the current login process'  if Connected is false' then there is not yet a connection.  " is 137.
Long Statement,Aspose.Plugins.UpdateImportTool.LoginWindow,CrmLogin,F:\newReposMay17\asposecells_Aspose_Cells_NET\Plugins\Dynamics CRM\Aspose.Plugins.UpdateImportTool\LoginWindow\CrmLogin.xaml.cs,mgr_ConnectionCheckComplete,The length of the statement  "	// The Status event will contain information about the current login process'  if Connected is false' then there is not yet a connection.  " is 137.
