Method,LOC,CC,PC
BasicCache:BasicCache,4,1,1
BasicCache:GetCachedResult,3,1,2
BasicCache:GetResult,3,1,2
BasicCache:Reset,8,2,1
BasicCache:CheckClientCacheExpires,3,1,1
BasicCache:CheckClientCacheExpiresByEtag,3,1,0
BasicCache:SetClientCache,3,1,2
BasicCache:SetClientCacheByEtag,3,1,1
BasicCache:ETagOutput,3,1,2
BasicCache:Insert,3,1,3
BasicCache:Insert,3,1,3
BasicCache:Insert,3,1,2
BasicCache:Clear,3,1,1
BasicCache:Get,3,1,1
BasicCache:Rebuilt,3,1,0
CacheBase:GetCacheResult,14,3,3
CacheBase:Insert,3,1,3
CacheBase:Insert,3,1,2
CacheBase:Insert,5,1,3
CacheBase:Clear,10,4,1
CacheBase:Get,3,1,1
CacheBase:Rebuilt,3,1,0
CacheBase:GetCachedResult,3,1,2
CacheBase:GetResult,3,1,2
CacheBase:Reset,2,1,1
CmsCacheUtility:EvalCacheUpdate,7,2,1
DependCache:DependCache,1,1,0
DependCache:DependCache,3,1,0
DependCache:Insert,3,1,3
DependCache:Insert,5,1,2
DependCache:Rebuilt,18,2,0
ICacheUpdatePolicy:Clear,0,1,0
ICache:Insert,0,1,3
ICache:Insert,0,1,3
ICache:Insert,0,1,2
ICache:Clear,0,1,1
ICache:Get,0,1,1
ICache:Reset,0,1,1
ICache:GetCachedResult,0,1,2
ICache:GetResult,0,1,2
ICache:Rebuilt,0,1,0
CacheUpdateAttribute:CacheUpdateAttribute,3,1,1
CacheUpdateAttribute:CacheUpdateAttribute,3,1,1
CacheUpdateAttribute:Clear,3,1,0
WebCtx:WebCtx,3,1,0
WebCtx:SaveErrorLog,30,1,1
WebCtx:CheckAndSetClientCache,14,3,0
WebCtx:CheckAndSetClientCache,14,3,1
WebCtx:Render,18,2,1
PluginRouteHandler:GetHttpHandler,3,1,1
HttpHandler:HttpHandler,3,1,1
HttpHandler:ProcessRequest,19,3,1
WebPluginApp:WebPluginApp,3,1,1
WebPluginApp:Connect,5,1,0
WebPluginApp:RegisterRoute,13,2,0
WebPluginApp:HttpPluginRequest,5,1,3
WebPluginApp:HttpPluginPost,5,1,3
WebPluginApp:SavePluginMetadataToXml,21,2,0
WebPluginApp:GetPluginIcon,4,1,3
WebPluginApp:GetPage,5,1,1
WebPluginApp:GetPage,5,1,2
WebPluginApp:GetTemplatePage,45,2,2
WebPluginApp:Load,11,2,0
WebPluginApp:MapPluginRoute,17,2,2
WebPluginApp:MapPluginRoute,5,1,2
WebPluginApp:MapPluginRoute,14,2,1
IPluginApp:GetPage,0,1,1
IPluginApp:GetPage,0,1,2
IPluginApp:GetTemplatePage,0,1,2
IPluginApp:MapPluginRoute,0,1,2
IPluginApp:MapPluginRoute,0,1,1
