Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ObservableExtensions,0,6,0,0,6,39,10,0,0,-1,1,0
CommonAssemblyInfo,3,0,0,3,0,6,0,0,0,-1,0,1
Notification,0,13,4,0,11,250,22,0,0,-1,2,0
NotificationKind,0,0,0,0,0,6,0,0,0,-1,0,2
Observer,0,14,0,0,14,113,21,0,0,-1,5,1
Unit,1,4,1,0,4,35,4,0,0,1,0,0
WrappedObserver,1,4,0,0,4,20,4,0,0,0,0,1
DefaultObserver,3,4,0,0,4,24,4,0,0,0,0,1
ObserverBase,0,9,0,0,4,30,9,1,0,-1,0,0
ObservableBase,0,3,0,0,1,13,3,1,0,-1,0,0
AnonymousObservable,1,2,0,0,1,16,3,0,1,0,0,0
AnonymousObserver,3,7,0,0,4,47,10,0,1,0,0,0
SynchronizedObservable,2,2,0,0,2,14,2,0,0,0,1,1
SynchronizedObserver,2,4,0,0,4,25,4,0,0,0,0,2
Scheduler,4,21,7,0,21,180,23,0,0,1,6,4
SynchronizationContextScheduler,2,4,0,0,4,59,6,0,1,0.5,1,0
CurrentThreadScheduler,3,3,3,0,1,99,8,0,1,0.67,2,1
ImmediateScheduler,1,3,1,0,2,49,3,0,1,1,1,1
LocalScheduler,2,7,1,0,4,63,7,12,1,0.71,3,0
DefaultScheduler,1,5,1,0,3,30,5,0,2,1,0,1
ScheduledItem,1,10,2,0,7,83,12,1,1,0.8,0,0
ScheduledItemImpl,2,4,0,0,2,24,4,0,2,0,0,1
Synchronization,0,6,0,0,6,35,8,0,0,-1,1,0
AsyncLock,0,3,0,0,3,16,3,0,0,-1,0,1
SchedulerQueue,0,6,1,0,6,32,6,0,0,-1,0,0
IConcurrencyAbstractionLayer,0,6,1,0,0,13,6,2,0,-1,0,0
BooleanDisposable,0,1,1,0,1,12,2,0,1,-1,0,0
CancellationDisposable,1,3,2,0,3,29,5,0,1,0.67,0,0
CompositeDisposable,2,12,3,0,11,85,22,0,1,0,0,0
ContextDisposable,1,2,2,0,2,32,4,0,1,0,0,0
Disposable,1,1,1,0,1,30,2,0,0,0,0,5
MultipleAssignmentDisposable,1,1,2,0,1,29,2,0,1,0,0,0
RefCountDisposable,3,3,1,0,3,33,4,0,1,0,1,0
ScheduledDisposable,0,2,3,0,2,31,4,0,1,-1,2,0
SerialDisposable,1,1,2,0,1,30,2,0,1,0,1,0
SingleAssignmentDisposable,1,1,2,0,1,30,2,0,1,0,0,0
IExceptionServices,0,1,0,0,0,5,1,0,0,-1,0,0
IHostLifecycleNotifications,0,0,0,0,0,6,0,0,0,-1,0,0
IPlatformEnlightenmentProvider,0,1,0,0,0,5,1,2,0,-1,0,1
ISystemClock,0,0,1,0,0,7,0,1,0,-1,0,0
INotifySystemClockChanged,0,0,0,0,0,6,0,1,0,-1,0,0
DefaultSystemClock,0,0,1,0,0,9,0,0,1,-1,0,1
HostLifecycleService,0,2,0,0,2,14,2,0,0,-1,0,0
HostResumingEventArgs,0,1,0,0,1,7,1,0,0,-1,0,0
HostSuspendingEventArgs,0,1,0,0,1,7,1,0,0,-1,0,0
PeriodicTimerSystemClockMonitor,3,2,0,0,1,23,3,0,1,0,1,2
PlatformEnlightenmentProvider,1,1,1,0,0,17,2,0,0,0,2,0
SystemClock,3,2,1,0,2,28,4,0,0,0,2,1
SystemClockChangedEventArgs,0,2,2,0,2,21,2,0,0,-1,0,0
