Implementation smell,Namespace,Class,File,Method,Description
Long Method,Azavea.NijPredictivePolicing.Common,CmdLineJobBase,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\CmdLineJobBase.cs,Load,The method has 112 lines of code.
Complex Method,Azavea.NijPredictivePolicing.Common,CmdLineJobBase,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\CmdLineJobBase.cs,Load,Cyclomatic complexity of the method is 17
Complex Method,Azavea.NijPredictivePolicing.Common,Settings,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Settings.cs,LoadYearConfigs,Cyclomatic complexity of the method is 8
Long Parameter List,Azavea.NijPredictivePolicing.Common.Data,FixedWidthField,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Data\FixedWidthField.cs,FixedWidthField,The method has 5 parameters. Parameters: start' end' type' seeker' terminator
Long Parameter List,Azavea.NijPredictivePolicing.Common.Data,FixedWidthField,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Data\FixedWidthField.cs,FixedWidthField,The method has 7 parameters. Parameters: start' end' type' seeker' terminator' defaultValue' strict
Long Parameter List,Azavea.NijPredictivePolicing.Common.Data,FixedWidthField,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Data\FixedWidthField.cs,FixedWidthField,The method has 5 parameters. Parameters: columnName' description' length' start' type
Long Parameter List,Azavea.NijPredictivePolicing.Common.Data,FixedWidthField,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Data\FixedWidthField.cs,FixedWidthField,The method has 6 parameters. Parameters: columnName' description' length' start' type' term
Long Statement,Azavea.NijPredictivePolicing.Common,Settings,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Settings.cs,Get,The length of the statement  "                _log.FatalFormat("The importer couldn't find/read the \"AcsAlchemist.json.{0}.config\" file' the importer cannot continue"' year); " is 130.
Long Statement,Azavea.NijPredictivePolicing.Common,Utilities,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Utilities.cs,GetCellFeetForProjection,The length of the statement  "            const string webMercator1984 = "PROJCS[\"WGS_1984_Web_Mercator\"' GEOGCS[\"GCS_WGS_1984_Major_Auxiliary_Sphere\"' DATUM[\"WGS_1984_Major_Auxiliary_Sphere\"' SPHEROID[\"WGS_1984_Major_Auxiliary_Sphere\"'6378137.0'0.0]]' PRIMEM[\"Greenwich\"'0.0]' UNIT[\"Degree\"'0.0174532925199433]]' PROJECTION[\"Mercator_1SP\"]' PARAMETER[\"False_Easting\"'0.0]' PARAMETER[\"False_Northing\"'0.0]' PARAMETER[\"Central_Meridian\"'0.0]' PARAMETER[\"latitude_of_origin\"'0.0]' UNIT[\"Meter\"'1.0]]"; " is 481.
Long Statement,Azavea.NijPredictivePolicing.Common,Utilities,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Utilities.cs,GetCoordinateSystemWKTByID,The length of the statement  "            //string sql = "SELECT srs_wkt FROM spatial_ref_sys WHERE srid = " + outputSrid;    //not really worried about injection here " is 125.
Long Statement,Azavea.NijPredictivePolicing.Common.Data,CommaSeparatedValueReader,C:\repos\azavea_acs-alchemist\csharp\Azavea.NijPredictivePolicing.Common\Data\CommaSeparatedValueReader.cs,LoadFile,The length of the statement  "                _dataStream = new System.IO.FileStream(filename' System.IO.FileMode.Open' System.IO.FileAccess.Read' System.IO.FileShare.Read); " is 127.
