Method,LOC,CC,PC
GitHub:Construct,10,1,0
GitHub:Hook_OnUnload,7,1,0
GitHub:github_Insert,52,2,1
GitHub:github_Remove,36,2,1
GitHub:github_On,12,2,1
GitHub:github_Off,12,2,1
HtmlDump:Construct,6,1,0
HtmlDump:Hook_OnRegister,7,2,0
HtmlDump:Load,18,4,0
HtmlDumpObj:HtmlDumpObj,9,2,1
HtmlDumpObj:CreateFooter,3,1,0
HtmlDumpObj:CreateHeader,9,2,1
HtmlDumpObj:Encode,5,1,1
HtmlDumpObj:AddLine,3,1,2
HtmlDumpObj:AddLink,3,1,2
HtmlDumpObj:AddKey,3,1,2
HtmlDumpObj:getSize,15,3,0
HtmlDumpObj:Stat,90,9,0
HtmlDumpObj:Make,80,16,0
Infobot:Infobot,9,1,4
Infobot:AliasExists,26,3,2
Infobot:KeyExists,26,3,2
Infobot:GetKey,26,3,2
Infobot:InfobotDetail,30,7,2
Infobot:SortedItem,39,6,0
Infobot:ParseInfo,43,8,4
Infobot:Linkable,7,2,2
Infobot:IsIgnored,8,2,2
Infobot:DeliverKey,42,7,4
Infobot:InfobotExec,341,44,3
Infobot:StartSearch,23,2,0
Infobot:RSearch,45,8,2
Infobot:Find,46,6,2
Infobot:RetrieveMasterDBChannel,30,4,1
Infobot:SetRaw,11,2,3
Infobot:UnsetRaw,11,2,3
Infobot:SetKey,23,1,5
Infobot:SnapshotStart,21,2,0
Infobot:RecoverStart,24,2,0
Infobot:IsValid,18,5,1
Infobot:RecoverSnapshot,37,1,2
Infobot:StoreDB,3,1,0
Infobot:CreateSnapshot,32,5,2
Infobot:aliasKey,32,1,5
Infobot:replaceKey,21,1,4
Infobot:DeleteKey,27,1,1
Infobot:rmKey,6,2,3
Infobot:Save,91,4,0
Infobot:LoadAncientDB,34,1,0
Infobot:LoadData,99,8,0
InfobotKey:InfobotKey,17,3,9
InfobotAlias:InfobotAlias,4,1,2
InfobotWriter:Init,5,1,0
InfobotWriter:Worker,19,2,0
InfobotWriter:SaveData,14,4,0
InfobotModule:Construct,5,1,0
InfobotModule:Hook_OnUnload,23,3,0
InfobotModule:RegisterPermissions,27,5,0
InfobotModule:getDB,3,1,1
InfobotModule:Hook_ChannelDrop,14,2,1
InfobotModule:Hook_Channel,28,5,1
InfobotModule:Hook_OnRegister,51,3,0
InfobotModule:Extension_DumpHtml,45,4,1
InfobotModule:Hook_PRIV,494,96,3
InfobotModule:Hook_SetConfig,62,2,4
InfobotModule:Hook_ReloadConfig,6,2,1
InfobotModule:Load,35,3,0
LogsModule:UpdateConfig,20,3,1
LogsModule:Hook_ACTN,3,1,3
LogsModule:Hook_PRIV,44,9,3
LogsModule:Hook_GetWriterSize,3,1,0
LogsModule:WriteData,26,5,0
LogsModule:Hook_Nick,19,2,4
LogsModule:Hook_Part,19,2,2
LogsModule:Hook_ChannelQuit,19,2,3
LogsModule:Hook_Kick,19,2,3
LogsModule:Hook_Join,19,2,2
LogsModule:Finish,9,2,0
LogsModule:Writer,78,4,0
LogsModule:Load,43,6,0
LogsModule:Construct,5,1,0
LogsModule:WriteLog,20,2,3
LogsModule:Hook_OnRegister,7,2,0
LogsModule:Hook_ChannelDrop,16,2,1
LogsModule:ChanLog,58,4,5
LogsModule:Hook_OnUnload,30,4,0
LogsModule:Hook_OnSelf,5,2,4
LogsModule:TDToString,7,2,1
Item:Item,4,1,2
Item:Item,7,1,5
NetCat:Construct,5,1,0
NetCat:SendMessage,4,1,2
NetCat:Client,63,8,1
NetCat:Load,35,2,0
NetCat:GenerateToken,10,2,0
NetCat:Hook_PRIV,93,19,3
Notification:Notification,7,1,4
Notification:RetrieveTarget,14,1,1
Notification:RetrieveSource,14,1,1
Notification:Contains,18,1,2
Notification:RemoveOld,20,1,0
Notify:Construct,4,1,0
Notify:Hook_OnUnload,11,1,0
Notify:Hook_Join,13,2,2
Notify:Hook_Nick,39,5,4
Notify:Hook_Kick,13,2,3
Notify:NotifyUser,43,8,3
Notify:Hook_PRIV,13,2,3
Notify:cmNotify,5,2,1
Notify:Hook_Quit,14,2,2
Notify:Hook_OnPrivateFromUser,19,3,2
Notify:Deliver,6,2,1
Notify:Hook_BeforeSysWeb,3,1,1
Notify:Hook_OnRegister,5,1,0
Notify:Load,18,2,0
ScriptingEngine:Construct,9,2,0
ScriptingEngine:Hook_OnRegister,15,3,0
ScriptingEngine:Hook_OnUnload,8,2,0
ScriptingEngine:Load,99,10,0
Script:Exec,28,1,1
Seen:Construct,4,1,0
Seen:Hook_ACTN,3,1,3
Seen:Hook_OnPrivateFromUser,18,4,2
Seen:Hook_PRIV,3,1,3
Seen:Hook_Join,3,1,2
Seen:Hook_OnRegister,8,1,0
Seen:cmSeenOn,10,2,1
Seen:cmSeenHost,6,3,1
Seen:cmSeen,6,3,1
Seen:Hook_OnUnload,8,1,0
Seen:cmSeenOff,10,2,1
Seen:cmSeenrx,8,3,1
Seen:Hook_Nick,3,1,4
Seen:Hook_Kick,3,1,3
Seen:Hook_Part,3,1,2
Seen:Hook_Quit,3,1,2
Seen:Load,25,3,0
Seen:WriteStatus,30,1,6
Seen:Search,166,8,0
Seen:StartRegex,35,5,0
Seen:RegEx2,29,3,3
Seen:RegEx,6,1,3
Seen:RetrieveStatus,7,1,3
Seen:RetrieveStatusOfHost,7,1,3
Seen:getItem,14,1,1
Seen:Hook_BeforeSysWeb,3,1,1
Seen:RetrieveStatus2,145,9,4
Seen:Save,75,3,0
Seen:LoadData,77,2,0
Seen:FormatTimeSpan,10,4,1
ChannelRequest:ChannelRequest,6,1,4
item:item,16,3,7
Slap:Construct,5,1,0
Slap:Hook_PRIV,101,26,3
StatisticsMod:Hook_OnRegister,14,1,0
StatisticsMod:Construct,4,1,0
StatisticsMod:Extension_DumpHtml,59,3,1
StatisticsMod:Hook_Channel,6,2,1
StatisticsMod:Hook_OnUnload,14,1,0
StatisticsMod:Load,33,2,0
StatisticsMod:Hook_PRIV,67,15,3
Statistics:Statistics,5,1,1
Statistics:Stat,30,3,3
Statistics:Delete,4,1,0
Statistics:Save,38,3,0
Statistics:Load,37,2,0
list:CompareTo,7,2,1
SystemInfo:DisplayInfo,11,3,1
SystemInfo:Construct,5,1,0
SystemInfo:Hook_OnUnload,4,1,0
SystemInfo:Hook_OnRegister,4,1,0
Thanks:Construct,4,1,0
Thanks:Hook_PRIV,34,4,3
Buffer:Add,10,1,1
Buffer:Delete,9,1,1
Buffer:getUser,14,1,1
Buffer:Add,6,1,1
Buffer:Delete,9,1,1
DynamicRoles:Construct,4,1,0
DynamicRoles:Hook_OnRegister,7,1,0
DynamicRoles:Hook_OnUnload,7,1,0
DynamicRoles:RegisterPermissions,7,2,0
DynamicRoles:Save,9,2,0
DynamicRoles:cmRevoke,24,3,1
DynamicRoles:cmRevokeRole,37,3,1
DynamicRoles:cmGrant,31,4,1
DynamicRoles:cmGrantRole,41,3,1
DynamicRoles:Load,22,3,0
Translate:Hook_OnRegister,4,1,0
Translate:translate,27,5,1
Translate:Hook_OnUnload,4,1,0
Translate:Construct,3,1,0
Translate:Load,68,11,0
Translate:IsValid,9,2,1
ChannelTools:getUser,3,1,2
ChannelTools:PermanentOn,10,2,1
ChannelTools:PermanentOff,10,2,1
ChannelTools:Off,10,2,1
ChannelTools:On,10,2,1
ChannelTools:Hook_OnUnload,8,1,0
ChannelTools:Hook_OnRegister,7,1,0
ChannelTools:GetOp,18,4,1
ChannelTools:Hook_PRIV,248,51,3
