Design smell,Namespace,Class,File,Cause
Unutilized Abstraction,Client,IntellisenseTextBox,F:\newReposMay17\benrhughes_todotxt.net\Client\Controls\IntellisenseTextBox.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Client,ExceptionExtensions,F:\newReposMay17\benrhughes_todotxt.net\Client\ExceptionExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Client,GroupConverter,F:\newReposMay17\benrhughes_todotxt.net\Client\GroupConverter.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Client,UrlService,F:\newReposMay17\benrhughes_todotxt.net\Client\UrlService.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Client.Converters,ActiveFilterToStatusConvertor,F:\newReposMay17\benrhughes_todotxt.net\Client\Converters\ActiveFilterToStatusConvertor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Client.Converters,SortTypeToDescriptionConvertor,F:\newReposMay17\benrhughes_todotxt.net\Client\Converters\SortTypeToDescriptionConvertor.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Unutilized Abstraction,Client.Utilities,EnumExtensions,F:\newReposMay17\benrhughes_todotxt.net\Client\Utilities\EnumExtensions.cs,The tool detected the smell in this class because this class is potentially unused.   (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Cyclically-dependent Modularization,Client,AppendTextDialog,F:\newReposMay17\benrhughes_todotxt.net\Client\Controls\AppendTextDialog.xaml.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: AppendTextDialog' MainWindowViewModel
Cyclically-dependent Modularization,Client,AppendTextDialog,F:\newReposMay17\benrhughes_todotxt.net\Client\Controls\AppendTextDialog.xaml.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: AppendTextDialog' MainWindowViewModel' MainWindow' MainWindowViewModel
Cyclically-dependent Modularization,Client,UpdateChecker,F:\newReposMay17\benrhughes_todotxt.net\Client\UpdateChecker.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UpdateChecker' MainWindow
Cyclically-dependent Modularization,Client,UpdateChecker,F:\newReposMay17\benrhughes_todotxt.net\Client\UpdateChecker.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UpdateChecker' MainWindow' TrayMainWindows' MainWindow
Insufficient Modularization,Client,MainWindowViewModel,F:\newReposMay17\benrhughes_todotxt.net\Client\MainWindowViewModel.cs,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 49 public methods
Insufficient Modularization,Client,MainWindowViewModel,F:\newReposMay17\benrhughes_todotxt.net\Client\MainWindowViewModel.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 82 methods
Insufficient Modularization,Client,MainWindowViewModel,F:\newReposMay17\benrhughes_todotxt.net\Client\MainWindowViewModel.cs,The tool detected the smell in this class because the class is highly complex. The sum of cyclomatic complexity of all methods of this class (i.e.' WMC) is: 265
Cyclically-dependent Modularization,Client,MainWindowViewModel,F:\newReposMay17\benrhughes_todotxt.net\Client\MainWindowViewModel.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainWindowViewModel' MainWindow
Cyclically-dependent Modularization,Client,MainWindowViewModel,F:\newReposMay17\benrhughes_todotxt.net\Client\MainWindowViewModel.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MainWindowViewModel' MainWindow' TrayMainWindows' MainWindow
Cyclically-dependent Modularization,Client,FilterDialog,F:\newReposMay17\benrhughes_todotxt.net\Client\Controls\FilterDialog.xaml.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FilterDialog' MainWindowViewModel
Cyclically-dependent Modularization,Client,FilterDialog,F:\newReposMay17\benrhughes_todotxt.net\Client\Controls\FilterDialog.xaml.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FilterDialog' MainWindowViewModel' MainWindow' MainWindowViewModel
Cyclically-dependent Modularization,Client,TrayMainWindows,F:\newReposMay17\benrhughes_todotxt.net\Client\TrayMainWindows.cs,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: TrayMainWindows' MainWindow
Insufficient Modularization,Client,MainWindow,F:\newReposMay17\benrhughes_todotxt.net\Client\Controls\MainWindow.xaml.cs,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 77 methods
