Method,LOC,CC,PC
ByteArrayHandler:ByteArrayHandler,3,1,3
ByteArrayHandler:ByteArrayHandler,2,1,0
ByteArrayHandler:ByteArrayHandler,3,1,1
ByteArrayHandler:ExtractChannel,12,1,1
ByteArrayHandler:ExtractRectangle,38,1,4
ByteArrayHandler:SetData,6,1,1
ByteArrayHandler:SetDimensions,6,1,3
ByteArrayHandler:Clear,3,1,0
ByteArrayHandler:ComputeRectangleSum,3,1,5
BooleanArrayHandler:BooleanArrayHandler,3,1,3
BooleanArrayHandler:BooleanArrayHandler,2,1,0
BooleanArrayHandler:BooleanArrayHandler,3,1,1
BooleanArrayHandler:ComputeRectangleSum,3,1,4
BooleanArrayHandler:ExtractChannel,12,1,1
BooleanArrayHandler:ExtractRectangle,38,1,4
BooleanArrayHandler:SetData,6,1,1
BooleanArrayHandler:SetDimensions,6,1,3
BooleanArrayHandler:Clear,3,1,0
BooleanArrayHandler:ComputeRectangleSum,3,1,5
BinaryImage:BinaryImage,3,1,2
BinaryImage:GetCells,11,6,0
BinaryImage:CreateFeatures,17,7,1
BinaryImage:ToBitmap,3,1,0
BinaryImage:Invert,10,1,0
BinaryImage:ToGrayscale,15,1,0
BinaryImage:ComputeRectangleSum,3,1,5
BinaryImage:ComputeRectangleSum,3,1,4
BinaryImage:SetData,3,1,1
BinaryImage:SetDimensions,3,1,3
BinaryImage:ExtractRectangle,3,1,4
BinaryImage:ExtractChannel,3,1,1
BinaryImage:Clear,3,1,0
ConnectedComponents:list_add,8,2,1
ConnectedComponents:Compute,208,1,1
FAST:Extract,28,1,4
FAST:corner_score,25,3,3
FAST:fast_nonmax,86,21,5
FAST:fast_corner_detect_12,1361,490,4
FAST:fast_corner_detect_11,1525,549,4
FAST:fast_corner_detect_10,1977,724,4
FAST:fast_corner_detect_9,2476,921,4
FilterBankImage:FilterBankImage,3,1,0
FilterBankImage:FilterBankImage,3,1,3
FilterBankImage:FilterBankImage,3,1,1
FilterBankImage:Create,18,1,3
FilterBankImage:Read,16,1,1
FilterBankImage:Write,16,1,2
FilterBankImage:ToBitmap,3,1,0
FilterBankImage:Clear,3,1,0
FilterBankImage:SetData,3,1,1
FilterBankImage:SetDimensions,3,1,3
FilterBankImage:ComputeRectangleSum,3,1,5
FilterBankImage:ExtractChannel,3,1,1
FilterBankImage:ExtractRectangle,3,1,4
GammaDistribution:gammastirf,24,2,1
GammaDistribution:GammaFunction,77,11,1
GammaDistribution:GammaDistribution,6,1,2
GammaDistribution:Compute,5,1,1
GammaDistribution:digamma,11,2,1
GammaDistribution:trigamma,12,2,1
GammaDistribution:newton,5,1,2
GammaDistribution:K,14,2,1
GammaDistribution:Estimate,13,2,1
HoughTransform:HoughTransform,15,5,3
ImageCell:ToString,3,1,0
IO:GetEncoder,14,1,1
IO:Write,5,3,2
IO:Write,12,2,2
IO:Read,8,1,1
IO:Read,5,3,1
Hyperrectangle:Hyperrectangle,2,1,0
Hyperrectangle:Hyperrectangle,3,1,1
Hyperrectangle:Hyperrectangle,7,2,3
Hyperrectangle:Contains,6,3,1
Hyperrectangle:NearestPoint,12,4,1
Hyperrectangle:ToString,11,4,0
Hyperrectangle:Clone,8,1,0
Hyperrectangle:Add,9,4,1
Hyperrectangle:Union,14,3,2
MonochromeImage:MonochromeImage,3,1,2
