Namespace,Type,Method,LOC,CC,PC
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,Plugin,Load,3,1,0
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,Confirm,13,1,5
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,Confirm,5,1,5
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,ConfirmAsync,10,1,4
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,Alert,4,1,4
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,AlertAsync,7,1,3
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,Input,10,1,7
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,Input,4,1,7
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,InputAsync,5,1,6
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,ConfirmThreeButtons,5,1,6
Chance.MvvmCross.Plugins.UserInteraction.WindowsStore,UserInteraction,ConfirmThreeButtonsAsync,12,1,5
