Namespace,Type,Method,LOC,CC,PC
FinAnSu,AboutForm,AboutForm,4,1,0
FinAnSu,AboutForm,CloseButton_Click,3,1,2
FinAnSu,AboutForm,UrlLinkLabel_LinkClicked,4,1,2
FinAnSu,AboutForm,MailLinkLabel_LinkClicked,4,1,2
FinAnSu,AboutForm,Dispose,7,2,1
FinAnSu,AboutForm,InitializeComponent,247,1,0
FinAnSu,Calendar,IsHoliday,59,22,2
FinAnSu,Calendar,IsObservedHoliday,14,4,3
FinAnSu,Conversion,DollarDur,4,1,5
FinAnSu,Conversion,dfToFwd,14,3,4
FinAnSu,Conversion,FwdToDf,12,3,4
FinAnSu,Conversion,AddSpread,3,1,4
FinAnSu,Conversion,FwdToFwd,4,1,3
FinAnSu,Options,American,32,4,7
FinAnSu,Options,AmericanBinomial,40,9,8
FinAnSu,Options,CritComdtyPrice,39,3,6
FinAnSu,Options,Payoff,8,1,6
FinAnSu,Options,LongAsset,3,1,2
FinAnSu,Options,ShortAsset,3,1,2
FinAnSu,Options,LongCall,3,1,3
FinAnSu,Options,LongPut,3,1,3
FinAnSu,Options,ShortCall,3,1,3
FinAnSu,Options,ShortPut,3,1,3
FinAnSu,Options,Black76,12,2,6
FinAnSu,Options,BlackScholes,12,2,7
FinAnSu,Options,GBlackScholes,12,2,7
FinAnSu,Options,ImpliedVolatility,27,3,7
FinAnSu,Options,BSDelta,11,2,7
FinAnSu,Options,Vega,4,1,7
FinAnSu,Options,Theta,14,2,7
FinAnSu,Options,Rho,12,2,7
FinAnSu,Options,Gamma,4,1,7
FinAnSu,Options,Vanna,5,1,7
FinAnSu,Options,Charm,14,2,7
FinAnSu,Options,Speed,5,1,7
FinAnSu,Options,Zomma,5,1,7
FinAnSu,Options,Color,6,1,7
FinAnSu,Options,DvegaDtime,6,1,7
FinAnSu,Options,Vomma,5,1,7
FinAnSu,Options,DualDelta,12,2,7
FinAnSu,Options,DualGamma,5,1,7
FinAnSu,Options,BermudanBinomial,54,15,9
FinAnSu,Options,IsCall,13,3,1
FinAnSu,Statistics,Var,10,2,1
FinAnSu,Statistics,Covar,18,3,2
FinAnSu,Statistics,CND,22,2,1
FinAnSu,Statistics,PDF,3,1,1
FinAnSu,Statistics,ND,3,1,1
FinAnSu,Statistics,BND,4,1,3
FinAnSu,Statistics,CNDEV,38,4,1
FinAnSu,InterestRates,FRA,3,1,5
FinAnSu,InterestRates,FRAFromFXLong,4,1,8
FinAnSu,InterestRates,FRAFromFXShort,4,1,8
FinAnSu,InterestRates,Swaption,12,2,8
FinAnSu,InterestRates,IsPayer,16,3,1
FinAnSu,Interpolation,ContinuousInterpolation,26,3,3
FinAnSu,YieldCurve,Interpolate,3,1,2
FinAnSu,YieldCurve,Stub,14,2,6
FinAnSu,YieldCurve,CubicSpline,62,7,3
FinAnSu,YieldCurve,Days,43,7,3
FinAnSu,YieldCurve,Years,14,4,3
FinAnSu,YieldCurve,dfFromForwards,18,3,4
FinAnSu,Formats,RGBToColor,3,1,3
FinAnSu,Formats,ParseHex,3,1,1
FinAnSu,Formats,HexToColor,8,1,1
FinAnSu,Formats,HSVToColor,24,6,3
FinAnSu,Formats,ColorToHex,3,1,1
FinAnSu,Formats,ColorToRGB,19,4,2
FinAnSu,Formats,ColorToHSV,25,4,2
FinAnSu,Formats,RGBToHex,3,1,3
FinAnSu,Formats,RGBToHSV,3,1,4
FinAnSu,Formats,HexToRGB,3,1,2
FinAnSu,Formats,HexToHSV,3,1,2
FinAnSu,Formats,HSVToRGB,3,1,4
FinAnSu,Formats,HSVToHex,3,1,3
FinAnSu,Formats,CallFormatByName,4,1,1
FinAnSu,Formats,GetSelection,5,1,0
FinAnSu,Formats,SetNumberFormat,3,1,1
FinAnSu,Formats,WholeFormat,3,1,0
FinAnSu,Formats,TwoDecimalsFormat,3,1,0
FinAnSu,Formats,FourDecimalsFormat,3,1,0
FinAnSu,Formats,DollarsFormat,3,1,0
FinAnSu,Formats,DollarsCentsFormat,3,1,0
FinAnSu,Formats,EurosFormat,3,1,0
