Implementation smell,Namespace,Class,File,Method,Description
Long Method,BtcAddress,CoinInsertDense,C:\repos\casascius_Bitcoin-Address-Utility\Reports\CoinInsertDense.cs,OnPrintPage,The method has 102 lines of code.
Long Method,BtcAddress,KeyCombiner,C:\repos\casascius_Bitcoin-Address-Utility\Forms\KeyCombiner.cs,InitializeComponent,The method has 193 lines of code.
Long Method,BtcAddress,Base58Calc,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Base58Calc.cs,InitializeComponent,The method has 101 lines of code.
Long Method,BtcAddress,Form1,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Form1.cs,InitializeComponent,The method has 509 lines of code.
Long Method,BtcAddress,MofNcalc,C:\repos\casascius_Bitcoin-Address-Utility\Forms\MofNcalc.cs,InitializeComponent,The method has 325 lines of code.
Long Method,BtcAddress,PaperWalletPrinter,C:\repos\casascius_Bitcoin-Address-Utility\Forms\PaperWalletPrinter.cs,InitializeComponent,The method has 215 lines of code.
Long Method,BtcAddress,PpecKeygen,C:\repos\casascius_Bitcoin-Address-Utility\Forms\PpecKeygen.cs,InitializeComponent,The method has 108 lines of code.
Long Method,BtcAddress,QRPrint,C:\repos\casascius_Bitcoin-Address-Utility\Reports\QRPrint.cs,OnPrintPage,The method has 183 lines of code.
Long Method,BtcAddress,Walletgen,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Walletgen.cs,InitializeComponent,The method has 166 lines of code.
Long Method,Casascius.Bitcoin,Bip38KeyPair,C:\repos\casascius_Bitcoin-Address-Utility\Model\Bip38KeyPair.cs,Bip38KeyPair,The method has 106 lines of code.
Long Method,BtcAddress.Forms,AddressGen,C:\repos\casascius_Bitcoin-Address-Utility\Forms\AddressGen.cs,InitializeComponent,The method has 219 lines of code.
Long Method,BtcAddress.Forms,Bip38ConfValidator,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Bip38ConfValidator.cs,btnConfirm_Click,The method has 130 lines of code.
Long Method,BtcAddress.Forms,Bip38ConfValidator,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Bip38ConfValidator.cs,InitializeComponent,The method has 120 lines of code.
Long Method,BtcAddress.Forms,EscrowTools,C:\repos\casascius_Bitcoin-Address-Utility\Forms\EscrowTools.cs,InitializeComponent,The method has 529 lines of code.
Long Method,BtcAddress.Forms,KeyCollectionView,C:\repos\casascius_Bitcoin-Address-Utility\Forms\KeyCollectionView.cs,InitializeComponent,The method has 397 lines of code.
Long Method,BtcAddress.Forms,PrintVouchers,C:\repos\casascius_Bitcoin-Address-Utility\Forms\PrintVouchers.cs,InitializeComponent,The method has 205 lines of code.
Complex Method,BtcAddress,KeyCombiner,C:\repos\casascius_Bitcoin-Address-Utility\Forms\KeyCombiner.cs,btnCombine_Click,Cyclomatic complexity of the method is 8
Complex Method,BtcAddress,Form1,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Form1.cs,DisplayKeyCollectionItem,Cyclomatic complexity of the method is 9
Complex Method,BtcAddress,PaperWalletPrinter,C:\repos\casascius_Bitcoin-Address-Utility\Forms\PaperWalletPrinter.cs,btnGenerateAddresses_Click,Cyclomatic complexity of the method is 11
Complex Method,BtcAddress,PaperWalletPrinter,C:\repos\casascius_Bitcoin-Address-Utility\Forms\PaperWalletPrinter.cs,btnPrintWallet_Click,Cyclomatic complexity of the method is 8
Complex Method,BtcAddress,QRPrint,C:\repos\casascius_Bitcoin-Address-Utility\Reports\QRPrint.cs,OnPrintPage,Cyclomatic complexity of the method is 17
Complex Method,BtcAddress,Walletgen,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Walletgen.cs,button1_Click,Cyclomatic complexity of the method is 12
Complex Method,BtcAddress,CoinInsert,C:\repos\casascius_Bitcoin-Address-Utility\Reports\CoinInsert.cs,OnPrintPage,Cyclomatic complexity of the method is 9
Complex Method,Casascius.Bitcoin,EscrowCodeSet,C:\repos\casascius_Bitcoin-Address-Utility\Model\EscrowCode.cs,EscrowCodeSet,Cyclomatic complexity of the method is 15
Complex Method,Casascius.Bitcoin,EscrowCodeSet,C:\repos\casascius_Bitcoin-Address-Utility\Model\EscrowCode.cs,EscrowCodeSet,Cyclomatic complexity of the method is 18
Complex Method,Casascius.Bitcoin,Util,C:\repos\casascius_Bitcoin-Address-Utility\Model\Bitcoin.cs,ValidateAndGetHexPrivateKey,Cyclomatic complexity of the method is 8
Complex Method,Casascius.Bitcoin,MofN,C:\repos\casascius_Bitcoin-Address-Utility\Model\MofN.cs,Generate,Cyclomatic complexity of the method is 15
Complex Method,Casascius.Bitcoin,MofN,C:\repos\casascius_Bitcoin-Address-Utility\Model\MofN.cs,Decode,Cyclomatic complexity of the method is 14
Complex Method,Casascius.Bitcoin,MofN,C:\repos\casascius_Bitcoin-Address-Utility\Model\MofN.cs,AddKeyPart,Cyclomatic complexity of the method is 13
Complex Method,Casascius.Bitcoin,equation,C:\repos\casascius_Bitcoin-Address-Utility\Model\MofN.cs,CombineAndReduce,Cyclomatic complexity of the method is 9
Complex Method,Casascius.Bitcoin,equation,C:\repos\casascius_Bitcoin-Address-Utility\Model\MofN.cs,KillFactors,Cyclomatic complexity of the method is 12
Complex Method,Casascius.Bitcoin,StringInterpreter,C:\repos\casascius_Bitcoin-Address-Utility\Model\StringInterpreter.cs,InterpretBatch,Cyclomatic complexity of the method is 9
Complex Method,BtcAddress.Forms,AddressGen,C:\repos\casascius_Bitcoin-Address-Utility\Forms\AddressGen.cs,btnGenerateAddresses_Click,Cyclomatic complexity of the method is 11
Complex Method,BtcAddress.Forms,Bip38ConfValidator,C:\repos\casascius_Bitcoin-Address-Utility\Forms\Bip38ConfValidator.cs,btnConfirm_Click,Cyclomatic complexity of the method is 14
Complex Method,BtcAddress.Forms,DecryptKey,C:\repos\casascius_Bitcoin-Address-Utility\Forms\DecryptKey.cs,btnDecrypt_Click,Cyclomatic complexity of the method is 8
Long Parameter List,Casascius.Bitcoin,EscrowCodeSet,C:\repos\casascius_Bitcoin-Address-Utility\Model\EscrowCode.cs,setAddressConfirmationCode,The method has 5 parameters. Parameters: identifier30' networkbyte' flagbyte' z' hash160
Long Parameter List,Casascius.Bitcoin,EscrowCodeSet,C:\repos\casascius_Bitcoin-Address-Utility\Model\EscrowCode.cs,parseEitherCode,The method has 5 parameters. Parameters: thecode' notvalid' notvalid2' invbytes' head
Long Parameter List,CryptSharp.Utility,Pbkdf2,C:\repos\casascius_Bitcoin-Address-Utility\CryptSharp\Pbkdf2.cs,Pbkdf2,The method has 5 parameters. Parameters: key' salt' iterations' computeHmacCallback' hmacLength
Long Parameter List,CryptSharp.Utility,Pbkdf2,C:\repos\casascius_Bitcoin-Address-Utility\CryptSharp\Pbkdf2.cs,ComputeKey,The method has 6 parameters. Parameters: key' salt' iterations' computeHmacCallback' hmacLength' output
