Method,LOC,CC,PC
Issue:Issue,3,1,0
Issue:ToString,3,1,0
IWorksheetSourceService:GetEntries,1,1,2
IWorksheetTargetService:LoadIssues,1,1,1
IWorksheetTargetService:AddWorkLog,1,1,1
JiraRestService:JiraRestService,3,1,4
JiraRestService:LoadIssues,6,1,1
JiraRestService:AddWorkLog,6,1,1
JiraRestService:ConvertToIncident,6,1,1
JiraRestService:GetUserInformation,3,1,0
TogglService:TogglService,3,1,1
TogglService:GetUserInformation,5,1,0
TogglService:GetEntries,8,1,3
TogglService:ToWorkLogEntry,7,1,1
WorkLogEntry:ToString,3,1,0
WorkLogEntry:Round,3,1,1
WorkLogEntry:RoundToClosest,6,2,2
WorksheetSyncService:WorksheetSyncService,5,1,4
WorksheetSyncService:GetSuggestions,18,4,5
WorksheetSyncService:RemoveIncidentNumber,3,1,2
WorksheetSyncService:ExtractJiraIncidentNumber,3,1,4
WorksheetSyncService:AddWorkLog,3,1,1
