Implementation smell,Namespace,Class,File,Method,Description
Long Method,Microsoft.Band.Sample,SensorsFragment,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\SensorsFragment.cs,EnsureSensorsCreated,The method has 110 lines of code.
Long Method,Microsoft.Band.Sample,SensorsFragment,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\SensorsFragment.cs,OnToggleSensorSection,The method has 162 lines of code.
Long Method,Microsoft.Band.Sample,TilesFragment,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\TilesFragment.cs,OnCreateView,The method has 120 lines of code.
Complex Method,Microsoft.Band.Sample,SensorsFragment,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\SensorsFragment.cs,EnsureSensorsCreated,Cyclomatic complexity of the method is 9
Complex Method,Microsoft.Band.Sample,SensorsFragment,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\SensorsFragment.cs,OnToggleSensorSection,Cyclomatic complexity of the method is 27
Long Parameter List,Microsoft.Band.Sample.ColorPicker,ColorAreaPicker,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\ColorPicker\ColorAreaPicker.cs,OnLayout,The method has 5 parameters. Parameters: changed' left' top' right' bottom
Long Parameter List,Microsoft.Band.Sample.ColorPicker,HueBarSlider,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\ColorPicker\HueBarSlider.cs,OnLayout,The method has 5 parameters. Parameters: changed' left' top' right' bottom
Long Statement,Microsoft.Band.Sample.ColorPicker,ColorAreaPicker,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\ColorPicker\ColorAreaPicker.cs,UpdateMainColors,The length of the statement  "                colors[0] = Color.Rgb(255 - (255 - baseRed) * x / 255' 255 - (255 - baseGreen) * x / 255' 255 - (255 - baseBlue) * x / 255); " is 124.
Long Statement,Microsoft.Band.Sample,TilesFragment,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\TilesFragment.cs,OnCreateView,The length of the statement  "                    BandIcon badgeIcon = mCheckboxBadging.Checked ? BandIcon.ToBandIcon(BitmapFactory.DecodeResource(Resources' Resource.Raw.badge' options)) : null; " is 145.
Long Statement,Microsoft.Band.Sample,TilesFragment,D:\research\architectureSmells\repos\conceptdev_xamarin-samples\watch-and-wear\Microsoft.Band.Android.Sample\Microsoft.Band.Android.Sample\TilesFragment.cs,OnCreateView,The length of the statement  "                    await Model.Instance.Client.NotificationManager.ShowDialogTaskAsync(mSelectedTile.TileId' mEditTitle.Text' mEditBody.Text); " is 123.
