Namespace,Type,Method,LOC,CC,PC
JurassicCoffee.Web.Collections.Concurrent,ConcurrentMonoPolyMap<TK;TV>,ConcurrentMonoPolyMap,3,1,0
JurassicCoffee.Web.Collections.Concurrent,ConcurrentMonoPolyMap<TK;TV>,GetAllKeysForValue,3,1,1
JurassicCoffee.Web.Collections.Concurrent,ConcurrentMonoPolyMap<TK;TV>,ContainsKey,3,1,1
JurassicCoffee.Web.Collections.Concurrent,ConcurrentMonoPolyMap<TK;TV>,Add,5,2,2
JurassicCoffee.Web.Collections.Concurrent,ConcurrentMonoPolyMap<TK;TV>,RemoveKey,5,2,1
JurassicCoffee.Web.Configuration,ConfigurationHandler,Create,8,1,3
JurassicCoffee.Web,JurassicCoffeeHttpHandler,JurassicCoffeeHttpHandler,13,1,0
JurassicCoffee.Web,JurassicCoffeeHttpHandler,FileRenamed,6,1,2
JurassicCoffee.Web,JurassicCoffeeHttpHandler,FileChanged,23,5,2
JurassicCoffee.Web,JurassicCoffeeHttpHandler,ProcessRequest,4,1,1
JurassicCoffee.Web,JurassicCoffeeHttpHandler,ServeStaticFile,12,3,2
JurassicCoffee.Web,JurassicCoffeeHttpHandler,CompileCoffeeScriptFile,29,4,2
JurassicCoffee.Web,JurassicCoffeeHttpHandler,ProcessCoffeeScriptRequest,15,4,2
JurassicCoffee.Web,JurassicCoffeeHttpHandler,InitializeDirectory,16,4,1
JurassicCoffee.Web,JurassicCoffeeHttpHandler,InitializeWatchers,26,4,2
