Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,CSharpTest.Net.Collections,CSharpTest.Net.Collections,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: CSharpTest.Net.Collections' CSharpTest.Net.IO,CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile,CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile
Cyclic Dependency,CSharpTest.Net.Collections,CSharpTest.Net.Collections,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: CSharpTest.Net.Collections' CSharpTest.Net.IO' CSharpTest.Net.Serialization,CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile' CSharpTest.Net.Serialization.BytesSerializer,CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile' CSharpTest.Net.Serialization.BytesSerializer
Cyclic Dependency,CSharpTest.Net.Collections,CSharpTest.Net.Collections,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: CSharpTest.Net.Collections' CSharpTest.Net.IO' CSharpTest.Net.Serialization' CSharpTest.Net.Storage,CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile' CSharpTest.Net.Serialization.BytesSerializer' CSharpTest.Net.Storage.BTreeFileStoreV2,CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile' CSharpTest.Net.Serialization.BytesSerializer' CSharpTest.Net.Storage.BTreeFileStoreV2
Cyclic Dependency,CSharpTest.Net.Collections,CSharpTest.Net.IO,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: CSharpTest.Net.IO' CSharpTest.Net.Serialization' CSharpTest.Net.Collections' CSharpTest.Net.Storage' CSharpTest.Net.Collections,CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile' CSharpTest.Net.Serialization.BytesSerializer' CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.Storage.BTreeFileStoreV2,CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile' CSharpTest.Net.Serialization.BytesSerializer' CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.Storage.BTreeFileStoreV2
Cyclic Dependency,CSharpTest.Net.Collections,CSharpTest.Net.Storage,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: CSharpTest.Net.Storage' CSharpTest.Net.Collections,CSharpTest.Net.Storage.BTreeFileStoreV2' CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle,CSharpTest.Net.Storage.BTreeFileStoreV2' CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle
Cyclic Dependency,CSharpTest.Net.Collections,CSharpTest.Net.Storage,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: CSharpTest.Net.Storage' CSharpTest.Net.Collections' CSharpTest.Net.IO,CSharpTest.Net.Storage.BTreeFileStoreV2' CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile,CSharpTest.Net.Storage.BTreeFileStoreV2' CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.IO.FileStreamFactory' CSharpTest.Net.IO.FragmentedFile' CSharpTest.Net.IO.IOStream' CSharpTest.Net.IO.StreamCache' CSharpTest.Net.IO.TransactedCompoundFile
Unstable Dependency,CSharpTest.Net.Collections,CSharpTest.Net.IO,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): CSharpTest.Net.Collections,CSharpTest.Net.IO.OrdinalList,CSharpTest.Net.IO.OrdinalList
Unstable Dependency,CSharpTest.Net.Collections,CSharpTest.Net.Serialization,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): CSharpTest.Net.IO,CSharpTest.Net.Serialization.IOStream,CSharpTest.Net.Serialization.IOStream
Unstable Dependency,CSharpTest.Net.Collections,CSharpTest.Net.Storage,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): CSharpTest.Net.Collections,CSharpTest.Net.Storage.IStorageHandle' CSharpTest.Net.Storage.INodeStorage,CSharpTest.Net.Storage.IStorageHandle' CSharpTest.Net.Storage.INodeStorage
God Component,CSharpTest.Net.Collections,CSharpTest.Net.Collections,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 92,CSharpTest.Net.Collections.DebugFormat' CSharpTest.Net.Collections.StorageType' CSharpTest.Net.Collections.CreatePolicy' CSharpTest.Net.Collections.CachePolicy' CSharpTest.Net.Collections.ExistingLogAction' CSharpTest.Net.Collections.StoragePerformance' CSharpTest.Net.Collections.FileVersion' CSharpTest.Net.Collections.SeekResult' CSharpTest.Net.Collections.ICreateOrUpdateValue' CSharpTest.Net.Collections.LurchTableOrder' CSharpTest.Net.Collections.InsertResult' CSharpTest.Net.Collections.FreeList' CSharpTest.Net.Collections.Entry' CSharpTest.Net.Collections.DuplicateHandling' CSharpTest.Net.Collections.TransactionToken' CSharpTest.Net.Collections.OperationCode' CSharpTest.Net.Collections.IStorageHandle' CSharpTest.Net.Collections.INodeStoreWithCount' CSharpTest.Net.Collections.RemoveResult' CSharpTest.Net.Collections.LockType' CSharpTest.Net.Collections.HashUtilities' CSharpTest.Net.Collections.ICreateValue' CSharpTest.Net.Collections.IUpdateValue' CSharpTest.Net.Collections.IRemoveValue' CSharpTest.Net.Collections.BulkInsertOptions' CSharpTest.Net.Collections.NodeWithLock' CSharpTest.Net.Collections.LogEntry' CSharpTest.Net.Collections.CacheEntry' CSharpTest.Net.Collections.RootLock' CSharpTest.Net.Collections.DelInfo' CSharpTest.Net.Collections.AddInfo' CSharpTest.Net.Collections.ByComparison<T>' CSharpTest.Net.Collections.ElementComparer' CSharpTest.Net.Collections.TransactionLogOptions<TKey'TValue>' CSharpTest.Net.Collections.LogEntryComparer' CSharpTest.Net.Collections.RemoveAlways' CSharpTest.Net.Collections.RemoveIfValue' CSharpTest.Net.Collections.RemoveIfPredicate' CSharpTest.Net.Collections.UpdateIfValue' CSharpTest.Net.Collections.NodeVersion' CSharpTest.Net.Collections.FetchFromStore' CSharpTest.Net.Collections.DisposingList' CSharpTest.Net.Collections.KeyValueComparer<TKey'TValue>' CSharpTest.Net.Collections.EnumState' CSharpTest.Net.Collections.Add2Info' CSharpTest.Net.Collections.AddRangeInfo' CSharpTest.Net.Collections.EnumWithDuplicateKeyHandling' CSharpTest.Net.Collections.LogEntrySerializer' CSharpTest.Net.Collections.FetchValue' CSharpTest.Net.Collections.InsertValue' CSharpTest.Net.Collections.InvalidSerializer<T>' CSharpTest.Net.Collections.DisposingList<T>' CSharpTest.Net.Collections.KeyRange' CSharpTest.Net.Collections.OrderedEnumerator' CSharpTest.Net.Collections.RootNode' CSharpTest.Net.Collections.InsertionInfo' CSharpTest.Net.Collections.NodeSerializer' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.Collections.KvComparer' CSharpTest.Net.Collections.IDictionaryEx' CSharpTest.Net.Collections.Element' CSharpTest.Net.Collections.NodeHandleSerializer' CSharpTest.Net.Collections.OptionsV2,CSharpTest.Net.Collections.BPlusTree<TKey'TValue>' CSharpTest.Net.Collections.DebugFormat' CSharpTest.Net.Collections.DisposingList' CSharpTest.Net.Collections.DisposingList<T>' CSharpTest.Net.Collections.SetList<T>' CSharpTest.Net.Collections.RootLock' CSharpTest.Net.Collections.KeyCollection' CSharpTest.Net.Collections.KeyEnumerator' CSharpTest.Net.Collections.ValueCollection' CSharpTest.Net.Collections.ValueEnumerator' CSharpTest.Net.Collections.OptionsV2' CSharpTest.Net.Collections.Options' CSharpTest.Net.Collections.StorageType' CSharpTest.Net.Collections.CreatePolicy' CSharpTest.Net.Collections.CachePolicy' CSharpTest.Net.Collections.ExistingLogAction' CSharpTest.Net.Collections.StoragePerformance' CSharpTest.Net.Collections.FileVersion' CSharpTest.Net.Collections.BPlusTreeOptions<TKey'TValue>' CSharpTest.Net.Collections.BTreeDictionary<TKey'TValue>' CSharpTest.Net.Collections.SeekResult' CSharpTest.Net.Collections.Enumerator' CSharpTest.Net.Collections.KvComparer' CSharpTest.Net.Collections.Node' CSharpTest.Net.Collections.BTreeList<T>' CSharpTest.Net.Collections.HashUtilities' CSharpTest.Net.Collections.ICreateValue' CSharpTest.Net.Collections.IUpdateValue' CSharpTest.Net.Collections.ICreateOrUpdateValue' CSharpTest.Net.Collections.IRemoveValue' CSharpTest.Net.Collections.IConcurrentDictionary' CSharpTest.Net.Collections.IDictionaryEx' CSharpTest.Net.Collections.KeyValueComparer<TKey'TValue>' CSharpTest.Net.Collections.LurchTableOrder' CSharpTest.Net.Collections.LurchTable<TKey'TValue>' CSharpTest.Net.Collections.InsertResult' CSharpTest.Net.Collections.FreeList' CSharpTest.Net.Collections.Entry' CSharpTest.Net.Collections.EnumState' CSharpTest.Net.Collections.DelInfo' CSharpTest.Net.Collections.AddInfo' CSharpTest.Net.Collections.Add2Info' CSharpTest.Net.Collections.UpdateInfo' CSharpTest.Net.Collections.MergeSort' CSharpTest.Net.Collections.ByComparison<T>' CSharpTest.Net.Collections.BulkInsertOptions' CSharpTest.Net.Collections.AddRangeInfo' CSharpTest.Net.Collections.KeyRange' CSharpTest.Net.Collections.NodeCacheBase' CSharpTest.Net.Collections.Element' CSharpTest.Net.Collections.ElementComparer' CSharpTest.Net.Collections.NodeCacheFull' CSharpTest.Net.Collections.NodeWithLock' CSharpTest.Net.Collections.NodeCacheNone' CSharpTest.Net.Collections.NodeTransaction' CSharpTest.Net.Collections.DuplicateHandling' CSharpTest.Net.Collections.OrderedEnumeration<T>' CSharpTest.Net.Collections.OrderedEnumerator' CSharpTest.Net.Collections.EnumWithDuplicateKeyHandling' CSharpTest.Net.Collections.OrderedKeyValuePairs<TKey'TValue>' CSharpTest.Net.Collections.OrdinalList' CSharpTest.Net.Collections.TransactionToken' CSharpTest.Net.Collections.TransactionLogOptions<TKey'TValue>' CSharpTest.Net.Collections.ITransactionLog' CSharpTest.Net.Collections.TransactionLog<TKey'TValue>' CSharpTest.Net.Collections.OperationCode' CSharpTest.Net.Collections.LogEntry' CSharpTest.Net.Collections.LogEntryComparer' CSharpTest.Net.Collections.LogEntrySerializer' CSharpTest.Net.Collections.IStorageHandle' CSharpTest.Net.Collections.INodeStorage' CSharpTest.Net.Collections.INodeStoreWithCount' CSharpTest.Net.Collections.RootNode' CSharpTest.Net.Collections.RemoveResult' CSharpTest.Net.Collections.RemoveAlways' CSharpTest.Net.Collections.RemoveIfValue' CSharpTest.Net.Collections.RemoveIfPredicate' CSharpTest.Net.Collections.FetchValue' CSharpTest.Net.Collections.InsertValue' CSharpTest.Net.Collections.InsertionInfo' CSharpTest.Net.Collections.UpdateIfValue' CSharpTest.Net.Collections.InvalidSerializer<T>' CSharpTest.Net.Collections.NodeSerializer' CSharpTest.Net.Collections.NodeCacheNormal' CSharpTest.Net.Collections.CacheEntry' CSharpTest.Net.Collections.NodeHandle' CSharpTest.Net.Collections.NodeHandleSerializer' CSharpTest.Net.Collections.LockType' CSharpTest.Net.Collections.NodePin' CSharpTest.Net.Collections.NodeVersion' CSharpTest.Net.Collections.StorageCache' CSharpTest.Net.Collections.FetchFromStore
