Method,LOC,CC,PC
BitmapBooster:BitmapBooster,9,1,1
BitmapBooster:Dispose,3,1,0
BitmapBooster:get,12,1,2
BitmapBooster:set,11,1,3
BitmapBooster:set,6,1,3
BitmapBooster:min,8,2,1
BitmapBooster:max,8,2,1
Img:Img,4,1,1
Img:Load,12,1,0
Img:Dispose,10,2,0
Img:Get,3,1,0
Img:Set,18,2,1
Img:GetFileName,3,1,0
Img:SetFileName,3,1,1
ImgMan:ImgMan,4,1,0
ImgMan:ImgMan,12,2,1
ImgMan:AddItem,3,1,1
ImgMan:GetImage,40,6,2
ImgMan:Enqueue,7,3,1
ImgMan:Loader,18,4,0
ImgMan:GetFileName,10,1,1
ImgMan:SetFileName,3,1,2
ImgMan:Unload,4,2,1
ImgMan:Remove,4,1,1
ImgMan:Remove,4,1,1
ImgMan:IndexOf,3,1,1
ImgMan:Dispose,8,2,0
Interpreter:Load,76,2,3
Interpreter:LoadImage,7,1,2
Interpreter:Convert,8,1,1
Interpreter:BitmapFromSource,12,1,1
Interpreter:ReadIconFile,9,1,1
Interpreter:GetOrientationDegree,19,2,1
Resources:Resources,2,1,0
