Implementation smell,Namespace,Class,File,Method,Description
Long Method,ImageGlass.ImageListView,ImageListView,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewGroupCollection.cs,HitTest,The method has 141 lines of code.
Long Method,ImageGlass.ImageListView,MetadataExtractor,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\MetadataExtractor.cs,InitViaBmp,The method has 138 lines of code.
Long Method,ImageGlass.ImageListView,MetadataExtractor,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\MetadataExtractor.cs,InitViaWpf,The method has 101 lines of code.
Long Method,ImageGlass.ImageListView,NoirRenderer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewRenderers.cs,DrawItem,The method has 191 lines of code.
Long Method,ImageGlass.ImageListView,TilesRenderer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewRenderers.cs,DrawItem,The method has 175 lines of code.
Long Method,ImageGlass.ImageListView,XPRenderer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewRenderers.cs,DrawItem,The method has 147 lines of code.
Long Method,ImageGlass.ImageListView,ZoomingRenderer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewRenderers.cs,DrawItem,The method has 201 lines of code.
Long Method,ImageGlass.ImageListView,ThemeRenderer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewRenderers.cs,DrawItem,The method has 142 lines of code.
Long Method,ImageGlass.ImageListView,MeerkatRenderer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewRenderers.cs,DrawItem,The method has 234 lines of code.
Long Method,ImageGlass.ImageListView,ImageListViewItem,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewItem.cs,GetSubItemText,The method has 117 lines of code.
Long Method,ImageGlass.ImageListView,ImageListViewItemComparer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewItemCollection.cs,Compare,The method has 104 lines of code.
Long Method,ImageGlass.ImageListView,ImageListViewRenderer,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewRenderer.cs,DrawItem,The method has 253 lines of code.
Long Method,ImageGlass.ImageListView,ImageListViewNavigationManager,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewNavigationManager.cs,MouseMove,The method has 246 lines of code.
Long Method,ImageGlass.ImageListView,ImageListViewNavigationManager,D:\research\architectureSmells\repos\d2phap_ImageGlass\Source\Components\ImageGlass.ImageListView\ImageListViewNavigationManager.cs,MouseUp,The method has 171 lines of code.
