Method,LOC,CC,PC
ConfigurationFile:ConfigurationFile,9,1,0
ConfigurationFile:InitConfigs,34,1,0
ConfigurationFile:IsWritable,14,1,0
ConfigurationFile:ReadConfigFile,35,3,0
ConfigurationFile:WriteConfigFile,30,2,0
ConfigurationFile:GetConfig,25,2,2
ConfigurationFile:SetConfig,26,2,2
ConfigurationFile:ContainsKey,3,1,1
ConfigurationFile:Add,3,1,2
ConfigurationFile:Remove,3,1,1
ConfigurationFile:TryGetValue,3,1,2
ConfigurationFile:Add,3,1,1
ConfigurationFile:Clear,3,1,0
ConfigurationFile:Contains,3,1,1
ConfigurationFile:CopyTo,3,1,2
ConfigurationFile:Remove,8,2,1
ConfigurationFile:GetEnumerator,3,1,0
ConfigurationFile:GetEnumerator,3,1,0
GlobalSetting:LoadBuiltInImageFormats,5,1,0
GlobalSetting:SaveConfigOfImageEditingAssociationList,8,2,1
GlobalSetting:GetImageEditingAssociationFromList,15,2,1
GlobalSetting:GetFileExtensionsFromRegistry,14,2,0
GlobalSetting:CheckStartUpDirWritable,3,1,0
GlobalSetting:LoadImageOrderConfig,13,3,0
GlobalSetting:GetConfig,3,1,1
GlobalSetting:GetConfig,41,3,3
GlobalSetting:SetConfig,22,3,3
GlobalSetting:StringToRect,9,2,1
GlobalSetting:RectToString,3,1,1
ImageEditingAssociation:ImageEditingAssociation,6,1,0
ImageEditingAssociation:ImageEditingAssociation,6,1,4
ImageEditingAssociation:ImageEditingAssociation,11,2,1
ImageEditingAssociation:ToString,3,1,0
ThumbnailItemInfo:GetTotalDimension,3,1,0
ThumbnailItemInfo:ThumbnailItemInfo,38,2,2
NativeMethods:PostMessage,0,1,4
NativeMethods:RegisterWindowMessage,0,1,1
SingleInstance:SingleInstance,4,1,1
SingleInstance:PassArgumentsToFirstInstance,20,2,1
SingleInstance:ListenForArgumentsFromSuccessiveInstances,5,2,0
SingleInstance:ListenForArguments,20,1,1
SingleInstance:CallOnArgumentsReceived,3,1,1
SingleInstance:OnArgumentsReceived,4,2,1
SingleInstance:Dispose,11,3,1
SingleInstance:Dispose,4,1,0
Update:Update,5,1,2
Update:Update,4,1,0
Update:GetUpdateConfig,20,4,2
Update:LoadUpdateConfig,15,1,1
Update:CheckForUpdate,10,2,1
InfoUpdate:InfoUpdate,9,1,0
