Namespace,Type,Method,LOC,CC,PC
ContourExtremaDemo,ContourExtremaForm,ContourExtremaForm,3,1,0
ContourExtremaDemo,ContourExtremaForm,ContourDemoForm_Shown,4,1,2
ContourExtremaDemo,ContourExtremaForm,findPeaksAndValleys,44,4,0
ContourExtremaDemo,ContourExtremaForm,Dispose,7,2,1
ContourExtremaDemo,ContourExtremaForm,InitializeComponent,27,1,0
ContourExtremaDemo,Program,Main,5,1,0
ContourExtremaDemo,ResourceImages,ResourceImages,2,1,0
MoreCollections,CircularListExtensions,ToCircularList,3,1,1
MoreCollections,CircularList<T>,CircularList,1,1,0
MoreCollections,CircularList<T>,CircularList,1,1,1
MoreCollections,CircularList<T>,RemoveAt,3,1,1
MoreCollections,CircularList<T>,GetRange,11,2,2
MoreCollections,CircularList<T>,RemoveRange,9,2,2
MoreCollections,CircularList<T>,Insert,3,1,2
MoreCollections,CircularList<T>,InsertRange,3,1,2
MoreCollections,CircularList<T>,getNonNegativeIndex,3,1,1
MoreCollections,CircularList<T>,translateRange,18,2,4
ContourExtremaDemo.Properties,Resources,Resources,2,1,0
