Namespace,Type,Method,LOC,CC,PC
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,MatchTemplates,21,3,4
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,MatchTemplate,39,4,3
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,MatchTemplates,22,3,4
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,MatchTemplate,7,2,4
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,MatchTemplate,4,1,3
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,matchTemplate,15,2,5
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,calculateSimilarityMap,35,4,3
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,searchSimilarityMap,24,4,3
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,createMatches,16,2,6
Accord.Extensions.Imaging.Algorithms.LINE2D,LinearizedMemoryDetectorExtensions,filterPartialShownObjects,10,3,2
Accord.Extensions.Imaging.Algorithms.LINE2D,Match<T>,GetBoundingRect,4,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,Match<T>,GetCenter,5,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,MatchClustering,MatchClustering,4,1,2
Accord.Extensions.Imaging.Algorithms.LINE2D,MatchClustering,AreDetectionsAdjacent,3,1,2
Accord.Extensions.Imaging.Algorithms.LINE2D,MatchClustering,GetRepresentative,4,1,2
Accord.Extensions.Imaging.Algorithms.LINE2D,MatchClustering,Group,6,2,2
Accord.Extensions.Imaging.Algorithms.LINE2D,SIMDArithemtics,AddByteToByteVector,0,1,3
Accord.Extensions.Imaging.Algorithms.LINE2D,SIMDArithemtics,AddTo,25,3,3
Accord.Extensions.Imaging.Algorithms.LINE2D,SIMDArithemtics,AddByteToShortVector,0,1,3
Accord.Extensions.Imaging.Algorithms.LINE2D,SIMDArithemtics,AddTo,19,3,2
Accord.Extensions.Imaging.Algorithms.LINE2D,SIMDArithemtics,SIMDArithemtics,3,1,0
Accord.Extensions.Imaging.Algorithms.LINE2D,Feature,Feature,1,1,0
Accord.Extensions.Imaging.Algorithms.LINE2D,Feature,Feature,6,1,3
Accord.Extensions.Imaging.Algorithms.LINE2D,Feature,Clone,3,1,0
Accord.Extensions.Imaging.Algorithms.LINE2D,Feature,Clone,3,1,0
Accord.Extensions.Imaging.Algorithms.LINE2D,Feature,GetAngleIndex,13,3,1
Accord.Extensions.Imaging.Algorithms.LINE2D,Feature,GetAngleBinaryForm,3,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,ITemplate,Initialize,0,1,3
Accord.Extensions.Imaging.Algorithms.LINE2D,ITemplatePyramid,Initialize,0,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,ImageTemplateWithMask,Initialize,7,2,4
Accord.Extensions.Imaging.Algorithms.LINE2D,ImageTemplateWithMask,Initialize,3,1,4
Accord.Extensions.Imaging.Algorithms.LINE2D,ImageTemplateWithMask,ReadXml,8,2,1
Accord.Extensions.Imaging.Algorithms.LINE2D,ImageTemplateWithMask,WriteXml,8,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,SerializeTemplateFeature,7,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,SerializeTemplate,25,4,2
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,SerializeTemplatePyramid,8,2,1
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,SerializeTemplatePyramidClass,10,2,1
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,ToStream,15,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,ToFile,7,1,2
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,ToString,8,1,1
Accord.Extensions.Imaging.Algorithms.LINE2D,XMLTemplateSerializer<TTemplatePyramid;TTemplate>,FromStream,7,1,1
