Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DrawingAnnotation,6,6,5,2,6,68,6,2,0,1,2,2
DrawingCanvas,7,16,3,0,5,197,26,0,0,0.31,0,5
DrawingManager,5,11,5,0,6,165,23,0,0,0,5,1
PointAnnotation,2,6,1,0,6,50,6,0,1,0.83,2,1
RectangleAnnotation,3,6,1,0,6,63,6,0,1,0.5,2,1
MoreEnumerable,0,3,0,0,3,86,14,0,0,-1,0,0
AnnotaterForm,20,22,1,0,2,433,60,0,0,0.09,5,1
Program,0,1,0,0,0,49,8,0,0,-1,2,0
SampleExtraction,7,7,0,0,2,150,14,0,0,0.29,0,1
Wizard,8,6,2,0,1,186,14,0,0,0.33,0,1
Resources,2,1,2,0,0,45,1,0,0,0,0,0
Settings,1,0,1,0,0,11,0,0,0,-1,0,0
